Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHE,134.00,130.00,136.00,144.00,101.00,140.00,128.00,112.00,121.00,121.00,115.00,113.10
ISL,3.00,2.00,6.00,6.00,2.00,5.00,4.00,4.00,1.00,4.00,4.11,4.22
AUT,114.00,109.00,104.00,112.00,126.00,118.00,106.00,103.00,135.00,137.00,142.00,148.00
ISR,129.00,106.00,129.00,143.00,147.00,151.00,141.00,148.00,163.00,156.00,133.00,133.40
USA,5517.00,5448.00,5515.00,5460.00,5423.00,5447.00,5587.00,5457.00,5395.00,5162.00,4961.00,4905.40
AUS,331.00,331.00,302.00,325.00,300.00,294.50,289.00,306.00,337.00,356.00,312.00,290.00
KOR,483.00,499.00,514.00,465.00,373.00,304.00,309.00,300.00,279.00,232.00,263.00,261.00
CZE,54.00,88.00,68.00,65.00,49.00,59.00,69.00,94.00,79.00,63.00,82.00,85.00
GRC,147.00,143.00,154.00,137.00,133.00,94.00,102.00,127.00,90.00,121.00,134.00,132.70
ITA,754.00,761.00,730.00,891.00,835.33,779.67,724.00,680.00,693.00,702.00,730.00,727.60
NLD,309.00,334.00,286.00,301.00,273.00,270.00,273.00,237.00,218.00,233.00,230.00,255.00
DEU,845.00,861.00,795.00,882.00,855.00,812.00,732.00,771.00,783.00,816.00,799.00,859.00
EST,27.00,34.00,29.00,22.00,20.00,16.00,24.00,25.00,24.00,14.00,12.00,16.00
ESP,581.00,525.00,506.00,544.00,558.00,513.00,515.00,487.00,467.00,460.00,500.00,481.00
FIN,102.00,95.00,74.00,88.00,93.00,93.00,86.00,92.00,97.00,88.00,70.00,87.00
NZL,101.00,89.00,99.00,109.00,86.00,93.00,109.00,95.00,105.00,85.00,83.22,81.44
SVK,97.00,81.00,86.00,102.00,75.00,90.00,88.00,79.00,85.00,79.00,84.00,82.70
JPN,1357.00,1328.00,1246.00,1170.00,1247.00,1163.00,1155.00,1125.00,1077.00,1036.00,1114.00,959.00
PRT,148.00,134.00,142.00,119.00,109.50,100.00,90.50,81.00,95.00,75.00,63.00,81.00
DNK,116.00,105.00,91.00,114.00,98.00,113.00,107.00,82.00,68.00,55.00,52.00,62.00
GBR,1047.11,1045.00,1051.00,1040.00,1033.00,1094.00,1051.00,1069.00,972.00,1094.00,1026.00,1023.89
MEX,4992.00,4825.00,4908.00,4707.00,4720.00,4889.00,4944.00,4690.00,4715.00,4817.00,4833.00,4817.10
BEL,132.50,132.33,132.17,132.00,108.00,112.00,102.00,127.00,126.00,131.00,130.83,130.67
SWE,151.00,130.00,147.00,132.00,126.00,133.00,142.00,123.00,103.00,120.00,109.00,104.80
CHL,490.00,466.00,512.00,461.00,517.00,496.00,438.00,474.00,447.00,474.00,472.22,470.44
POL,743.00,663.00,632.00,582.00,581.00,557.00,543.00,564.00,521.00,540.00,541.00,487.00
SVN,27.00,34.00,31.00,25.00,23.00,18.00,19.00,20.00,20.00,16.00,13.00,11.60
NOR,78.00,95.00,73.00,69.00,85.00,71.00,82.00,69.00,65.00,70.00,63.00,80.00
IRL,109.00,97.00,109.00,111.00,83.00,84.00,103.00,109.00,105.00,97.00,100.00,99.10
LUX,2.00,2.00,5.00,5.00,5.00,3.00,2.00,4.00,1.00,2.50,4.00,2.00
FRA,938.00,864.00,758.00,818.00,801.00,795.00,806.00,864.00,726.00,785.00,768.00,751.00
CAN,494.00,486.00,450.00,461.00,424.00,485.00,472.00,447.00,452.00,473.00,470.67,468.33
HUN,202.00,188.00,159.00,194.00,146.00,185.00,209.00,203.00,205.00,184.00,198.00,192.00
