Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
POL,1438.00,1292.00,1194.00,1109.00,1082.00,1087.00,985.00,1041.00,987.00,1021.00,976.00,930.00
SVN,49.00,51.00,56.00,51.00,56.00,40.00,34.00,48.00,36.00,33.00,31.00,29.20
GBR,2036.22,2030.00,1975.00,2046.00,1950.00,2047.00,1980.00,1981.00,1902.00,2065.00,1974.00,1967.78
ISR,225.00,227.00,249.00,249.00,253.00,278.00,244.00,277.00,270.00,287.00,257.00,260.20
AUT,207.00,180.00,203.00,224.00,232.00,229.00,209.00,222.00,247.00,271.00,258.00,255.00
HUN,368.00,361.00,324.00,332.00,286.00,339.00,383.00,381.00,351.00,358.00,361.00,344.00
FRA,1708.00,1630.00,1440.00,1550.00,1518.00,1480.00,1500.00,1543.00,1431.00,1488.00,1463.56,1439.11
DNK,220.00,208.00,186.00,205.00,199.00,190.00,172.00,176.00,146.00,99.00,94.00,124.00
ESP,1112.00,955.00,987.00,1029.00,1002.00,962.00,934.00,890.00,924.00,889.00,971.00,920.00
CZE,111.00,142.00,118.00,127.00,82.00,116.00,104.00,164.00,145.00,142.00,135.00,156.00
IRL,200.00,192.00,202.00,211.00,165.00,181.00,179.00,195.00,194.00,187.00,178.00,175.80
JPN,2702.00,2595.00,2577.00,2362.00,2468.00,2324.00,2306.00,2322.00,2186.00,2070.00,2194.00,2102.00
BEL,251.00,250.00,249.00,248.00,231.00,219.00,205.00,236.00,255.00,242.00,241.00,240.00
ITA,1410.00,1466.00,1428.00,1798.00,1660.33,1522.67,1385.00,1319.00,1349.00,1323.00,1338.00,1330.80
ISL,5.00,4.00,12.00,10.00,6.00,6.00,6.00,8.00,4.00,5.00,5.00,5.00
PRT,255.00,252.00,261.00,231.00,215.50,200.00,184.50,169.00,181.00,152.00,135.00,155.00
AUS,622.00,601.00,578.00,596.00,585.00,548.00,511.00,595.00,614.00,638.00,610.00,546.00
EST,54.00,49.00,42.00,46.00,43.00,39.00,43.00,43.00,43.00,35.00,32.00,33.00
FIN,190.00,169.00,152.00,174.00,171.00,192.00,183.00,171.00,175.00,184.00,150.00,173.00
NLD,601.00,610.00,523.00,557.00,532.00,527.00,548.00,452.00,441.00,460.00,452.00,471.00
CHL,975.00,908.00,945.00,916.00,963.00,929.00,887.00,872.00,814.00,926.00,920.56,915.11
NOR,142.00,157.00,141.00,139.00,162.00,128.00,136.00,138.00,133.00,134.00,126.00,126.00
USA,10578.00,10442.00,10687.00,10518.00,10498.00,10410.00,10489.00,10424.00,10288.00,9856.00,9674.00,9583.60
NZL,191.00,167.00,200.00,188.00,179.00,153.00,192.00,186.00,182.00,172.00,169.89,167.78
SWE,285.00,245.00,240.00,234.00,264.00,251.00,271.00,243.00,195.00,218.00,216.00,209.10
KOR,939.00,948.00,974.00,872.00,738.00,605.00,571.00,599.00,526.00,470.00,493.00,501.00
SVK,179.00,147.00,189.00,184.00,141.00,157.00,153.00,146.00,140.00,158.00,147.00,143.80
CHE,273.00,246.00,238.00,265.00,219.00,256.00,265.00,230.00,215.00,235.00,237.00,233.40
GRC,247.00,265.00,254.00,223.00,240.00,197.00,208.00,222.00,163.00,214.00,256.00,256.90
LUX,2.00,7.00,7.00,6.00,8.00,5.00,2.00,6.00,2.00,1.00,9.00,4.00
MEX,9538.00,9116.00,9111.00,8843.00,9006.00,9216.00,9275.00,8701.00,8810.00,8967.00,9027.00,8975.90
DEU,1643.00,1612.00,1572.00,1621.00,1576.00,1528.00,1473.00,1451.00,1442.00,1563.00,1572.00,1619.00
CAN,920.00,892.00,890.00,912.00,865.00,917.00,865.00,866.00,893.00,896.00,893.33,890.67
