Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
NZL,26.60,25.30,25.30,26.10,25.40,24.50,24.40,23.40,23.60,22.80,22.38,21.96
CZE,15.80,13.30,14.10,15.90,14.70,15.10,15.50,25.30,19.70,19.20,18.60,22.30
AUS,19.10,19.00,19.70,19.90,20.40,19.90,19.40,19.90,21.20,20.60,18.80,19.40
EST,9.00,11.80,9.50,11.60,20.40,15.90,16.70,17.10,15.30,14.10,10.30,10.80
FRA,17.40,17.50,17.50,18.30,16.50,16.60,15.60,15.10,15.10,14.50,14.18,13.86
MEX,120.90,125.10,133.00,139.00,141.30,148.40,145.60,142.40,149.90,145.70,152.10,155.22
AUT,17.10,17.70,24.10,35.90,43.80,42.20,40.40,33.60,35.80,34.00,30.20,28.50
SVK,18.70,18.30,17.50,18.70,17.60,17.00,16.80,14.60,14.10,15.10,14.20,13.75
HUN,24.50,18.20,23.40,25.80,23.10,35.00,30.10,28.60,26.70,24.50,23.30,25.10
NOR,13.90,15.10,14.20,14.40,12.60,15.90,16.10,15.80,13.60,13.20,13.10,13.00
ESP,22.20,22.40,22.20,22.40,21.40,21.60,19.50,19.90,19.30,18.50,17.60,17.20
CAN,26.40,27.30,29.40,29.00,27.70,27.10,24.10,23.80,23.50,21.00,20.40,19.80
USA,29.00,29.20,29.30,29.20,28.30,28.40,26.90,26.10,24.70,23.50,23.20,22.62
SVN,30.60,33.00,34.80,39.20,35.20,29.00,20.60,13.40,12.90,10.60,11.20,9.26
DEU,24.20,24.60,26.30,26.60,25.90,25.90,23.00,21.90,21.80,21.70,21.50,21.30
FIN,11.40,10.30,10.40,9.90,10.10,9.30,8.30,9.20,9.20,7.20,7.30,7.50
GBR,11.48,11.20,11.10,11.40,10.60,10.10,9.70,9.40,9.40,8.80,8.70,8.42
ISR,59.70,61.20,57.20,64.90,57.60,54.00,51.40,51.00,49.80,45.60,42.40,40.67
IRL,15.00,14.30,15.10,14.60,15.70,15.60,17.60,16.50,15.00,14.30,14.50,14.45
PRT,30.50,37.80,41.60,41.80,40.65,39.50,38.35,37.20,35.60,37.70,36.90,33.20
CHE,20.80,21.10,20.50,23.20,19.40,17.40,16.30,16.50,17.20,15.60,13.40,12.66
KOR,45.50,47.40,48.60,46.70,43.20,41.70,39.90,38.10,33.30,30.40,31.10,31.20
CHL,33.90,37.80,36.70,39.10,39.20,37.50,35.50,36.10,31.20,31.30,31.01,30.72
NLD,23.90,30.00,28.30,25.90,25.20,24.70,22.50,20.50,19.50,18.10,17.40,15.60
ISL,9.30,12.20,6.60,10.10,9.00,8.90,11.00,10.50,10.00,10.20,10.30,10.40
ITA,27.10,26.60,25.40,28.00,27.10,26.20,25.30,25.30,24.90,25.00,24.10,23.80
DNK,26.40,25.10,26.60,24.60,23.10,23.70,22.70,22.10,21.30,21.80,20.30,21.90
GRC,7.70,6.30,7.30,7.60,8.70,8.90,10.60,10.60,9.50,7.80,7.70,7.70
LUX,13.50,13.10,13.40,12.50,10.70,10.80,12.80,11.10,11.10,8.80,14.70,10.90
JPN,8.80,8.40,8.50,8.30,7.90,8.20,8.00,7.90,7.90,7.50,7.40,7.40
BEL,15.90,15.67,15.43,15.20,14.90,15.00,13.70,13.30,14.00,13.80,13.57,13.33
POL,17.40,16.80,16.70,16.80,15.90,16.90,18.20,18.80,19.20,19.20,18.00,18.30
SWE,16.50,17.30,17.60,17.40,17.60,17.60,17.50,16.90,17.20,16.40,16.10,16.06
