Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
JPN,15.50,14.90,15.00,14.70,14.50,15.20,14.80,14.60,14.60,14.00,14.40,14.20
CHL,51.20,52.90,53.20,59.10,54.00,53.50,51.40,54.70,45.70,47.70,47.31,46.92
EST,13.60,12.70,8.20,10.30,25.00,18.90,17.00,22.40,17.20,18.80,15.30,13.80
NLD,29.70,37.10,34.70,31.20,31.70,30.70,28.80,26.50,26.20,23.70,24.20,20.90
POL,18.50,17.90,18.30,18.70,17.70,19.80,20.60,21.50,21.40,21.60,20.10,20.40
USA,42.60,42.80,43.40,43.80,42.90,43.70,41.80,41.50,39.80,38.90,38.90,38.53
AUT,20.80,21.20,32.10,47.50,58.80,58.90,54.90,49.10,52.00,50.80,47.30,44.10
CZE,17.60,14.40,16.10,17.70,16.10,17.00,17.90,29.90,24.80,24.10,22.90,28.20
ITA,34.80,33.50,33.50,35.10,34.47,33.83,33.20,33.90,33.70,34.00,33.70,33.59
CHE,25.40,26.10,27.00,29.70,25.20,23.20,22.10,23.00,24.00,23.20,19.10,18.47
FIN,13.60,14.00,15.50,12.60,13.40,14.90,12.60,13.80,13.40,11.90,12.70,12.70
GBR,16.73,16.40,16.50,16.50,15.40,14.90,14.20,14.10,14.50,13.20,13.40,13.07
IRL,24.40,23.90,24.10,25.50,26.30,26.70,30.20,28.00,23.70,25.00,24.30,24.29
BEL,27.15,26.53,25.92,25.30,22.40,23.70,22.80,21.30,22.00,21.60,20.98,20.37
DEU,27.50,28.00,29.80,30.40,30.40,31.00,28.80,27.80,28.20,27.90,28.90,28.90
KOR,60.60,61.80,59.60,57.80,53.10,52.60,50.80,48.70,44.20,40.30,41.70,42.80
CAN,39.00,40.20,44.30,43.90,43.70,41.40,38.00,38.90,37.30,34.60,34.11,33.62
SVK,19.60,20.40,19.20,21.00,18.30,19.10,18.00,17.90,17.30,18.50,16.10,15.75
FRA,34.30,34.60,34.30,38.60,33.30,32.80,30.70,29.80,31.00,29.10,28.52,27.94
NOR,20.40,22.40,21.40,21.70,19.00,25.70,25.20,24.60,21.10,20.00,21.60,20.60
MEX,159.70,162.00,171.20,176.50,176.60,186.80,182.60,181.00,188.30,184.60,193.90,197.32
GRC,10.00,9.60,10.70,9.60,11.60,13.20,12.90,13.90,12.70,11.50,11.00,11.10
HUN,25.30,19.70,26.80,28.10,26.00,41.60,37.30,35.10,33.10,31.50,30.00,30.30
AUS,32.10,32.30,33.70,34.10,34.40,33.05,31.70,32.50,34.50,33.10,31.20,32.20
SWE,23.40,24.30,25.10,24.80,26.10,25.20,26.60,25.30,25.70,24.70,24.90,25.05
ISL,15.00,16.00,10.70,11.50,16.60,16.80,14.40,12.90,16.60,16.00,16.11,16.22
SVN,31.40,35.30,35.20,50.10,39.90,34.60,25.10,15.30,15.50,14.70,15.20,13.58
PRT,51.10,60.10,48.00,51.50,50.88,50.25,49.62,49.00,45.50,48.40,47.50,43.00
ISR,74.10,75.30,71.20,83.30,72.10,69.00,64.60,67.60,64.70,59.90,58.70,57.16
LUX,12.60,15.80,19.60,24.70,19.90,20.20,21.90,17.10,13.90,11.10,29.70,18.00
DNK,42.50,36.40,46.10,43.30,40.20,39.40,39.20,37.50,34.80,35.30,33.70,33.90
ESP,25.70,26.40,25.90,27.40,25.60,25.90,23.20,24.90,24.50,23.90,23.70,23.20
NZL,40.30,37.70,39.30,39.00,37.80,38.90,39.00,36.10,36.90,37.90,37.63,37.37
