Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
NZL,32.90,31.30,31.90,32.80,31.60,31.50,33.10,30.70,31.50,30.80,30.57,30.33
USA,39.30,39.40,39.60,39.30,38.10,38.80,36.60,36.00,34.60,33.40,33.10,32.48
AUS,26.30,26.50,27.50,27.60,28.70,27.95,27.20,28.00,29.70,28.90,27.10,28.00
ESP,26.20,26.30,26.50,27.10,25.80,26.00,23.40,24.10,23.60,23.20,22.80,22.20
SWE,19.80,20.90,20.80,20.70,20.90,21.20,21.30,20.60,21.60,20.20,20.30,20.35
GBR,14.54,14.30,14.40,14.70,13.80,13.50,12.90,12.70,12.70,12.00,12.10,11.86
JPN,12.50,11.90,12.00,11.80,11.50,12.10,11.60,11.60,11.60,11.00,11.20,11.10
KOR,51.20,51.80,52.10,49.60,45.60,44.00,42.20,40.60,36.00,32.90,33.60,33.90
SVK,19.60,19.10,18.20,19.20,18.40,18.00,17.70,16.10,15.80,16.50,15.70,15.31
IRL,20.90,20.40,21.30,19.90,22.10,22.20,24.70,22.80,20.00,19.60,19.50,19.36
NLD,31.10,36.60,34.30,31.30,30.80,29.60,27.40,25.50,25.00,22.80,22.40,20.20
AUT,18.50,19.20,27.70,41.10,51.30,51.60,49.80,44.00,46.90,44.90,40.70,38.10
BEL,27.75,27.13,26.52,25.90,24.30,24.20,22.50,21.50,22.10,22.20,21.58,20.97
ISR,72.50,71.60,68.70,79.50,70.50,65.50,62.60,64.40,63.80,58.00,54.60,52.81
CZE,16.40,13.90,14.70,16.50,15.40,15.80,16.20,27.40,22.10,21.30,20.90,26.30
HUN,26.40,19.50,25.20,27.30,24.50,38.60,33.50,32.70,30.40,28.00,27.00,28.40
FIN,13.20,12.00,12.20,11.70,11.70,11.40,10.50,11.10,11.30,9.40,9.80,9.50
PRT,44.40,51.90,47.10,48.90,47.83,46.75,45.67,44.60,43.10,45.20,44.20,40.60
CHL,45.60,47.20,46.50,49.90,49.10,47.70,45.30,46.80,39.80,41.20,40.71,40.22
DNK,34.70,32.40,39.10,36.10,33.20,34.60,33.60,31.80,29.10,30.30,28.10,27.00
POL,19.00,18.40,18.30,18.40,17.70,18.50,19.60,20.00,20.40,20.20,19.00,19.30
LUX,15.90,16.20,18.70,19.30,19.20,16.70,20.40,18.70,17.10,12.50,20.80,16.90
GRC,10.20,9.20,10.20,9.80,11.30,11.90,12.50,13.10,12.40,10.50,9.90,9.87
FRA,30.30,30.70,31.00,35.70,29.00,28.70,26.80,25.80,26.30,25.20,24.63,24.07
SVN,32.60,35.30,37.10,41.60,35.70,29.90,21.80,14.70,14.90,12.80,12.90,10.93
NOR,18.10,20.00,19.10,19.40,16.80,22.40,22.20,22.00,19.10,19.00,18.70,18.50
DEU,27.10,27.40,29.40,30.30,29.70,30.20,27.60,26.60,26.90,27.10,27.40,27.30
ITA,33.00,32.40,31.20,34.30,33.23,32.17,31.10,31.40,31.10,31.30,30.40,30.14
MEX,158.90,161.70,169.10,175.70,174.80,183.60,177.90,175.40,182.50,177.30,184.60,187.17
EST,11.20,13.10,11.00,13.70,22.80,18.10,18.50,19.60,18.00,15.50,12.00,12.60
CAN,33.60,35.00,37.50,37.10,36.00,35.30,31.80,31.80,31.30,28.80,28.27,27.73
ISL,10.20,15.20,10.30,12.00,12.70,13.00,13.50,12.50,13.40,14.00,14.42,14.84
CHE,24.20,24.50,24.00,27.00,22.70,20.90,19.70,20.10,20.90,19.40,16.90,16.17
