Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SWE,1567.00,1718.00,1697.00,1751.00,1941.00,1883.00,1725.00,1778.00,1797.00,1772.00,1747.00,1765.00
AUT,1433.00,1380.00,1392.00,1518.00,1371.00,1549.00,1442.00,1472.00,1473.00,1538.00,1485.00,1547.00
JPN,24497.00,24451.00,24492.00,25346.00,24829.00,25605.00,25481.00,26226.00,26172.00,25802.00,27619.00,38316.00
NOR,942.00,939.00,880.00,942.00,1002.00,980.00,953.00,998.00,948.00,1045.00,1053.00,1082.00
ISR,613.00,634.00,739.00,650.00,680.00,709.00,653.00,612.00,655.00,656.00,645.00,648.20
LUX,89.00,87.00,92.00,93.00,84.00,66.00,97.00,89.00,83.00,88.00,94.00,107.00
KOR,8382.00,8749.00,9222.00,9936.00,9429.00,9878.00,9517.00,10061.00,10074.00,10795.00,10486.00,10191.00
DEU,12803.00,12682.00,12859.00,12958.00,12551.00,12671.00,12239.00,11568.00,12145.00,12199.00,13125.00,12764.00
SVN,495.00,458.00,420.00,488.00,473.00,462.00,489.00,518.00,507.00,566.00,526.00,529.10
HUN,3390.00,3358.00,3451.00,3386.00,3190.00,2548.00,2339.00,2401.00,2372.00,2337.00,2377.00,2304.00
BEL,2386.50,2420.67,2454.83,2489.00,2316.00,2508.00,2429.00,2470.00,2590.00,2694.00,2728.17,2762.33
CHL,1493.00,1435.00,1411.00,1439.00,1469.00,1503.00,1671.00,1648.00,1774.00,1789.00,1821.89,1854.78
NLD,2146.00,2324.00,2204.00,2291.00,2182.00,2273.00,2323.00,2275.00,2405.00,2446.00,2509.00,2627.00
NZL,489.00,536.00,572.00,613.00,582.00,535.00,604.00,647.00,689.00,652.00,670.11,688.22
FRA,16683.00,16714.00,16651.00,17305.00,14948.00,15126.00,14590.00,14565.00,14632.00,14824.00,14617.44,14410.89
CHE,1369.00,1361.00,1435.00,1488.00,1394.00,1348.00,1503.00,1476.00,1532.00,1361.00,1454.00,1462.50
MEX,10217.00,10626.00,10804.00,10805.00,10670.00,11127.00,11146.00,10901.00,11411.00,11974.00,12354.00,12567.70
CAN,4435.00,4376.00,4774.00,4897.00,4921.00,5062.00,5198.00,5270.00,5526.00,5623.00,5755.00,5887.00
POL,6731.00,6441.00,6499.00,6119.00,6018.00,6152.00,6073.00,5824.00,6019.00,5674.00,5435.00,5439.00
PRT,1302.00,1413.00,1518.00,1598.00,1537.25,1476.50,1415.75,1355.00,1434.00,1390.00,1480.00,1309.00
EST,483.00,539.00,443.00,410.00,361.00,383.00,382.00,343.00,302.00,281.00,262.00,247.00
ISL,30.00,41.00,42.00,37.00,34.00,38.00,53.00,33.00,47.00,39.00,40.00,41.00
ESP,4434.00,4403.00,4448.00,4788.00,5207.00,5104.00,4935.00,4982.00,4800.00,4723.00,4754.00,5070.00
AUS,2587.00,2422.00,2530.00,2495.00,2675.00,2555.50,2436.00,2830.00,3008.00,3066.00,3053.00,3271.00
GBR,7596.44,7623.00,7458.00,7838.00,7980.00,7964.00,7917.00,7791.00,8217.00,7848.00,7862.00,7888.56
CZE,2376.00,2355.00,2245.00,2447.00,2413.00,2043.00,1782.00,1897.00,1899.00,1770.00,1816.00,1831.00
FIN,1275.00,1263.00,1289.00,1271.00,1383.00,1298.00,1324.00,1267.00,1265.00,1249.00,1267.00,1186.00
ITA,10312.00,10680.00,10667.00,10116.00,9942.33,9768.67,9595.00,9727.00,9844.00,10222.00,10108.00,10087.60
SVK,663.00,608.00,595.00,624.00,674.00,676.00,608.00,622.00,604.00,632.00,666.00,666.30
USA,46584.00,49226.00,51067.00,52193.00,53954.00,55239.00,56952.00,58460.00,58126.00,57950.00,59907.00,61239.30
DNK,1466.00,1263.00,1006.00,994.00,989.00,1003.00,1081.00,981.00,943.00,845.00,806.00,820.00
GRC,1116.00,1055.00,959.00,921.00,980.00,996.00,818.00,937.00,837.00,850.00,763.00,727.70
IRL,481.00,447.00,479.00,445.00,410.00,452.00,423.00,507.00,506.00,524.00,487.00,487.60
