Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
HUN,6151.00,6097.00,6062.00,6049.00,5907.00,5442.00,5257.00,5037.00,4994.00,4850.00,4696.00,4415.00
AUT,2966.00,2847.00,2925.00,2743.00,2795.00,2890.00,2769.00,2745.00,2744.00,2755.00,2715.00,2666.00
DNK,1890.00,1815.00,1590.00,1553.00,1446.00,1586.00,1591.00,1522.00,1495.00,1368.00,1253.00,1340.00
MEX,41885.00,40504.00,40854.00,40838.00,40022.00,41374.00,42849.00,41861.00,48244.00,52575.00,57482.00,59041.70
BEL,3837.50,3861.67,3885.83,3910.00,3931.00,3952.00,3895.00,3950.00,4054.00,4055.00,4079.17,4103.33
NZL,1125.00,1115.00,1126.00,1190.00,1135.00,1175.00,1140.00,1188.00,1230.00,1266.00,1281.67,1297.33
FIN,2853.00,2903.00,2788.00,2854.00,2970.00,2997.00,3013.00,2978.00,3012.00,2901.00,2733.00,2680.00
POL,19032.00,18602.00,18889.00,18692.00,18948.00,19211.00,19120.00,18927.00,19344.00,18623.00,18393.00,18345.00
ISR,1498.00,1637.00,1696.00,1525.00,1449.00,1400.00,1307.00,1286.00,1381.00,1271.00,1336.00,1319.80
SVN,1048.00,1107.00,1069.00,1109.00,1020.00,973.00,1101.00,1079.00,1008.00,1033.00,989.00,983.10
KOR,20417.00,19883.00,19540.00,21520.00,21047.00,20986.00,19987.00,20076.00,20401.00,21866.00,22158.00,22254.00
DEU,21720.00,21519.00,21437.00,21648.00,20758.00,20353.00,20041.00,19082.00,19366.00,19633.00,20187.00,20224.00
SVK,2451.00,2431.00,2427.00,2459.00,2388.00,2456.00,2454.00,2346.00,2570.00,2325.00,2281.00,2264.00
LUX,167.00,169.00,165.00,144.00,123.00,121.00,138.00,156.00,127.00,144.00,163.00,149.00
GRC,3380.00,3345.00,3034.00,3120.00,3167.00,3248.00,3063.00,3206.00,3012.00,3018.00,2791.00,2732.10
USA,104684.00,110873.00,113045.00,114664.00,116113.00,121167.00,125362.00,126665.00,125690.00,122221.00,123729.00,125633.50
JPN,49308.00,48680.00,48835.00,50292.00,48596.00,49775.00,47631.00,47600.00,47351.00,47796.00,48346.00,55798.00
PRT,3467.00,3755.00,4223.00,4032.00,3800.50,3569.00,3337.50,3106.00,3120.00,3087.00,3047.00,2799.00
SWE,2700.00,2941.00,3028.00,2868.00,3175.00,2925.00,2898.00,3057.00,3013.00,2945.00,2912.00,2933.20
EST,1609.00,1791.00,1566.00,1427.00,1405.00,1276.00,1246.00,1269.00,1056.00,1003.00,873.00,887.00
ESP,12107.00,11596.00,11483.00,11909.00,11837.00,11798.00,11204.00,10935.00,10489.00,9773.00,9312.00,9163.00
IRL,1097.00,1201.00,1124.00,1012.00,1010.00,1127.00,1057.00,1252.00,1215.00,1370.00,1114.00,1115.70
CHL,6261.00,6188.00,5908.00,5968.00,6039.00,6015.00,6176.00,6009.00,6187.00,6362.00,6373.22,6384.44
CZE,4694.00,4555.00,4593.00,4848.00,4578.00,4333.00,4111.00,4234.00,4222.00,4176.00,4193.00,4142.00
ITA,15788.00,16047.00,16026.00,15568.00,15316.00,15064.00,14812.00,14732.00,14481.00,14420.00,13923.00,13736.50
AUS,5586.00,5386.00,5256.00,5178.00,5295.00,5101.00,4907.00,5402.00,5892.00,6005.00,5928.00,5852.00
NOR,1426.00,1350.00,1407.00,1520.00,1553.00,1430.00,1450.00,1388.00,1507.00,1551.00,1474.00,1525.00
CHE,2375.00,2320.00,2218.00,2133.00,2147.00,2113.00,2218.00,2306.00,2210.00,2220.00,2112.00,2085.70
FRA,24753.00,24352.00,24237.00,24369.00,22483.00,22682.00,22277.00,22080.00,22406.00,22837.00,22624.11,22411.22
NLD,3023.00,3120.00,3114.00,3113.00,3044.00,3070.00,3037.00,2936.00,3021.00,3172.00,3240.00,3228.00
CAN,8814.00,8891.00,9061.00,9204.00,9020.00,9677.00,9325.00,9679.00,9921.00,10014.00,10147.33,10280.67
ISL,103.00,90.00,70.00,65.00,70.00,66.00,92.00,86.00,78.00,79.00,76.33,73.67
GBR,12719.44,12707.00,12365.00,12466.00,12660.00,12646.00,12936.00,12937.00,13173.00,13233.00,12595.00,12582.56
