Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MEX,2.30,2.20,2.20,2.20,2.00,2.00,1.90,1.70,1.70,1.90,1.50,1.42
BEL,0.10,0.10,0.10,0.10,0.00,0.10,0.20,0.10,0.10,0.10,0.10,0.10
FRA,0.20,0.20,0.20,0.20,0.20,0.10,0.20,0.20,0.20,0.30,0.31,0.32
EST,0.70,0.20,0.20,0.60,0.60,0.30,0.10,0.12,0.15,0.18,0.20,0.20
ISR,0.20,0.30,0.20,0.10,0.20,0.10,0.30,0.20,0.20,0.10,0.20,0.20
POL,0.20,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.00,0.00,0.00
NOR,0.10,0.10,0.10,0.30,0.20,0.10,0.20,0.20,0.10,0.00,0.10,0.10
KOR,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.10,0.20,0.30,0.30
AUS,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
DNK,0.10,0.10,0.10,0.00,0.07,0.13,0.20,0.10,0.20,0.10,0.10,0.10
GBR,0.21,0.20,0.10,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.10,0.09
ESP,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.00,0.10,0.10,0.10,0.10
ITA,0.10,0.00,0.10,0.10,0.07,0.03,0.00,0.00,0.00,0.10,0.10,0.10
CZE,0.10,0.10,0.10,0.10,0.10,0.10,0.20,0.10,0.10,0.10,0.10,0.00
HUN,0.20,0.10,0.20,0.10,0.10,0.10,0.20,0.10,0.30,0.30,0.30,0.20
SVK,0.00,0.20,0.20,0.10,0.10,0.10,0.10,0.10,0.10,0.20,0.22,0.24
CAN,0.10,0.20,0.10,0.10,0.10,0.20,0.20,0.10,0.20,0.20,0.21,0.22
ISL,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
USA,0.30,0.30,0.30,0.40,0.50,0.50,0.50,0.50,0.50,0.60,0.60,0.63
CHL,0.60,0.50,0.50,0.40,0.50,0.50,0.50,0.50,0.40,0.50,0.49,0.48
SVN,0.20,0.30,0.27,0.23,0.20,0.10,0.30,0.30,0.20,0.10,0.09,0.08
SWE,0.10,0.10,0.10,0.10,0.00,0.10,0.10,0.00,0.10,0.10,0.10,0.10
GRC,0.00,0.10,0.00,0.00,0.10,0.00,0.10,0.00,0.00,0.10,0.10,0.11
AUT,0.10,0.10,0.00,0.00,0.10,0.10,0.00,0.10,0.00,0.10,0.00,0.10
JPN,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
IRL,0.00,0.10,0.20,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.10,0.11
LUX,0.40,0.43,0.45,0.47,0.50,0.50,0.45,0.40,0.40,0.40,0.40,0.40
PRT,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.20,0.10
FIN,0.10,0.10,0.10,0.10,0.30,0.10,0.20,0.00,0.20,0.00,0.10,0.10
CHE,0.10,0.00,0.10,0.10,0.10,0.10,0.20,0.00,0.20,0.10,0.10,0.10
DEU,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
NLD,0.20,0.20,0.20,0.10,0.10,0.20,0.20,0.10,0.10,0.10,0.10,0.00
NZL,0.20,0.10,0.40,0.20,0.20,0.30,0.40,0.60,0.30,0.50,0.53,0.57
