Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.00,0.10,0.10
NLD,0.30,0.20,0.20,0.20,0.20,0.20,0.10,0.20,0.20,0.10,0.10,0.10
GBR,0.19,0.20,0.20,0.30,0.30,0.20,0.30,0.30,0.30,0.30,0.30,0.31
SVN,0.10,0.10,0.12,0.15,0.18,0.20,0.15,0.10,0.10,0.10,0.10,0.10
JPN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GRC,0.10,0.10,0.10,0.00,0.10,0.00,0.00,0.10,0.00,0.00,0.00,-0.01
CZE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.00
CAN,0.50,0.40,0.40,0.40,0.40,0.60,0.50,0.50,0.50,0.40,0.39,0.38
ITA,0.70,0.70,0.70,0.90,0.83,0.77,0.70,0.60,0.60,0.60,0.60,0.59
FRA,0.70,0.70,0.70,0.70,0.70,0.60,0.60,0.60,0.50,0.40,0.37,0.33
ISL,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
POL,0.10,0.20,0.10,0.10,0.10,0.10,0.10,0.10,0.20,0.10,0.10,0.20
CHE,1.30,0.90,0.80,0.50,0.40,0.60,0.60,0.40,0.40,0.40,0.20,0.09
USA,2.50,2.40,2.40,2.40,2.40,2.20,2.20,2.10,1.90,1.70,1.50,1.40
HUN,0.10,0.00,0.00,0.00,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00
KOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SWE,0.10,0.20,0.20,0.20,0.00,0.20,0.10,0.20,0.10,0.20,0.10,0.10
FIN,0.10,0.10,0.10,0.00,0.10,0.10,0.10,0.00,0.00,0.00,0.10,0.00
EST,0.60,0.70,0.80,0.90,1.00,1.10,1.90,1.80,1.70,1.40,1.50,1.70
ISR,0.10,0.20,0.20,0.30,0.30,0.40,0.20,0.20,0.30,0.30,0.20,0.21
AUT,0.30,0.30,0.20,0.30,0.30,0.20,0.30,0.20,0.20,0.20,0.20,0.30
DNK,0.20,0.30,0.20,0.20,0.30,0.30,0.20,0.20,0.10,0.20,0.30,0.10
SVK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NOR,0.30,0.10,0.10,0.20,0.30,0.30,0.20,0.10,0.10,0.30,0.20,0.10
PRT,3.20,3.00,3.20,3.60,3.40,3.20,3.00,2.80,2.90,2.70,2.30,2.10
MEX,1.40,1.50,1.50,1.60,1.60,1.60,1.70,1.80,1.80,1.80,1.60,1.62
CHL,0.70,1.00,0.70,0.90,0.50,0.70,0.80,0.60,0.70,0.80,0.81,0.82
ESP,1.50,1.50,1.30,1.50,1.20,1.20,1.20,1.00,1.10,0.90,0.80,0.80
NZL,0.20,0.10,0.20,0.10,0.20,0.10,0.20,0.20,0.00,0.00,-0.02,-0.04
BEL,0.45,0.43,0.42,0.40,0.40,0.30,0.30,0.30,0.30,0.30,0.28,0.27
IRL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.20,0.20,0.22
DEU,0.20,0.30,0.30,0.30,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20
LUX,0.97,0.91,0.86,0.80,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.34
