Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
KOR,1.50,1.20,0.50,0.20,0.00,0.00,0.05,0.10,0.00,0.10,0.00,0.10
SVN,0.40,0.32,0.25,0.17,0.10,0.60,0.48,0.35,0.23,0.10,0.10,0.07
BEL,1.35,1.30,1.25,1.20,0.70,1.60,0.30,0.90,0.30,0.90,0.85,0.80
HUN,0.60,0.20,0.10,0.50,0.10,0.20,0.00,0.10,0.20,0.30,0.10,0.30
MEX,0.40,0.30,0.00,0.00,0.00,0.10,0.10,0.10,0.10,0.40,0.30,0.29
JPN,0.60,0.20,0.40,1.10,0.60,1.60,0.70,0.60,0.20,0.50,0.10,0.40
FIN,4.10,0.90,0.80,1.20,0.60,0.80,0.20,0.20,0.20,0.40,0.10,0.60
EST,0.80,0.50,0.20,0.46,0.71,0.97,1.23,1.49,1.74,2.00,1.15,0.30
USA,0.80,0.10,0.30,0.70,0.40,0.60,0.30,0.20,0.60,0.50,0.10,0.03
ESP,1.80,0.20,0.70,0.40,0.20,1.10,0.10,0.10,0.10,0.10,0.00,0.10
NLD,2.80,0.50,1.10,1.10,1.10,2.30,0.60,0.40,0.30,0.70,0.20,0.30
AUT,1.90,0.80,0.20,0.20,0.00,0.50,0.10,0.00,0.10,0.20,0.00,0.20
POL,1.60,0.10,0.10,0.70,0.20,0.10,0.10,0.10,0.10,0.30,0.10,0.30
CAN,2.50,0.40,1.10,0.90,1.20,2.50,0.40,0.70,0.90,0.80,0.61,0.42
CHL,0.40,1.00,0.20,0.30,0.70,0.60,0.20,0.20,0.20,0.20,0.18,0.16
FRA,2.80,0.30,0.90,0.80,0.20,1.60,0.20,0.30,0.30,0.50,0.24,-0.01
PRT,0.90,0.20,0.90,0.30,0.25,0.20,0.15,0.10,0.20,0.30,0.00,0.10
SWE,5.10,0.60,2.00,0.80,1.20,1.60,0.30,0.60,0.30,0.60,0.10,-0.40
AUS,0.40,0.20,0.40,0.40,0.20,0.15,0.10,0.40,0.20,0.20,0.10,0.20
DEU,0.30,0.10,0.10,0.40,0.20,0.30,0.10,0.10,0.10,0.20,0.00,0.10
NOR,5.60,0.30,0.50,1.20,0.50,1.10,0.40,0.70,0.20,0.60,0.10,0.70
LUX,1.30,0.85,0.40,0.90,0.80,1.20,0.50,1.10,0.75,0.40,0.40,0.40
GRC,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.50,0.53
CHE,4.50,0.40,0.90,0.70,0.70,1.30,0.10,0.40,0.30,0.80,0.10,-0.34
DNK,0.80,0.40,0.90,0.70,1.10,0.70,0.50,0.20,0.20,0.20,0.20,0.20
CZE,1.60,0.40,0.30,0.40,0.20,1.00,0.10,0.50,0.60,0.70,0.80,1.00
IRL,2.00,0.40,0.10,0.30,0.10,0.10,0.10,0.10,0.10,0.10,-0.11,-0.32
GBR,0.10,0.10,0.10,0.10,0.10,0.10,0.00,0.10,0.10,0.20,0.10,0.10
NZL,0.20,0.40,0.50,0.30,0.60,0.50,0.50,0.40,0.30,0.40,0.42,0.44
ISR,0.10,0.10,0.10,0.10,0.05,0.00,0.05,0.10,0.05,0.00,0.10,0.10
ISL,9.20,6.95,4.70,2.40,6.95,11.50,1.20,2.00,2.90,1.80,0.98,0.16
ITA,2.50,0.60,0.80,1.50,1.13,0.77,0.40,0.50,0.60,0.60,0.30,0.08
SVK,2.20,1.10,0.40,1.20,0.50,0.70,0.10,0.20,0.40,0.20,0.20,0.00
