Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,42.20,40.77,39.33,37.90,34.70,36.90,33.10,31.00,30.70,29.30,27.87,26.43
SVK,41.00,37.20,36.50,33.80,35.30,37.50,34.10,34.50,33.60,33.90,34.30,33.63
PRT,48.40,42.60,42.80,42.20,41.40,40.60,39.80,39.00,38.60,36.90,37.10,34.50
DEU,39.00,37.90,37.80,37.30,34.50,33.50,32.70,30.90,31.70,30.70,30.70,31.30
DNK,52.40,53.90,54.30,50.00,52.30,51.00,53.70,46.70,46.50,47.90,48.20,49.90
NLD,48.30,45.30,46.00,44.60,42.70,42.40,41.60,40.70,39.50,39.10,39.40,36.30
NOR,61.10,57.20,59.50,58.60,57.40,55.30,54.30,56.10,55.40,52.00,51.20,50.60
FIN,46.40,47.50,46.70,42.40,43.70,40.40,41.20,38.70,37.70,34.80,36.30,37.10
IRL,51.10,51.60,51.60,44.30,49.30,46.90,46.90,42.70,41.20,41.70,40.30,39.22
KOR,9.30,10.60,11.80,11.70,13.30,12.40,12.90,13.30,13.40,13.20,13.30,13.50
CZE,44.10,44.90,47.30,48.60,48.40,42.80,40.90,37.20,36.20,35.00,35.50,33.50
CHE,48.50,47.80,44.10,45.70,44.20,41.70,40.90,39.20,39.80,37.50,40.80,40.03
HUN,46.60,42.20,39.30,39.30,37.70,31.60,33.70,32.70,32.70,32.50,32.30,31.40
NZL,51.40,50.50,49.60,44.50,46.00,42.60,40.30,39.90,44.10,36.40,34.73,33.07
CHL,51.50,47.70,48.70,50.10,48.40,48.00,48.30,46.30,44.90,47.40,46.94,46.49
POL,32.00,34.20,34.80,33.30,34.20,33.50,33.70,34.60,33.20,33.40,31.30,31.60
SWE,59.00,57.60,54.50,60.00,58.00,54.50,54.30,53.60,53.20,51.10,49.70,48.77
CAN,38.80,39.20,36.80,35.40,34.60,32.40,31.00,30.50,29.80,28.90,27.80,26.70
SVN,48.70,47.70,51.40,56.00,44.80,53.30,53.10,54.50,49.50,52.60,48.60,48.59
MEX,29.80,29.70,29.90,31.60,30.30,31.40,28.90,28.40,28.90,28.00,28.80,28.70
EST,49.00,39.70,45.70,43.10,54.50,55.40,48.50,43.30,55.20,55.70,57.20,49.20
ESP,34.80,35.30,34.30,32.90,32.20,30.10,28.50,28.50,27.00,26.50,27.40,26.90
GBR,43.08,42.50,42.00,42.40,41.60,39.80,38.70,38.50,37.30,37.10,37.30,36.72
AUS,43.40,42.70,42.70,41.40,40.00,39.60,39.20,37.90,37.60,37.30,37.50,36.60
ISR,23.80,27.60,22.80,25.30,24.40,22.30,21.20,20.40,20.00,18.90,17.20,16.54
LUX,47.70,38.10,30.70,36.10,27.40,33.70,33.30,42.40,30.20,37.50,25.20,24.90
GRC,29.60,30.80,29.40,29.70,30.80,31.90,29.50,30.80,28.00,26.80,25.50,25.09
ITA,29.30,28.90,28.20,30.00,28.80,27.60,26.40,25.70,24.60,24.00,23.30,22.70
AUT,47.90,44.80,41.10,42.90,40.70,37.70,35.50,33.20,36.20,33.30,32.10,31.40
JPN,15.10,14.80,15.00,14.90,15.10,15.00,14.90,14.60,14.30,13.90,14.50,13.90
FRA,40.90,40.10,40.50,40.80,38.30,36.80,34.80,33.80,32.90,31.60,30.57,29.53
ISL,51.50,50.30,67.60,38.00,54.90,54.70,37.00,52.30,49.20,49.50,49.28,49.06
USA,35.60,34.00,32.60,30.90,29.60,28.60,27.40,28.00,25.80,24.90,24.80,23.72
