Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GBR,7690.00,7653.00,7633.00,7573.00,7501.00,7464.00,7463.00,7546.00,7517.00,7327.00,7320.00,7283.00
MEX,1306.00,1391.00,1376.00,1519.00,1600.00,1661.00,1686.00,1853.00,1944.00,1732.00,1892.00,1950.60
EST,204.00,190.00,230.00,186.00,235.00,210.00,216.00,208.00,213.00,213.00,209.00,229.00
NZL,563.00,571.00,545.00,555.00,603.00,614.00,629.00,609.00,587.00,610.00,615.22,620.44
IRL,411.00,359.00,388.00,426.00,400.00,402.00,419.00,377.00,424.00,381.00,401.00,400.00
CAN,3094.00,3166.00,3269.00,3227.00,3437.00,3431.00,3327.00,3620.00,3588.00,3607.00,3664.00,3721.00
SVK,713.00,688.00,755.00,722.00,730.00,720.00,755.00,760.00,747.00,720.00,701.00,699.80
KOR,1962.00,2069.00,2288.00,2485.00,2619.00,2762.00,2812.00,2889.00,3016.00,3153.00,3351.00,3344.00
DEU,15329.00,14947.00,14854.00,14598.00,14034.00,13843.00,13469.00,13048.00,12936.00,12504.00,12510.00,12439.00
POL,4144.00,4344.00,4303.00,4364.00,4377.00,4500.00,4462.00,4498.00,4730.00,4749.00,4861.00,4787.00
ISR,648.00,671.00,638.00,640.00,602.00,627.00,652.00,654.00,613.00,669.00,707.00,712.90
PRT,1265.00,1395.00,1356.00,1443.00,1446.50,1450.00,1453.50,1457.00,1559.00,1541.00,1538.00,1653.00
AUS,2149.00,2153.00,2187.00,2019.00,1896.00,1759.00,1622.00,1889.00,1891.00,1814.00,1816.00,1839.00
HUN,2372.00,2258.00,2185.00,2311.00,2261.00,2095.00,2141.00,2158.00,2190.00,2187.00,2261.00,2219.00
SWE,1270.00,1316.00,1257.00,1216.00,1289.00,1218.00,1307.00,1367.00,1330.00,1278.00,1281.00,1282.10
FRA,7605.00,7511.00,7570.00,7870.00,7641.00,7851.00,7723.00,7674.00,8024.00,8045.00,8093.89,8142.78
ITA,7839.00,7958.00,8072.00,8005.00,8108.33,8211.67,8315.00,8625.00,8621.00,8582.00,8684.00,8768.50
CHE,791.00,819.00,791.00,820.00,761.00,720.00,720.00,815.00,740.00,756.00,734.00,728.30
GRC,872.00,929.00,944.00,950.00,939.00,994.00,964.00,1040.00,1096.00,1029.00,1064.00,1083.20
JPN,16201.00,16808.00,17211.00,18039.00,18373.00,18814.00,18834.00,19162.00,19762.00,19835.00,20495.00,21072.00
NLD,2160.00,2207.00,2192.00,2195.00,2169.00,2333.00,2300.00,2370.00,2360.00,2313.00,2420.00,2508.00
LUX,57.00,58.00,57.00,54.00,36.00,61.00,62.00,63.00,51.00,73.00,55.00,67.00
NOR,817.00,868.00,788.00,858.00,780.00,753.00,806.00,813.00,795.00,784.00,816.00,781.00
CZE,1885.00,1911.00,1893.00,2035.00,1946.00,1783.00,1734.00,1638.00,1618.00,1572.00,1608.00,1565.00
USA,29015.00,28662.00,28240.00,27951.00,26842.00,26409.00,26628.00,26462.00,26227.00,25424.00,25340.00,24972.50
FIN,563.00,498.00,509.00,559.00,484.00,544.00,516.00,524.00,535.00,565.00,546.00,589.00
AUT,1296.00,1205.00,1182.00,1248.00,1141.00,1150.00,1119.00,1032.00,1015.00,969.00,1029.00,1007.00
CHL,699.00,671.00,681.00,731.00,789.00,796.00,843.00,828.00,886.00,977.00,1007.89,1038.78
SVN,277.00,264.00,292.00,333.00,296.00,317.00,308.00,343.00,361.00,318.00,343.00,349.60
ESP,5189.00,5216.00,5299.00,5378.00,5559.00,5462.00,5498.00,5646.00,5829.00,5873.00,6067.00,6388.00
BEL,1420.50,1430.33,1440.17,1450.00,1411.00,1412.00,1430.00,1433.00,1414.00,1509.00,1518.83,1528.67
DNK,1081.00,1068.00,985.00,980.00,974.00,1033.00,1039.00,897.00,993.00,943.00,941.00,958.00
ISL,28.00,20.00,23.00,32.00,23.00,26.00,23.00,25.00,21.00,22.00,21.33,20.67
