Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
LUX,22.40,24.00,23.00,21.50,14.20,23.90,23.30,23.60,18.60,25.50,19.30,22.30
PRT,21.10,22.60,21.80,22.50,22.15,21.80,21.45,21.10,22.20,21.50,20.60,21.00
EST,23.30,21.70,25.30,20.80,25.20,23.20,23.30,21.80,21.30,21.50,20.40,22.00
SVN,25.90,24.10,25.50,28.20,25.20,25.90,24.60,26.80,27.60,23.60,24.80,24.69
GBR,20.88,20.60,20.40,20.20,19.90,19.60,19.40,19.40,19.10,18.40,18.10,17.82
CAN,20.60,20.60,20.80,20.00,20.70,20.20,19.00,20.10,19.40,19.00,18.82,18.64
FIN,17.80,15.60,15.70,16.90,14.40,15.90,14.70,14.70,14.60,15.20,14.40,15.20
POL,22.70,23.20,22.60,22.80,22.20,22.20,21.60,21.20,21.90,21.50,21.50,20.80
JPN,19.70,19.80,19.50,19.80,19.60,19.30,18.70,18.50,18.40,17.90,18.00,18.00
NLD,25.00,25.20,24.80,24.60,23.90,25.30,24.40,24.80,24.20,23.30,24.00,24.40
CHL,15.90,14.50,14.20,14.70,15.30,15.00,15.20,14.40,14.90,15.80,15.79,15.78
ESP,20.90,20.70,20.60,20.30,20.50,19.60,19.10,19.30,19.50,19.10,19.40,19.60
CZE,34.00,34.20,33.60,35.80,33.90,30.60,28.80,26.80,25.90,24.50,24.80,23.70
BEL,21.90,21.70,21.50,21.30,20.60,20.40,20.00,19.70,19.00,20.10,19.90,19.70
DEU,27.10,26.20,25.80,25.30,24.00,23.20,22.20,21.20,20.70,19.80,19.40,19.00
CHE,17.90,18.00,17.00,17.40,15.90,14.80,14.50,16.40,14.60,14.60,13.90,13.50
SWE,21.00,21.40,20.60,19.70,20.60,19.60,20.70,21.60,20.80,20.00,19.40,19.24
DNK,33.80,33.10,30.70,30.10,29.80,31.00,31.00,26.00,28.70,27.20,26.80,27.00
ISR,28.10,28.10,25.90,25.60,23.50,24.00,24.00,23.40,21.40,22.20,22.60,22.05
ITA,20.20,20.00,19.70,19.20,19.00,18.80,18.60,18.90,18.40,18.00,17.90,17.67
MEX,6.20,6.30,6.00,6.50,6.50,6.50,6.40,6.70,6.80,5.90,6.30,6.31
IRL,25.40,21.80,23.10,25.00,22.80,22.50,23.10,20.60,22.50,19.70,20.10,19.57
SVK,29.60,28.10,30.00,28.30,28.00,27.70,28.10,28.10,27.00,25.60,24.50,23.99
KOR,13.50,14.10,15.00,15.60,15.70,16.30,15.90,16.00,15.80,15.90,16.20,15.50
AUS,23.80,23.10,22.90,20.50,18.90,17.35,15.80,17.50,17.10,16.00,15.60,15.30
FRA,20.20,19.70,19.60,20.10,19.30,19.30,18.20,17.70,18.20,17.70,17.42,17.14
NOR,29.90,31.30,28.50,30.50,27.40,26.30,27.90,28.20,27.20,26.50,27.00,25.50
ISL,23.90,15.80,18.00,25.10,17.60,19.20,16.50,18.00,14.50,15.20,14.23,13.27
USA,20.40,19.80,19.20,18.70,17.70,17.00,16.90,16.60,15.80,15.00,14.70,14.13
AUT,25.00,23.10,22.40,23.20,21.20,20.80,19.90,18.10,17.30,16.40,17.10,16.40
NZL,32.70,32.00,29.80,29.90,31.70,31.60,31.60,29.90,28.20,28.50,28.03,27.57
HUN,41.40,37.20,35.40,37.30,35.80,32.60,32.80,32.80,32.80,32.10,32.80,32.00
GRC,14.70,15.30,15.30,15.40,14.90,15.50,14.20,15.10,15.50,13.90,13.90,13.82
