Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHE,293.20,291.10,271.20,275.00,267.30,265.80,260.50,259.20,254.90,245.50,247.30,242.71
POL,386.80,392.40,395.10,389.70,390.80,382.40,381.40,381.20,372.40,367.90,356.70,350.20
BEL,351.30,345.50,339.70,333.90,324.20,326.10,313.40,307.80,309.40,299.10,293.30,287.50
NOR,297.30,298.60,302.10,294.30,289.80,286.20,276.10,280.40,277.40,269.40,272.00,267.90
MEX,159.00,155.40,157.90,158.70,155.90,158.20,151.80,146.80,150.20,145.10,146.50,145.25
NZL,319.10,318.80,309.30,303.70,295.70,282.70,270.00,288.30,279.60,261.60,255.21,248.82
IRL,337.90,333.10,325.50,313.90,321.90,300.40,311.70,305.50,303.10,314.50,277.80,271.79
LUX,350.20,306.40,302.00,324.80,313.70,289.20,275.80,319.10,269.50,289.00,298.90,280.00
NLD,361.90,355.00,351.90,347.80,340.60,335.60,326.20,324.50,317.80,316.70,317.60,306.30
SVK,408.50,404.10,389.70,384.60,377.00,383.30,370.30,370.40,365.20,353.30,363.10,358.56
JPN,312.00,306.60,301.70,297.70,298.40,293.80,287.50,285.30,281.90,274.30,275.00,270.10
HUN,497.20,471.00,465.00,465.60,460.10,424.10,427.90,428.20,422.20,426.20,418.70,412.30
DEU,323.90,311.80,309.00,304.80,296.60,292.10,284.90,280.00,279.40,274.00,270.70,268.30
CAN,309.50,309.10,303.80,297.30,292.00,286.70,278.70,276.40,272.00,266.00,261.17,256.33
SWE,262.90,262.30,257.90,264.80,257.60,257.70,254.10,244.70,243.10,239.80,235.40,232.65
CZE,417.90,406.10,419.00,416.50,409.70,386.40,372.90,359.50,354.50,349.50,347.50,325.40
FRA,361.40,358.10,353.70,348.90,339.20,336.80,327.10,322.20,318.80,311.30,305.73,300.17
ESP,333.70,338.40,330.10,328.90,323.60,314.40,308.80,307.10,300.50,297.20,297.00,287.90
ISL,251.00,288.40,267.10,233.50,257.70,272.70,247.30,258.50,239.60,263.40,264.78,266.16
AUS,297.20,292.50,289.30,279.60,281.10,275.45,269.80,267.50,273.70,262.90,264.00,257.20
PRT,297.60,294.80,296.30,296.60,294.38,292.15,289.93,287.70,291.20,288.40,291.30,279.30
EST,372.10,366.90,380.50,374.20,391.50,394.70,391.50,385.70,378.60,380.00,385.90,376.30
GBR,327.10,322.50,319.50,314.10,307.60,300.60,298.50,294.30,290.80,285.80,281.10,276.50
SVN,390.20,386.50,392.10,388.60,372.50,363.00,370.20,386.80,372.10,372.50,364.00,361.38
ISR,256.80,258.10,257.10,257.50,245.50,245.90,235.30,237.20,232.30,224.10,225.80,222.70
CHL,299.20,283.90,285.60,286.00,278.80,280.20,273.20,260.70,253.70,268.10,264.64,261.19
DNK,356.40,349.40,335.50,333.20,343.30,333.50,339.00,305.70,304.40,297.00,300.50,297.50
AUT,313.50,307.60,307.20,311.80,305.40,296.30,292.00,279.40,291.60,281.40,273.30,271.60
ITA,341.20,343.00,330.80,334.20,327.67,321.13,314.60,310.10,304.60,300.30,294.70,290.05
GRC,293.50,297.10,285.70,289.60,290.90,289.90,275.50,280.30,279.10,274.90,261.30,258.08
USA,296.80,290.40,284.40,278.10,271.40,268.40,262.80,261.40,250.50,246.00,244.50,239.27
FIN,275.70,279.60,268.80,263.70,263.10,253.50,257.50,246.90,237.80,238.70,242.30,235.80
KOR,352.80,348.80,364.20,353.90,345.80,337.10,329.90,327.40,323.60,307.90,307.70,293.90
