Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHE,30.80,33.40,33.80,36.00,32.90,33.80,33.40,32.40,33.90,33.80,35.00,35.42
AUT,13.90,14.10,27.60,30.10,22.30,21.90,23.20,23.70,25.00,25.20,25.10,24.30
NZL,26.80,29.70,29.20,27.30,29.40,29.20,30.80,31.00,30.70,31.00,31.47,31.93
ESP,25.20,27.50,28.70,33.00,30.60,32.90,31.90,32.90,33.40,34.80,34.70,35.10
ISR,25.20,24.50,23.60,25.80,22.50,24.20,23.70,22.90,22.70,22.10,22.00,21.68
DNK,21.10,23.00,24.50,24.70,24.70,25.10,26.40,28.00,27.50,27.40,31.10,29.60
USA,38.00,39.20,40.80,42.60,42.50,44.70,44.60,45.70,47.20,45.30,47.00,47.90
LUX,26.80,28.50,28.70,32.80,26.70,36.40,30.90,27.30,28.70,21.20,31.00,32.10
ITA,20.90,21.30,20.80,27.80,27.07,26.33,25.60,26.60,26.70,27.00,26.50,27.06
AUS,25.90,26.10,27.50,25.10,26.10,26.05,26.00,28.50,30.20,28.90,29.50,31.10
EST,13.60,17.40,17.20,15.60,17.40,18.80,20.40,19.40,16.50,18.40,17.30,18.20
FIN,31.40,35.80,42.40,44.00,47.00,51.40,57.50,63.00,69.30,76.60,85.70,89.40
SVN,10.60,11.50,15.60,14.60,12.80,11.40,11.40,10.70,13.10,14.60,13.90,14.23
HUN,20.10,18.50,17.90,18.20,18.40,17.00,15.90,17.80,16.70,16.60,16.20,15.60
MEX,13.80,13.30,13.60,14.50,14.00,15.80,15.30,14.80,15.30,14.90,15.50,15.67
PRT,14.80,17.00,19.10,22.50,22.52,22.55,22.58,22.60,22.90,24.10,24.70,23.20
FRA,32.30,34.00,35.50,39.60,35.70,38.90,38.50,38.80,40.80,40.10,40.97,41.83
ISL,43.00,35.40,43.00,47.40,47.40,57.50,50.60,59.50,61.60,61.90,64.00,66.10
NLD,20.40,21.50,24.20,25.00,23.00,23.40,24.80,23.90,25.70,26.90,27.50,29.00
NOR,21.50,24.70,23.70,26.20,27.50,26.30,27.30,27.20,29.30,29.80,31.00,30.90
KOR,10.60,11.40,16.50,16.40,16.20,15.50,16.20,19.10,19.70,19.30,20.20,21.60
SVK,10.70,12.10,12.40,13.30,13.10,14.60,14.10,16.20,15.30,14.10,15.30,15.76
CHL,16.00,21.50,21.60,22.20,23.40,24.40,24.70,27.80,26.40,27.90,29.22,30.54
POL,11.10,11.80,11.90,11.90,12.50,14.40,14.00,14.00,14.00,14.40,14.00,14.40
GBR,25.62,26.00,26.60,27.90,25.70,26.30,26.00,27.50,28.90,28.30,29.40,29.78
DEU,18.60,18.80,19.90,20.50,19.30,19.80,20.20,18.50,19.70,20.30,20.70,21.10
CZE,15.80,18.30,19.60,22.30,21.20,22.00,21.50,12.60,12.50,10.40,10.00,20.20
GRC,12.50,11.60,10.90,10.40,10.60,9.90,10.20,11.30,10.90,11.50,11.30,11.18
BEL,32.30,32.63,32.97,33.30,29.90,32.50,32.60,32.80,35.80,35.30,35.63,35.97
JPN,7.00,7.20,7.20,7.40,7.70,8.10,8.60,8.90,9.30,9.40,10.20,11.20
CAN,38.30,40.20,39.30,38.00,36.90,37.50,36.10,36.50,37.50,35.80,35.52,35.24
SWE,18.10,20.10,21.30,22.10,24.90,25.30,26.00,27.30,27.70,28.00,30.40,31.63
IRL,23.20,24.30,23.60,23.70,23.80,23.50,22.50,28.90,28.10,30.10,29.40,30.02
