Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GBR,3148.89,3222.00,3352.00,3424.00,3405.00,3464.00,3620.00,3763.00,3814.00,3891.00,3880.00,3953.11
CAN,1510.00,1581.00,1555.00,1687.00,1751.00,1697.00,1756.00,1896.00,1897.00,1985.00,2037.78,2090.56
ESP,2077.00,2299.00,2242.00,2389.00,2445.00,2420.00,2539.00,2682.00,2778.00,2732.00,3000.00,3009.00
POL,1917.00,1872.00,1939.00,2016.00,2001.00,2090.00,2079.00,2174.00,2253.00,2350.00,2280.00,2238.00
CHL,321.00,319.00,379.00,404.00,389.00,393.00,407.00,416.00,451.00,491.00,509.89,528.78
NZL,168.00,137.00,150.00,153.00,172.00,180.00,156.00,212.00,176.00,211.00,215.78,220.56
CZE,777.00,799.00,832.00,878.00,857.00,935.00,886.00,897.00,860.00,958.00,971.00,1037.00
SVK,318.00,323.00,296.00,341.00,301.00,352.00,346.00,378.00,351.00,337.00,396.00,403.80
FIN,327.00,361.00,345.00,360.00,439.00,396.00,432.00,447.00,445.00,464.00,498.00,457.00
PRT,482.00,521.00,486.00,542.00,539.25,536.50,533.75,531.00,588.00,672.00,680.00,691.00
AUS,872.00,946.00,958.00,941.00,1013.00,1005.00,997.00,1235.00,1191.00,1142.00,1233.00,1218.00
ITA,3934.00,4078.00,4093.00,4274.00,4434.67,4595.33,4756.00,4750.00,4779.00,4870.00,5083.00,5197.90
SWE,666.00,646.00,676.00,675.00,670.00,694.00,748.00,714.00,739.00,685.00,720.00,725.40
IRL,181.00,196.00,199.00,179.00,185.00,176.00,196.00,238.00,239.00,238.00,243.00,249.20
KOR,1546.00,1632.00,1681.00,1654.00,1746.00,1862.00,1890.00,1917.00,2135.00,2229.00,2323.00,2394.00
FRA,3631.00,3745.00,3812.00,3900.00,4021.00,4192.00,4259.00,4431.00,4696.00,4631.00,4742.11,4853.22
DNK,387.00,321.00,337.00,369.00,397.00,385.00,441.00,398.00,418.00,418.00,454.00,452.00
HUN,789.00,781.00,860.00,784.00,855.00,808.00,819.00,838.00,899.00,897.00,863.00,942.00
NLD,846.00,944.00,873.00,877.00,966.00,1037.00,998.00,1119.00,1151.00,1178.00,1210.00,1201.00
USA,14238.00,14467.00,14877.00,15060.00,15776.00,16147.00,16559.00,17132.00,17515.00,17876.00,18703.00,19149.50
ISR,306.00,321.00,383.00,319.00,342.00,336.00,385.00,351.00,360.00,390.00,402.00,411.60
NOR,262.00,276.00,295.00,304.00,297.00,297.00,306.00,309.00,301.00,339.00,313.00,314.00
GRC,629.00,639.00,695.00,712.00,711.00,742.00,718.00,813.00,808.00,829.00,729.00,739.00
BEL,591.50,604.33,617.17,630.00,677.00,723.00,682.00,728.00,767.00,707.00,719.83,732.67
CHE,401.00,433.00,472.00,460.00,437.00,442.00,440.00,484.00,510.00,530.00,557.00,572.60
ISL,14.00,14.00,15.00,12.00,17.00,18.00,17.00,19.00,11.00,12.00,11.78,11.56
JPN,10380.00,10471.00,10787.00,11280.00,11933.00,12284.00,12539.00,13029.00,13703.00,14094.00,14569.00,14825.00
AUT,572.00,512.00,583.00,598.00,634.00,630.00,626.00,652.00,677.00,703.00,707.00,753.00
DEU,5750.00,5861.00,6103.00,6047.00,6412.00,6544.00,6729.00,6904.00,7327.00,7410.00,7538.00,7812.00
EST,87.00,98.00,89.00,101.00,96.00,90.00,113.00,103.00,101.00,106.00,108.00,121.00
SVN,117.00,121.00,121.00,124.00,116.00,106.00,144.00,158.00,159.00,167.00,165.00,169.80
MEX,1234.00,1323.00,1384.00,1401.00,1487.00,1506.00,1532.00,1602.00,1711.00,1698.00,1644.00,1685.00
LUX,29.00,34.00,24.00,23.00,34.00,27.00,20.00,31.00,28.00,40.00,30.00,38.00
