Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
IRL,1432.00,1251.00,1264.00,1269.00,1091.00,1151.00,1170.00,664.00,831.00,806.00,673.00,597.10
ISL,42.00,27.00,29.00,34.00,37.00,34.00,27.00,27.00,51.00,32.00,30.89,29.78
NLD,3718.00,3373.00,2943.00,3078.00,2814.00,3095.00,3072.00,2742.00,2937.00,2974.00,2683.00,2700.00
NOR,1276.00,1350.00,1551.00,1023.00,823.00,1077.00,970.00,1037.00,893.00,985.00,879.00,857.00
AUT,799.00,713.00,650.00,935.00,813.00,888.00,820.00,805.00,717.00,634.00,654.00,611.00
DNK,677.00,728.00,953.00,1017.00,1033.00,941.00,1018.00,1121.00,1060.00,1146.00,1046.00,1017.00
CZE,1343.00,1200.00,1246.00,1431.00,1144.00,1546.00,1595.00,1459.00,1426.00,1573.00,1579.00,1096.00
USA,35554.00,34536.00,36325.00,35292.00,32124.00,33794.00,30189.00,28425.00,29681.00,27133.00,26233.00,25300.90
SWE,1555.00,1386.00,1419.00,1368.00,1194.00,1301.00,1113.00,1171.00,1174.00,1085.00,702.00,616.70
KOR,1677.00,1196.00,1275.00,1323.00,1579.00,1977.00,2205.00,2227.00,2666.00,3117.00,3614.00,4285.00
LUX,38.00,50.00,80.00,85.00,52.00,46.00,46.00,43.00,52.00,47.00,53.00,48.00
JPN,40216.00,39549.00,40388.00,44328.00,44228.00,49931.00,50670.00,51584.00,53974.00,52115.00,55319.00,58148.00
POL,4569.00,3674.00,3440.00,3916.00,3760.00,4332.00,4236.00,4231.00,4351.00,4681.00,4434.00,4645.00
PRT,2258.00,1810.00,1634.00,1793.00,1901.25,2009.50,2117.75,2226.00,2550.00,2677.00,2522.00,2702.00
MEX,5632.00,5146.00,5461.00,5512.00,5685.00,6152.00,6110.00,5834.00,6167.00,6911.00,6771.00,6884.90
FRA,6178.00,5689.00,6000.00,6497.00,5097.00,6035.00,5110.00,5304.00,5596.00,5828.00,5789.11,5750.22
HUN,487.00,376.00,442.00,426.00,423.00,412.00,320.00,371.00,327.00,348.00,371.00,387.00
ESP,3690.00,3273.00,3753.00,3968.00,3509.00,4493.00,3732.00,4104.00,4340.00,4244.00,3754.00,4001.00
DEU,10474.00,9857.00,10980.00,12386.00,10678.00,12223.00,11227.00,11572.00,11684.00,11821.00,10241.00,9980.00
SVN,417.00,271.00,335.00,404.00,408.00,371.00,352.00,281.00,317.00,372.00,303.00,291.60
CAN,2370.00,2580.00,2525.00,2647.00,2991.00,2894.00,2739.00,2915.00,2750.00,2839.00,2891.11,2943.22
NZL,200.00,260.00,286.00,251.00,279.00,236.00,293.00,274.00,292.00,266.00,273.33,280.67
AUS,1577.00,1517.00,1680.00,1985.00,1857.00,1646.00,1435.00,1422.00,1012.00,961.00,1308.00,1318.00
EST,89.00,91.00,68.00,89.00,77.00,52.00,49.00,30.00,50.00,61.00,54.00,52.00
BEL,2627.00,2557.67,2488.33,2419.00,2001.00,2302.00,2209.00,1997.00,2172.00,2003.00,1933.67,1864.33
GRC,393.00,329.00,345.00,368.00,346.00,288.00,404.00,448.00,417.00,435.00,455.00,461.20
CHE,1052.00,775.00,897.00,876.00,804.00,885.00,741.00,727.00,674.00,755.00,616.00,572.40
CHL,2161.00,1931.00,1672.00,1630.00,1797.00,1627.00,1557.00,2020.00,1659.00,1757.00,1712.11,1667.22
ISR,361.00,242.00,314.00,325.00,350.00,457.00,393.00,508.00,496.00,470.00,466.00,476.50
GBR,22144.89,21592.00,22421.00,23564.00,20784.00,21242.00,19305.00,18939.00,19484.00,17528.00,16616.00,16063.11
FIN,1402.00,1313.00,1296.00,1204.00,875.00,514.00,304.00,325.00,230.00,278.00,217.00,178.00
ITA,4642.00,4382.00,4683.00,4338.00,4091.00,3844.00,3597.00,3738.00,3646.00,3777.00,3828.00,3746.60
SVK,784.00,749.00,826.00,845.00,761.00,857.00,829.00,861.00,871.00,872.00,962.00,979.80
