Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GBR,53.28,51.50,53.20,56.50,49.80,49.60,44.10,42.30,42.90,38.10,35.50,33.72
CHL,53.40,44.70,38.20,36.00,37.70,33.20,30.30,37.60,29.40,29.80,27.18,24.56
NLD,41.00,36.60,31.70,32.80,29.60,31.90,30.80,26.80,28.00,27.60,24.40,24.00
PRT,38.50,30.20,27.00,29.20,29.98,30.75,31.52,32.30,36.00,36.60,31.70,31.00
MEX,26.30,23.60,23.60,23.80,23.60,25.80,24.20,22.60,23.30,23.50,23.80,23.55
DEU,17.20,16.10,18.10,20.70,17.90,19.80,17.50,17.40,17.30,17.10,14.50,13.90
GRC,7.30,6.00,6.40,6.70,6.40,5.10,6.80,7.30,6.50,6.40,6.40,6.31
AUT,14.40,12.80,11.60,17.00,14.60,15.50,13.50,12.70,11.10,9.40,9.40,8.60
SWE,21.60,18.80,19.30,18.40,15.70,16.90,14.00,14.60,14.50,13.40,8.70,7.41
FRA,14.00,13.00,13.90,15.20,11.80,13.50,10.80,10.70,11.00,10.90,10.56,10.21
DNK,18.80,19.90,26.50,28.40,28.40,25.40,27.20,29.00,27.30,29.60,27.20,25.90
ISR,15.90,10.20,13.30,13.50,14.30,17.80,14.80,18.50,17.10,15.00,14.30,14.14
LUX,14.40,19.90,31.90,33.80,20.30,17.80,17.10,15.40,18.20,16.10,17.90,14.90
IRL,90.10,77.20,76.40,74.70,62.60,63.40,63.90,35.20,42.50,40.30,32.50,26.74
POL,28.50,22.50,20.80,23.50,22.10,24.60,22.70,21.70,21.50,22.20,20.10,20.40
HUN,9.30,6.80,7.90,7.70,7.40,7.00,5.30,5.90,5.00,5.20,5.40,5.60
ISL,35.20,22.00,23.00,26.00,27.50,24.60,18.70,17.90,32.50,20.10,18.42,16.74
SVN,41.50,27.50,33.30,40.60,39.30,34.60,30.60,23.20,24.30,27.10,21.10,19.06
AUS,16.70,15.40,16.50,18.90,17.50,15.20,12.90,11.90,8.20,7.60,10.00,9.70
EST,11.00,11.90,8.60,11.10,9.20,6.30,6.10,3.60,5.70,6.60,5.70,5.90
ITA,11.10,10.00,10.50,9.60,8.83,8.07,7.30,7.20,6.70,6.70,6.60,6.15
NZL,10.90,13.80,14.60,12.60,13.80,11.30,13.70,12.30,12.90,11.30,11.34,11.39
FIN,43.20,39.80,38.40,35.00,25.10,14.40,8.20,8.60,5.90,7.00,5.20,4.30
NOR,39.60,41.00,46.60,30.40,23.70,31.10,27.10,28.30,24.20,26.40,23.00,22.70
BEL,40.10,38.27,36.43,34.60,28.60,31.80,29.20,25.30,26.70,23.60,21.77,19.93
CZE,26.00,23.50,24.30,28.20,22.40,29.40,29.00,25.40,23.90,25.50,24.90,17.00
JPN,47.40,44.10,42.80,44.80,42.80,45.40,43.80,42.50,42.60,39.20,40.00,40.30
USA,23.10,21.90,22.50,21.60,19.30,19.80,17.40,16.20,16.40,14.90,14.10,13.20
KOR,15.30,10.60,11.20,11.30,13.00,15.60,16.80,15.80,17.70,19.60,21.40,23.90
CAN,15.30,16.30,15.40,15.70,17.20,16.10,14.60,14.90,13.70,13.70,13.52,13.34
CHE,20.70,15.00,16.80,16.50,15.00,16.00,13.00,12.50,11.30,12.40,9.80,8.71
SVK,36.50,35.30,39.30,40.40,33.70,37.00,34.60,34.80,34.70,33.40,35.80,35.73
ESP,14.20,12.30,13.70,14.00,12.00,14.90,11.90,12.70,13.00,12.20,10.50,10.80
