Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,19.40,17.30,18.70,21.10,19.70,17.30,14.90,13.40,8.70,8.10,10.90,10.90
EST,23.20,24.70,22.80,21.60,18.90,13.90,12.50,10.60,10.30,12.00,10.10,10.00
NOR,44.90,48.10,51.70,35.60,28.40,36.30,33.10,34.00,29.60,30.20,26.40,27.50
NZL,12.30,14.00,15.30,13.20,14.10,11.50,13.90,12.00,13.10,12.20,12.19,12.18
DNK,21.30,22.90,31.50,34.40,33.30,30.90,30.50,32.90,32.20,34.60,32.50,29.80
PRT,49.10,39.80,36.20,38.50,39.35,40.20,41.05,41.90,45.50,44.80,40.70,39.90
SVK,44.90,44.30,49.00,51.40,44.90,47.90,46.60,47.20,45.30,45.50,46.90,47.10
ISL,30.20,29.60,20.60,25.60,25.90,26.60,23.10,17.40,32.10,20.10,18.98,17.86
ITA,14.20,12.60,13.40,11.60,10.73,9.87,9.00,9.00,8.50,8.60,8.30,7.71
CHE,24.50,18.00,20.20,19.60,17.60,19.00,16.00,15.20,13.60,14.80,11.90,10.64
JPN,66.80,62.40,61.00,63.50,61.40,65.20,62.30,61.00,61.20,56.80,58.20,58.50
BEL,49.80,47.47,45.13,42.80,36.30,38.70,35.00,31.30,32.00,28.80,26.47,24.13
SVN,47.40,36.70,43.70,49.80,49.90,44.10,39.10,29.90,29.40,32.10,24.90,22.65
NLD,49.00,43.50,38.30,39.80,35.70,38.40,36.90,33.50,34.20,33.80,29.90,28.80
USA,26.70,25.20,25.80,24.70,22.30,22.60,20.10,18.80,18.80,17.10,16.50,15.48
LUX,19.10,27.00,35.60,46.80,29.00,22.00,21.20,21.50,20.30,20.90,17.30,16.40
KOR,21.50,15.50,14.80,15.30,17.80,20.60,21.80,21.00,23.20,25.60,28.50,31.10
GBR,58.17,56.20,57.40,60.80,53.60,53.20,47.50,45.40,45.60,41.50,38.50,36.53
SWE,26.30,23.70,24.20,23.00,19.00,20.20,17.30,17.30,18.10,16.60,11.80,10.35
HUN,11.50,8.40,10.30,10.10,9.60,9.30,7.10,7.50,6.80,6.90,7.10,7.40
ISR,18.40,12.60,15.00,15.90,16.00,19.10,16.70,21.30,20.40,17.20,15.20,14.88
CAN,18.20,19.00,17.60,18.00,20.00,18.20,16.90,17.10,15.90,15.90,15.64,15.39
GRC,8.80,7.20,7.30,7.30,7.60,6.70,7.30,8.80,7.80,7.40,7.30,7.15
MEX,31.10,28.10,27.50,28.40,28.30,30.30,29.30,26.90,28.00,28.00,29.10,28.90
POL,34.50,27.60,26.20,28.70,28.40,31.40,29.90,29.00,28.70,29.40,28.00,28.10
IRL,99.20,87.70,83.90,82.60,71.40,67.80,68.30,38.20,44.20,43.40,33.80,27.26
AUT,16.80,15.40,13.40,19.60,17.70,18.00,15.60,14.70,12.50,11.40,11.10,10.30
FRA,17.70,16.50,17.50,18.90,14.80,16.80,13.70,13.90,14.00,14.00,13.59,13.18
CZE,30.40,28.80,29.40,33.70,28.90,35.50,35.50,31.20,30.30,32.60,32.40,22.80
CHL,64.80,55.30,47.30,41.70,44.70,39.40,35.80,42.60,34.40,36.30,33.13,29.97
DEU,21.40,20.00,22.00,24.90,21.60,23.90,21.50,22.10,21.50,21.30,18.30,17.50
ESP,18.60,17.00,18.40,18.50,16.10,19.70,16.00,16.90,17.50,15.90,13.40,14.00
FIN,57.00,49.30,49.10,43.70,32.40,18.40,11.40,11.20,7.80,8.90,6.90,5.60
