Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SVN,2.10,3.30,2.30,2.30,2.00,2.20,2.10,2.60,5.50,5.10,4.60,4.85
SVK,5.00,4.40,4.50,4.90,4.10,4.80,5.00,5.20,5.40,5.40,3.60,3.46
EST,49.50,55.00,41.10,29.00,41.90,31.70,30.60,30.70,26.00,32.00,25.00,33.70
POL,7.30,7.50,7.40,7.80,7.70,9.30,9.30,7.90,7.30,7.30,6.60,5.80
ESP,3.30,3.10,2.60,2.40,2.40,2.90,2.40,2.50,2.80,2.30,2.20,2.10
NOR,2.40,2.70,2.90,10.00,11.40,10.00,10.60,10.90,11.50,11.10,10.10,9.20
PRT,1.10,1.40,1.10,0.90,0.75,0.60,0.45,0.30,0.40,0.30,0.50,0.30
IRL,1.40,2.00,2.00,1.00,1.00,3.10,2.40,9.30,10.20,10.40,8.90,9.65
GRC,5.30,6.50,4.90,4.60,4.80,7.00,6.40,6.30,4.40,5.30,4.40,4.31
FIN,16.10,16.30,15.00,16.40,19.30,21.90,23.30,25.20,23.50,23.40,18.90,19.80
AUS,6.00,4.10,3.70,4.50,4.90,4.80,4.70,4.70,5.70,6.30,6.10,6.10
KOR,1.90,1.80,1.20,1.20,1.10,1.30,1.30,1.00,0.90,0.70,0.90,0.70
GBR,2.86,3.00,2.50,2.10,2.40,2.50,3.00,3.80,4.00,4.30,4.30,4.44
ITA,0.60,0.60,0.60,0.50,0.67,0.83,1.00,1.30,1.20,1.30,1.00,1.04
CAN,4.30,4.10,4.30,3.80,4.20,4.20,4.70,5.50,5.50,5.90,6.08,6.26
DEU,1.00,1.80,1.40,1.20,1.20,1.30,1.40,1.30,1.40,1.30,1.20,1.10
FRA,2.00,1.70,1.50,1.90,1.60,2.00,2.30,2.30,2.60,2.90,3.00,3.10
ISL,0.70,5.90,3.70,2.10,1.60,2.90,1.90,2.45,3.00,2.00,2.14,2.29
BEL,0.95,1.17,1.38,1.60,1.80,2.20,2.40,2.90,3.10,2.90,3.12,3.33
MEX,2.10,1.80,1.70,1.80,1.60,1.50,3.60,2.30,2.50,2.30,2.00,1.99
NZL,1.00,1.20,1.30,1.30,1.60,2.10,1.50,2.80,3.50,3.90,4.22,4.54
SWE,3.80,5.40,4.60,4.60,4.40,5.10,4.90,6.30,5.80,6.60,6.40,6.66
NLD,1.20,1.10,1.20,1.10,1.50,1.10,1.00,1.00,1.40,1.60,1.00,1.20
DNK,5.00,5.10,3.60,2.80,2.50,5.10,5.40,3.80,4.80,5.60,5.70,6.20
JPN,0.70,0.70,0.60,0.90,0.80,0.90,0.90,0.90,0.90,1.00,0.80,0.90
AUT,2.40,1.70,1.00,0.30,0.50,0.30,0.50,0.70,0.40,0.30,0.50,0.30
CZE,4.30,4.70,4.70,4.30,4.60,4.30,3.90,4.30,4.20,4.50,4.60,4.70
CHE,0.60,0.70,0.50,0.50,0.40,0.50,4.00,3.90,4.00,3.60,3.10,3.35
USA,6.50,6.90,8.30,9.00,9.40,10.70,12.70,13.00,13.50,13.50,13.70,14.42
HUN,1.90,2.30,1.60,2.60,2.40,2.20,2.80,2.20,2.10,2.30,1.90,1.30
ISR,2.60,1.20,2.30,2.70,2.40,0.20,0.10,0.20,0.10,0.00,0.00,-0.26
CHL,2.10,1.60,0.90,1.00,0.70,1.30,3.60,2.70,3.00,3.60,3.77,3.93
LUX,8.40,7.90,3.90,4.40,4.70,5.00,6.00,6.70,8.00,8.20,3.60,3.60
