Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
NZL,54.20,66.40,63.10,60.10,65.60,56.20,60.10,56.80,62.90,60.10,60.76,61.41
PRT,79.60,65.10,65.40,68.20,69.35,70.50,71.65,72.80,76.40,79.00,70.50,65.70
ISR,62.90,50.60,55.10,52.50,52.30,59.80,57.90,60.10,56.20,47.00,45.60,43.87
ESP,64.80,56.10,61.20,64.90,54.70,65.90,52.90,57.30,56.20,53.30,47.30,48.20
IRL,158.40,141.80,134.00,135.20,121.10,121.20,119.10,94.10,97.60,95.90,83.70,76.23
CHE,45.00,35.10,37.20,38.00,34.30,38.30,31.60,30.90,30.20,34.00,29.20,27.62
FRA,40.80,35.50,38.10,41.00,33.70,38.60,30.90,31.10,31.20,31.20,30.13,29.07
AUT,38.10,35.30,36.50,46.90,39.20,40.20,36.90,35.90,32.20,32.50,31.40,28.90
EST,21.50,19.90,17.70,22.70,19.10,16.50,16.50,14.90,16.30,14.90,15.80,14.90
USA,81.70,80.40,80.20,80.00,75.40,78.50,72.60,71.50,74.60,71.30,69.20,67.95
LUX,49.00,50.50,72.60,70.20,48.60,49.50,47.80,51.30,50.60,52.70,47.10,52.90
HUN,39.20,31.00,32.70,37.90,37.50,45.20,41.20,45.20,39.50,41.70,39.50,42.30
AUS,53.90,51.30,55.10,55.40,54.20,50.35,46.50,48.90,46.00,43.80,46.50,47.00
CAN,54.90,53.50,53.10,54.30,56.40,58.10,51.60,54.10,52.40,53.40,53.23,53.07
FIN,61.70,55.00,53.10,50.20,38.60,29.00,21.50,23.30,20.50,22.90,19.50,19.30
JPN,69.70,66.20,64.30,66.70,64.30,67.90,63.70,62.20,62.10,58.60,60.30,61.30
SVK,58.40,54.60,60.20,63.50,53.90,56.30,52.50,52.70,50.10,50.00,54.00,53.56
KOR,62.00,58.10,62.30,51.30,43.30,43.10,41.60,42.30,43.50,44.00,45.60,47.30
GRC,66.90,57.70,65.40,64.70,65.30,66.80,71.10,80.10,76.20,75.30,69.50,69.76
DEU,41.70,38.70,43.80,48.00,42.60,46.50,42.20,43.00,43.00,45.30,41.90,40.60
ITA,38.30,32.30,34.60,39.70,36.90,34.10,31.30,32.20,31.40,32.30,30.40,29.61
POL,46.90,37.90,35.70,40.60,37.30,40.60,38.10,38.00,37.30,39.50,35.20,35.40
MEX,87.30,83.40,84.10,84.50,83.20,89.50,80.40,77.70,79.10,79.20,83.20,82.79
CHL,96.90,92.70,82.00,79.50,85.80,79.30,73.00,84.20,69.70,72.50,69.79,67.08
ISL,91.80,61.70,59.30,59.60,63.10,70.10,57.70,61.20,69.20,69.30,66.80,64.30
SVN,69.00,58.20,61.20,70.30,64.50,57.90,50.10,39.90,42.90,47.60,38.80,35.78
NLD,77.90,69.40,69.50,74.40,65.40,73.30,68.60,64.40,65.80,64.80,59.50,60.70
SWE,50.10,44.50,48.30,45.50,41.80,45.20,39.90,41.10,40.80,40.80,34.70,33.16
DNK,85.60,84.60,92.40,91.00,85.40,81.40,82.90,87.90,82.00,88.50,86.30,82.70
CZE,44.10,39.90,40.80,47.30,39.00,51.80,47.20,44.30,43.00,46.40,43.70,37.40
GBR,103.28,102.10,106.40,115.20,105.00,108.30,100.80,100.00,102.50,93.30,91.50,90.32
NOR,76.90,72.90,80.20,65.50,56.60,64.10,62.70,66.10,62.50,64.60,59.40,61.10
BEL,94.10,90.70,87.30,83.90,71.40,78.40,68.50,66.80,66.40,63.50,60.10,56.70
