Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DEU,2178.00,2217.00,2210.00,2295.00,2293.00,2327.00,2287.00,2467.00,2500.00,2657.00,2711.00,2921.00
ESP,701.00,742.00,743.00,764.00,761.00,840.00,834.00,850.00,877.00,864.00,975.00,927.00
USA,7420.00,7542.00,7514.00,7818.00,7952.00,8345.00,8441.00,8461.00,8623.00,9199.00,9154.00,9327.40
HUN,314.00,325.00,328.00,330.00,344.00,352.00,319.00,342.00,340.00,318.00,336.00,368.00
ITA,1439.00,1484.00,1493.00,1491.00,1520.00,1549.00,1578.00,1655.00,1560.00,1793.00,1773.00,1806.40
JPN,448.00,500.00,471.00,475.00,515.00,539.00,558.00,578.00,604.00,558.00,626.00,649.00
NOR,213.00,227.00,212.00,243.00,266.00,293.00,249.00,275.00,277.00,296.00,338.00,325.00
CHL,150.00,135.00,138.00,167.00,159.00,147.00,151.00,145.00,130.00,127.00,124.44,121.89
SVN,69.00,75.00,84.00,86.00,95.00,97.00,96.00,105.00,94.00,122.00,118.00,122.90
AUT,262.00,255.00,276.00,299.00,278.00,326.00,304.00,301.00,325.00,313.00,376.00,356.00
GBR,1594.00,1655.00,1646.00,1769.00,1785.00,1820.00,1855.00,2045.00,2074.00,2085.00,2204.00,2265.00
ISL,8.00,8.00,8.00,8.00,8.00,5.00,11.00,11.00,12.00,7.00,6.89,6.78
SWE,370.00,386.00,380.00,401.00,381.00,450.00,443.00,475.00,497.00,499.00,470.00,480.00
MEX,352.00,376.00,379.00,376.00,381.00,432.00,423.00,447.00,487.00,453.00,531.00,548.90
NLD,470.00,543.00,538.00,548.00,594.00,624.00,653.00,661.00,685.00,794.00,783.00,781.00
KOR,96.00,95.00,99.00,124.00,139.00,172.00,195.00,193.00,208.00,235.00,203.00,217.00
NZL,253.00,244.00,235.00,285.00,250.00,269.00,287.00,292.00,317.00,326.00,334.11,342.22
SVK,166.00,155.00,146.00,158.00,153.00,195.00,154.00,166.00,159.00,178.00,198.00,201.20
CZE,315.00,363.00,336.00,351.00,346.00,331.00,330.00,329.00,349.00,372.00,355.00,365.00
AUS,971.00,1074.00,1053.00,1145.00,1200.00,1197.00,1194.00,1280.00,1436.00,1385.00,1452.00,1544.00
BEL,288.50,291.67,294.83,298.00,276.00,280.00,267.00,302.00,317.00,317.00,320.17,323.33
ISR,165.00,155.00,139.00,156.00,147.00,186.00,200.00,177.00,196.00,169.00,207.00,211.20
DNK,216.00,246.00,204.00,228.00,215.00,236.00,230.00,231.00,257.00,247.00,258.00,259.00
IRL,66.00,55.00,95.00,97.00,103.00,97.00,110.00,105.00,137.00,126.00,133.00,139.70
GRC,131.00,144.00,118.00,174.00,148.00,162.00,158.00,173.00,181.00,167.00,202.00,209.10
EST,51.00,36.00,36.00,41.00,51.00,47.00,58.00,50.00,57.00,65.00,60.00,59.00
FIN,138.00,153.00,157.00,153.00,144.00,174.00,202.00,186.00,183.00,177.00,189.00,226.00
LUX,17.00,12.00,13.00,18.00,18.00,11.00,9.00,7.00,19.00,8.00,12.00,11.00
CAN,709.00,709.00,753.00,748.00,790.00,771.00,878.00,875.00,901.00,1019.00,1053.44,1087.89
CHE,239.00,234.00,222.00,236.00,286.00,274.00,280.00,304.00,284.00,307.00,310.00,317.10
FRA,1349.00,1382.00,1385.00,1432.00,1429.00,1512.00,1547.00,1541.00,1657.00,1685.00,1722.33,1759.67
PRT,159.00,160.00,146.00,181.00,182.00,183.00,184.00,185.00,216.00,208.00,244.00,252.00
POL,928.00,906.00,875.00,1007.00,945.00,906.00,1051.00,1083.00,1162.00,1144.00,1190.00,1259.00
