Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,5.80,6.30,6.00,6.40,6.60,6.50,6.40,6.50,7.10,6.70,6.90,7.10
GBR,2.64,2.70,2.70,2.90,2.80,2.90,2.90,3.10,3.10,3.10,3.20,3.26
NOR,4.80,5.00,4.70,5.30,5.70,6.20,5.20,5.70,5.60,6.00,6.70,6.30
EST,3.60,2.80,2.80,3.00,3.80,3.20,4.10,3.40,4.00,4.50,4.10,3.90
KOR,0.30,0.30,0.40,0.40,0.40,0.50,0.60,0.60,0.60,0.60,0.50,0.50
PRT,1.50,1.50,1.30,1.60,1.60,1.60,1.60,1.60,1.80,1.70,2.00,2.00
FIN,2.70,2.90,3.00,2.80,2.60,3.10,3.40,3.20,3.00,2.90,3.00,3.50
ISR,3.60,3.60,3.10,3.40,3.10,3.90,4.00,3.50,3.80,3.20,3.70,3.71
SVK,4.00,3.40,3.30,3.40,3.30,4.30,3.30,3.50,3.30,3.60,4.10,4.11
HUN,3.30,3.20,3.20,3.20,3.30,3.30,3.00,3.20,3.20,2.90,3.10,3.30
CZE,3.20,3.70,3.40,3.60,3.50,3.30,3.20,3.10,3.30,3.40,3.20,3.20
DEU,2.40,2.40,2.40,2.50,2.40,2.40,2.30,2.50,2.50,2.60,2.60,2.80
JPN,0.30,0.40,0.30,0.30,0.30,0.30,0.30,0.30,0.40,0.30,0.40,0.40
NLD,3.10,3.50,3.40,3.40,3.70,3.80,3.90,3.90,4.00,4.60,4.40,4.30
GRC,1.20,1.30,1.00,1.50,1.20,1.30,1.30,1.40,1.40,1.30,1.50,1.53
LUX,3.90,2.90,3.10,4.40,4.30,2.50,2.10,1.50,4.00,1.80,2.50,2.10
BEL,2.75,2.73,2.72,2.70,2.40,2.50,2.30,2.60,2.60,2.60,2.58,2.57
POL,2.90,2.70,2.60,3.00,2.80,2.60,2.90,3.00,3.20,3.10,3.10,3.30
ESP,1.70,1.80,1.70,1.70,1.70,1.80,1.70,1.70,1.80,1.70,1.90,1.70
CHL,1.70,1.50,1.40,1.80,1.60,1.50,1.40,1.30,1.20,1.10,1.03,0.97
FRA,2.20,2.30,2.20,2.30,2.20,2.30,2.30,2.30,2.40,2.40,2.42,2.44
IRL,2.10,1.80,3.00,3.00,3.20,2.90,3.20,3.00,3.90,3.50,3.60,3.75
AUT,3.20,3.10,3.30,3.60,3.20,3.70,3.40,3.30,3.50,3.30,3.90,3.60
NZL,8.00,7.50,7.10,8.50,7.30,7.50,8.00,7.90,8.30,8.40,8.44,8.49
SVN,3.70,3.90,4.30,4.40,4.80,4.70,4.70,5.00,4.20,5.60,5.20,5.35
DNK,4.00,4.50,3.70,4.10,3.80,4.10,4.00,3.90,4.20,4.00,4.10,4.20
CAN,2.60,2.60,2.60,2.60,2.60,2.50,2.80,2.70,2.70,3.00,3.04,3.09
ISL,3.80,3.20,3.50,3.50,3.50,2.00,4.40,4.10,4.30,2.60,2.47,2.33
ITA,2.30,2.30,2.30,2.20,2.20,2.20,2.20,2.30,2.10,2.40,2.30,2.30
CHE,3.20,3.10,2.90,3.00,3.60,3.40,3.40,3.60,3.30,3.50,3.50,3.53
USA,3.00,3.00,2.90,3.00,3.00,3.10,3.10,3.10,3.00,3.10,3.10,3.11
MEX,0.90,0.90,0.90,0.80,0.80,0.90,0.90,0.90,0.90,0.80,0.90,0.90
SWE,3.70,3.80,3.80,3.90,3.70,4.40,4.20,4.40,4.60,4.60,4.30,4.36
