Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
NLD,0.10,0.00,0.10,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.10
CHL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DEU,0.50,0.30,0.30,0.40,0.30,0.30,0.30,0.30,0.40,0.40,0.40,0.30
PRT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
USA,0.40,0.40,0.40,0.40,0.50,0.50,0.50,0.40,0.40,0.40,0.40,0.40
FRA,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
CZE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ISR,0.10,0.10,0.10,0.00,0.10,0.10,0.10,0.10,0.10,0.00,-0.01,-0.02
SVN,0.10,0.20,0.30,0.27,0.23,0.20,0.17,0.13,0.10,0.10,0.10,0.10
FIN,0.20,0.20,0.20,0.25,0.30,0.00,0.00,0.10,0.10,0.10,0.20,0.20
DNK,0.40,0.70,0.40,0.60,0.40,0.40,0.40,0.40,0.30,0.50,0.30,0.30
ESP,0.00,0.00,0.10,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00
BEL,0.30,0.30,0.30,0.30,0.20,0.20,0.20,0.00,0.10,0.30,0.30,0.30
NZL,0.10,0.30,0.50,0.20,0.20,0.10,0.10,0.10,0.10,0.10,0.10,0.10
SWE,0.40,0.00,0.20,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.00,-0.04
AUS,1.20,0.30,0.20,0.40,0.10,0.10,0.10,0.10,0.10,0.00,0.10,0.10
GBR,0.61,0.60,0.60,0.60,0.60,0.60,0.50,0.50,0.70,0.70,0.50,0.49
HUN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
POL,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ITA,0.29,0.26,0.23,0.20,0.17,0.13,0.10,0.10,0.10,0.10,0.00,-0.03
NOR,2.80,3.00,2.60,0.30,0.50,0.30,0.30,0.30,0.30,0.20,0.20,0.20
CAN,0.20,0.20,0.20,0.30,0.30,0.30,0.20,0.30,0.30,0.20,0.20,0.20
AUT,0.20,0.30,0.40,0.90,1.00,1.10,1.20,1.20,1.20,1.10,1.10,1.30
JPN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MEX,0.10,0.10,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,-0.01
