Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DEU,23789.00,22333.00,20560.00,21739.00,20682.00,20193.00,19978.00,21691.00,23916.00,23704.00,23616.00,22527.00
SVN,647.00,745.00,742.00,822.00,621.00,521.00,349.00,237.00,181.00,251.00,275.00,237.80
BEL,2623.50,2662.00,2700.50,2739.00,2536.00,2542.00,2644.00,2644.00,2666.00,2970.00,3008.50,3047.00
PRT,13151.00,11984.00,10046.00,10895.00,11078.00,11261.00,11444.00,11627.00,11055.00,9914.00,10057.00,9792.00
GBR,14237.67,13863.00,13632.00,13413.00,12136.00,11920.00,11445.00,11598.00,11776.00,9859.00,10491.00,10116.33
CAN,2737.00,3064.00,3073.00,3079.00,2685.00,2461.00,3092.00,2464.00,2311.00,2230.00,2173.67,2117.33
POL,26060.00,24524.00,23557.00,23800.00,23921.00,24355.00,23697.00,25093.00,24425.00,23876.00,24496.00,23952.00
ISL,16.00,10.00,11.00,9.00,10.00,12.00,16.00,15.00,11.00,16.00,16.00,16.00
MEX,8633.00,9173.00,9340.00,9897.00,9435.00,9471.00,9446.00,9916.00,10240.00,11024.00,11989.00,12324.60
NOR,1996.00,1942.00,2193.00,2024.00,1724.00,1780.00,1738.00,1892.00,2065.00,2034.00,2192.00,2095.00
CHE,2003.00,2072.00,2515.00,2789.00,2653.00,2389.00,2150.00,1759.00,1780.00,2152.00,2148.00,2162.50
CHL,3103.00,2872.00,2439.00,2381.00,2442.00,2379.00,2060.00,2557.00,2397.00,2403.00,2325.22,2247.44
ESP,9643.00,9863.00,10172.00,11014.00,10508.00,10969.00,10548.00,11364.00,11503.00,11086.00,10772.00,10612.00
SVK,592.00,480.00,553.00,673.00,646.00,712.00,693.00,667.00,667.00,736.00,630.00,633.80
IRL,219.00,250.00,262.00,316.00,214.00,148.00,102.00,102.00,93.00,84.00,79.00,65.00
CZE,573.00,675.00,765.00,729.00,770.00,940.00,935.00,1309.00,1537.00,1706.00,1652.00,1154.00
JPN,26548.00,27662.00,28458.00,29787.00,31155.00,34454.00,37659.00,41245.00,48021.00,51191.00,60346.00,68037.00
GRC,8434.00,7261.00,7934.00,8472.00,8533.00,8651.00,7385.00,8524.00,7452.00,8161.00,10414.00,10612.00
EST,822.00,729.00,771.00,705.00,610.00,624.00,620.00,683.00,326.00,296.00,316.00,333.00
ISR,1594.00,1627.00,1804.00,1697.00,1763.00,2130.00,2147.00,2139.00,1916.00,1847.00,1932.00,1965.80
USA,31878.00,32326.00,29975.00,31443.00,30123.00,31994.00,31732.00,33503.00,38522.00,39845.00,38367.00,39015.90
DNK,2554.00,2673.00,2857.00,2756.00,2629.00,2131.00,2466.00,3889.00,3998.00,4672.00,4141.00,4356.00
NLD,7744.00,8196.00,7886.00,7124.00,6168.00,5715.00,5723.00,5310.00,5341.00,5219.00,5226.00,4966.00
AUS,641.00,528.00,731.00,886.00,960.00,1195.00,1430.00,1016.00,853.00,733.00,847.00,1143.00
ITA,7219.00,6671.00,6692.00,10768.00,10312.33,9856.67,9401.00,9794.00,9423.00,9211.00,9220.00,9420.10
FIN,178.00,212.00,257.00,271.00,274.00,285.00,287.00,299.00,316.00,309.00,279.00,276.00
HUN,160.00,163.00,140.00,130.00,123.00,144.00,132.00,151.00,145.00,149.00,153.00,166.00
LUX,109.00,120.00,136.00,177.00,105.00,108.00,101.00,109.00,95.00,99.00,112.00,109.00
SWE,2537.00,2433.00,2697.00,2542.00,2569.00,2898.00,2857.00,2992.00,2937.00,3284.00,4233.00,4402.60
AUT,880.00,954.00,860.00,662.00,624.00,680.00,830.00,769.00,707.00,1876.00,1929.00,2012.00
FRA,32520.00,34974.00,35840.00,38581.00,32641.00,34880.00,33574.00,34913.00,36841.00,38253.00,38890.00,39527.00
KOR,33742.00,28988.00,24358.00,27069.00,30453.00,31934.00,31688.00,28270.00,27709.00,25808.00,25850.00,24998.00
NZL,118.00,114.00,96.00,110.00,92.00,90.00,91.00,90.00,118.00,140.00,142.44,144.89
