Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EST,7.80,7.30,6.40,6.90,7.40,3.80,4.80,4.50,3.90,3.50,2.90,3.10
AUS,0.30,0.50,0.40,0.30,0.40,0.35,0.30,0.30,0.30,0.30,0.30,0.20
GRC,0.80,1.00,0.80,1.00,0.70,0.70,0.70,0.80,0.70,0.70,0.50,0.47
ITA,0.70,0.60,0.60,0.70,0.63,0.57,0.50,0.50,0.50,0.50,0.50,0.48
PRT,2.50,2.30,3.20,3.10,2.90,2.70,2.50,2.30,2.00,2.10,1.60,1.60
CZE,1.30,1.00,0.90,0.90,0.70,0.70,0.60,0.70,0.50,0.50,0.40,0.50
USA,0.40,0.40,0.40,0.30,0.30,0.30,0.30,0.20,0.20,0.20,0.20,0.18
CAN,0.50,0.60,0.50,0.50,0.40,0.40,0.40,0.40,0.40,0.30,0.28,0.26
SVN,1.10,1.40,1.10,1.40,0.60,0.90,0.90,1.50,1.70,1.10,0.90,0.88
FRA,1.80,1.70,1.50,1.40,1.20,1.20,1.00,0.90,0.90,0.80,0.69,0.58
ISL,0.40,1.50,1.30,2.70,1.30,0.80,0.90,1.90,0.40,2.70,2.96,3.21
IRL,1.30,0.90,0.90,0.70,0.80,0.50,0.60,1.70,1.00,1.10,1.00,0.97
LUX,0.70,1.30,0.80,0.50,0.35,0.20,0.20,0.40,0.33,0.27,0.20,0.40
FIN,2.60,1.90,1.80,1.60,1.30,1.40,1.10,0.90,1.00,0.90,0.80,0.90
NOR,1.10,1.10,0.70,1.00,0.90,0.80,0.70,0.60,0.50,0.50,0.50,0.50
CHE,0.40,0.30,0.30,0.20,0.20,0.30,0.30,0.20,0.20,0.20,0.20,0.18
JPN,3.60,3.20,2.90,2.80,2.60,2.50,2.40,2.20,2.10,1.90,1.80,1.70
ESP,1.20,1.10,1.10,1.10,1.00,1.00,0.80,0.80,0.70,0.80,0.70,0.50
SWE,0.60,0.80,0.90,0.50,0.40,0.50,0.60,0.50,0.50,0.50,0.30,0.27
DEU,0.70,0.60,0.60,0.60,0.50,0.50,0.40,0.40,0.40,0.30,0.30,0.30
NZL,0.80,0.30,0.50,0.80,0.90,0.60,0.60,0.40,0.40,0.40,0.36,0.31
SVK,1.30,1.40,1.50,1.50,1.10,1.00,1.00,0.70,0.80,0.80,0.70,0.64
BEL,0.95,0.90,0.85,0.80,0.60,0.70,0.50,0.70,0.60,0.50,0.45,0.40
MEX,7.20,7.10,6.60,6.30,4.80,4.90,4.30,3.70,4.00,3.60,3.80,3.46
GBR,0.83,0.80,0.80,0.80,0.70,0.70,0.70,0.60,0.60,0.60,0.50,0.47
DNK,0.70,0.70,0.60,0.50,0.70,0.50,0.40,0.40,0.30,0.50,0.60,0.20
KOR,14.70,13.60,14.20,13.50,11.50,11.20,10.20,8.80,8.50,7.90,8.20,7.90
HUN,4.10,3.90,3.20,2.90,2.90,2.50,1.80,2.10,1.80,1.60,1.40,1.20
ISR,1.80,1.30,1.30,1.10,0.90,1.00,0.70,0.80,0.50,0.40,0.50,0.37
AUT,0.90,0.70,0.80,0.50,0.50,0.60,0.60,0.50,0.50,0.50,0.40,0.50
NLD,0.60,0.60,0.50,0.50,0.50,0.50,0.50,0.30,0.30,0.40,0.30,0.20
CHL,6.30,7.10,6.80,6.60,7.10,6.30,5.90,5.30,4.10,4.30,4.08,3.86
POL,3.50,3.30,2.80,2.80,2.40,2.40,2.10,2.10,2.20,2.00,1.50,1.70
