Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
IRL,427.00,407.00,379.00,313.00,326.00,344.00,303.00,308.00,256.00,267.00,187.00,163.00
BEL,1364.50,1326.33,1288.17,1250.00,1205.00,1157.00,1112.00,1153.00,1016.00,1021.00,982.83,944.67
CZE,1575.00,1484.00,1490.00,1460.00,1319.00,1261.00,1088.00,1251.00,1167.00,1027.00,910.00,881.00
ISR,523.00,592.00,564.00,500.00,547.00,503.00,472.00,442.00,425.00,384.00,411.00,399.80
MEX,14705.00,14336.00,14933.00,15272.00,15471.00,16418.00,17193.00,15262.00,17366.00,17769.00,16616.00,16807.10
NOR,434.00,335.00,386.00,360.00,358.00,290.00,276.00,271.00,304.00,262.00,262.00,232.00
LUX,60.00,53.00,55.00,51.00,41.00,36.00,32.00,30.00,28.00,35.00,25.00,28.00
ITA,7530.00,7665.00,7305.00,6815.00,6593.33,6371.67,6150.00,5833.00,5352.00,4902.00,4567.00,4270.70
AUS,2057.00,2044.00,1939.00,1788.00,1711.00,1630.00,1549.00,1738.00,1643.00,1691.00,1566.00,1543.00
CHE,630.00,553.00,500.00,567.00,513.00,398.00,402.00,415.00,399.00,389.00,359.00,331.90
GRC,2288.00,2035.00,1865.00,1794.00,1984.00,1971.00,1802.00,1793.00,1722.00,1647.00,1430.00,1344.20
HUN,1520.00,1557.00,1748.00,1620.00,1636.00,1566.00,1616.00,1534.00,1302.00,1123.00,985.00,916.00
NLD,1134.00,1054.00,1073.00,1114.00,907.00,828.00,819.00,829.00,766.00,746.00,728.00,723.00
ESP,6486.00,6106.00,5934.00,5936.00,5311.00,4910.00,4551.00,4213.00,3512.00,2867.00,2586.00,2378.00
CHL,2199.00,2063.00,2025.00,2301.00,2317.00,2305.00,2311.00,2163.00,2363.00,2222.00,2224.56,2227.11
EST,254.00,237.00,247.00,194.00,204.00,204.00,245.00,218.00,166.00,120.00,98.00,121.00
USA,46749.00,47288.00,48366.00,48071.00,48053.00,48441.00,48412.00,46854.00,42709.00,39195.00,38068.00,37199.90
ISL,38.00,38.00,32.00,25.00,24.00,20.00,39.00,18.00,16.00,13.00,10.22,7.44
AUT,927.00,925.00,943.00,949.00,875.00,787.00,732.00,711.00,682.00,641.00,579.00,541.00
DEU,7768.00,7204.00,7110.00,6859.00,6109.00,5668.00,5398.00,5192.00,4799.00,4496.00,3968.00,4381.00
FRA,7705.00,7699.00,7376.00,6115.00,5429.00,5412.00,4830.00,4684.00,4428.00,4457.00,4096.11,3735.22
PRT,1450.00,1947.00,2225.00,2003.00,1799.75,1596.50,1393.25,1190.00,1073.00,1067.00,1017.00,973.00
SVK,849.00,830.00,778.00,857.00,770.00,764.00,764.00,764.00,764.00,535.00,516.00,482.70
SVN,333.00,321.00,299.00,289.00,308.00,278.00,295.00,321.00,252.00,213.00,171.00,154.80
GBR,3732.33,3585.00,3693.00,3761.00,3603.00,3509.00,3558.00,3427.00,3110.00,2661.00,2259.00,2111.67
JPN,12936.00,12472.00,11846.00,10995.00,10622.00,10111.00,9150.00,8374.00,7600.00,7416.00,7312.00,6820.00
FIN,518.00,567.00,547.00,526.00,498.00,497.00,459.00,491.00,438.00,380.00,356.00,354.00
KOR,12362.00,10369.00,9510.00,9498.00,8562.00,8156.00,8047.00,7764.00,7372.00,7207.00,6880.00,6361.00
NZL,582.00,550.00,545.00,599.00,530.00,498.00,471.00,491.00,475.00,488.00,477.56,467.11
POL,7113.00,6304.00,6504.00,6241.00,6406.00,5963.00,5574.00,6077.00,6036.00,5052.00,4543.00,4850.00
DNK,519.00,479.00,467.00,456.00,385.00,367.00,328.00,389.00,395.00,319.00,290.00,229.00
SWE,627.00,648.00,577.00,567.00,544.00,507.00,522.00,513.00,470.00,399.00,314.00,282.70
CAN,3151.00,3064.00,3165.00,3125.00,3084.00,3293.00,3160.00,3135.00,2940.00,2689.00,2637.67,2586.33
