Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
POL,1295.00,1332.00,1231.00,1391.00,1520.00,1516.00,1698.00,1831.00,1736.00,1480.00,1325.00,1510.00
NLD,1464.00,1597.00,1864.00,1915.00,1854.00,1913.00,2056.00,1899.00,2121.00,2105.00,2265.00,2240.00
BEL,1086.50,1124.67,1162.83,1201.00,1089.00,1098.00,1204.00,1243.00,1447.00,1430.00,1468.17,1506.33
CZE,84.00,81.00,90.00,130.00,140.00,217.00,138.00,128.00,149.00,115.00,140.00,410.00
EST,20.00,44.00,48.00,106.00,108.00,132.00,113.00,190.00,132.00,87.00,89.00,81.00
SVK,11.00,8.00,10.00,5.00,7.00,9.00,6.00,3.00,1.00,2.00,1.00,0.00
HUN,591.00,533.00,518.00,546.00,549.00,683.00,1021.00,981.00,1074.00,1057.00,1120.00,1124.00
LUX,43.00,40.00,21.00,43.00,34.00,36.00,39.00,46.00,15.00,19.00,34.00,37.00
GBR,5731.33,5932.00,5956.00,5846.00,5755.00,5885.00,5960.00,6660.00,7324.00,7244.00,7738.00,7938.67
ITA,3541.00,3633.00,3469.00,3230.00,3140.00,3050.00,2960.00,3157.00,4559.00,4838.00,4860.00,4991.90
ESP,3764.00,3814.00,3932.00,4328.00,4066.00,4156.00,4173.00,4210.00,4416.00,4915.00,5058.00,5220.00
ISR,307.00,252.00,261.00,272.00,292.00,210.00,183.00,226.00,398.00,384.00,453.00,467.60
DEU,5633.00,4976.00,5106.00,5305.00,5428.00,6179.00,6680.00,7210.00,8486.00,9578.00,10377.00,10996.00
AUS,1351.00,1074.00,1243.00,1231.00,1227.00,1484.50,1742.00,2090.00,2355.00,2396.00,2506.00,2766.00
SVN,132.00,134.00,140.00,120.00,101.00,97.00,81.00,62.00,101.00,95.00,114.00,112.20
CHL,758.00,1065.00,1296.00,1338.00,1228.00,1188.00,987.00,1142.00,1087.00,1086.00,1122.44,1158.89
NOR,662.00,682.00,589.00,469.00,468.00,570.00,565.00,622.00,585.00,631.00,733.00,743.00
FIN,995.00,952.00,974.00,949.00,862.00,858.00,831.00,794.00,755.00,764.00,798.00,704.00
IRL,246.00,238.00,233.00,219.00,265.00,241.00,305.00,165.00,145.00,203.00,232.00,230.60
JPN,1555.00,1621.00,1565.00,1686.00,1585.00,1692.00,1833.00,1946.00,2230.00,2365.00,2632.00,3085.00
CAN,2319.00,2311.00,2446.00,2441.00,2576.00,2953.00,3627.00,3791.00,4255.00,4438.00,4673.44,4908.89
PRT,148.00,229.00,341.00,256.00,228.00,200.00,172.00,144.00,173.00,164.00,181.00,140.00
GRC,36.00,54.00,58.00,51.00,63.00,55.00,47.00,61.00,58.00,39.00,57.00,59.10
KOR,2754.00,2656.00,2294.00,1912.00,1965.00,1940.00,1947.00,1821.00,2268.00,2061.00,2086.00,2178.00
MEX,4419.00,4373.00,4252.00,4171.00,3815.00,3827.00,3004.00,3128.00,3114.00,3135.00,3200.00,3078.10
ISL,22.00,20.00,24.00,27.00,29.00,28.00,30.00,24.00,20.00,24.00,24.22,24.44
FRA,7006.00,7250.00,7244.00,7640.00,6736.00,7194.00,6883.00,7220.00,7503.00,7490.00,7543.78,7597.56
AUT,300.00,346.00,322.00,454.00,504.00,504.00,468.00,476.00,551.00,630.00,574.00,607.00
NZL,205.00,241.00,252.00,253.00,307.00,243.00,302.00,263.00,271.00,299.00,309.44,319.89
SWE,1614.00,1539.00,1707.00,1459.00,1648.00,1638.00,1666.00,1698.00,1689.00,1742.00,1758.00,1772.40
CHE,926.00,939.00,1040.00,1034.00,997.00,1104.00,944.00,1045.00,1152.00,1294.00,1428.00,1478.20
USA,17672.00,19343.00,21000.00,22423.00,23382.00,26519.00,32945.00,31874.00,36211.00,37223.00,42500.00,44982.80
DNK,729.00,789.00,1013.00,925.00,1056.00,1170.00,1225.00,1300.00,1367.00,1319.00,1357.00,1306.00
