Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
PRT,349.00,463.00,682.00,576.00,476.25,376.50,276.75,177.00,206.00,212.00,223.00,181.00
ISL,62.00,55.00,62.00,56.00,55.00,67.00,75.00,67.00,62.00,56.00,55.33,54.67
SVN,196.00,192.00,208.00,204.00,167.00,165.00,142.00,76.00,129.00,115.00,142.00,136.60
ESP,11149.00,11346.00,11682.00,13072.00,11878.00,12539.00,12107.00,12309.00,13040.00,14456.00,14821.00,15276.00
GBR,16342.22,17082.00,17308.00,17947.00,17364.00,17504.00,17854.00,19979.00,22154.00,21682.00,23740.00,24479.78
MEX,5004.00,4943.00,4821.00,4778.00,4369.00,4498.00,3625.00,3959.00,4030.00,4068.00,4272.00,4198.80
CAN,5991.00,6244.00,6547.00,6622.00,6840.00,7750.00,9793.00,10301.00,11527.00,11871.00,12524.33,13177.67
FRA,17320.00,17693.00,17896.00,19036.00,16029.00,17057.00,16391.00,16830.00,17390.00,17558.00,17584.45,17610.89
POL,1541.00,1594.00,1485.00,1705.00,1811.00,1811.00,1962.00,2156.00,2067.00,1747.00,1583.00,1800.00
AUT,395.00,456.00,424.00,562.00,649.00,690.00,648.00,677.00,825.00,889.00,855.00,941.00
ISR,668.00,574.00,596.00,654.00,607.00,447.00,414.00,571.00,970.00,953.00,1150.00,1198.20
EST,25.00,65.00,61.00,152.00,139.00,187.00,162.00,253.00,192.00,143.00,129.00,122.00
ITA,9553.00,9967.00,10104.00,9302.00,9113.00,8924.00,8735.00,9300.00,13915.00,14663.00,14659.00,15169.60
AUS,3077.00,2696.00,3157.00,3238.00,3406.00,4146.50,4887.00,5691.00,6377.00,6518.00,7030.00,7631.00
BEL,3011.50,3114.33,3217.17,3320.00,3092.00,3120.00,3343.00,3431.00,3797.00,3937.00,4039.83,4142.67
SVK,22.00,8.00,15.00,9.00,14.00,11.00,2.00,5.00,1.00,3.00,0.89,-1.22
GRC,84.00,132.00,143.00,166.00,154.00,139.00,98.00,128.00,119.00,109.00,98.00,99.40
SWE,4161.00,4278.00,4779.00,4064.00,4569.00,4673.00,4677.00,5027.00,4961.00,4931.00,5089.00,5181.80
CHE,2312.00,2520.00,2753.00,2817.00,2746.00,3145.00,2796.00,3117.00,3446.00,3845.00,4278.00,4474.60
IRL,498.00,466.00,452.00,458.00,548.00,513.00,664.00,465.00,416.00,574.00,646.00,660.80
FIN,3083.00,2997.00,3246.00,3112.00,2827.00,2727.00,2685.00,2540.00,2369.00,2347.00,2355.00,2073.00
HUN,883.00,848.00,895.00,963.00,848.00,1090.00,2157.00,2267.00,2505.00,2589.00,2819.00,2764.00
LUX,92.00,102.00,44.00,99.00,76.00,80.00,82.00,90.00,64.00,48.00,90.00,98.00
KOR,6428.00,6399.00,5583.00,4572.00,4794.00,4503.00,4369.00,4219.00,5449.00,4953.00,4947.00,5141.00
NZL,541.00,679.00,725.00,762.00,831.00,728.00,826.00,821.00,890.00,897.00,936.56,976.11
USA,46015.00,50811.00,55788.00,60058.00,61524.00,71466.00,91035.00,90279.00,104617.00,106243.00,120824.00,128304.90
CZE,110.00,114.00,111.00,164.00,181.00,284.00,187.00,165.00,201.00,160.00,222.00,936.00
DNK,1592.00,1819.00,2247.00,2047.00,2193.00,2535.00,2719.00,2863.00,3061.00,3075.00,3104.00,3006.00
NLD,5133.00,5672.00,6452.00,6560.00,6513.00,6436.00,6968.00,6473.00,7152.00,7085.00,7616.00,7587.00
DEU,8636.00,7826.00,7922.00,8535.00,9516.00,11356.00,14077.00,15460.00,18850.00,22592.00,25079.00,27113.00
CHL,1332.00,2206.00,2509.00,2653.00,2600.00,2570.00,2332.00,2698.00,2586.00,2574.00,2712.00,2850.00
NOR,1275.00,1340.00,1310.00,1262.00,1288.00,1559.00,1606.00,1659.00,1749.00,1834.00,2016.00,2045.00
JPN,3920.00,4193.00,4047.00,4175.00,4267.00,4602.00,5168.00,5781.00,6584.00,7085.00,8049.00,9508.00
