Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DNK,248.60,248.60,238.10,234.80,231.70,235.60,233.60,224.70,220.60,212.10,214.70,207.70
KOR,135.90,135.80,141.30,139.80,134.50,134.00,128.20,129.50,126.10,125.20,125.10,119.90
NLD,201.20,198.70,199.80,197.20,198.60,199.80,197.20,193.00,197.80,193.40,194.40,197.70
JPN,143.10,142.00,138.90,137.10,138.40,135.90,134.10,132.60,132.10,129.60,129.80,129.00
SVN,190.70,191.30,190.70,192.30,189.70,191.10,189.30,188.90,197.60,190.30,192.60,192.79
AUT,184.80,177.40,173.50,178.20,176.90,172.50,166.30,164.80,166.30,163.30,163.10,163.10
CZE,225.70,226.60,224.50,226.90,223.60,211.20,209.20,199.30,196.00,191.50,189.00,185.60
NZL,201.00,204.40,201.60,199.10,203.00,192.00,197.10,193.70,190.40,187.10,185.56,184.01
ITA,171.60,172.30,167.20,165.90,163.70,161.50,159.30,160.40,158.90,158.70,156.00,154.44
NOR,188.30,189.30,188.10,184.70,182.10,182.30,179.30,180.30,177.40,172.30,177.30,171.90
GRC,150.60,154.10,154.40,150.90,153.50,151.10,148.00,151.90,151.70,145.20,143.90,143.23
AUS,171.90,172.20,172.50,168.50,167.30,162.75,158.20,159.70,163.80,158.30,158.70,156.20
EST,182.80,174.40,178.20,170.70,176.40,171.20,178.80,169.30,172.70,171.60,165.10,173.00
DEU,186.60,181.30,181.40,177.60,175.10,174.30,170.70,167.90,168.50,165.90,165.50,165.60
GBR,211.54,209.60,207.90,205.70,201.90,201.30,199.00,199.10,197.70,193.00,192.10,190.16
FRA,159.00,158.50,159.30,158.40,155.90,155.60,152.00,148.70,151.80,149.30,148.22,147.14
ISL,213.20,172.50,197.00,201.50,190.80,170.10,164.70,202.10,199.00,175.00,170.76,166.51
USA,193.10,189.50,187.60,185.20,181.30,179.20,177.10,174.30,167.10,164.30,162.90,159.88
LUX,174.40,183.40,169.30,175.10,148.50,156.30,160.50,173.00,161.20,174.60,157.70,162.00
ESP,142.10,142.20,139.80,139.40,136.60,133.20,133.80,132.40,132.00,130.80,131.20,130.10
BEL,173.35,172.60,171.85,171.10,168.20,167.30,166.00,168.60,168.20,166.60,165.85,165.10
CAN,196.60,195.40,197.00,196.10,194.50,190.40,187.20,187.10,185.10,181.50,179.82,178.14
HUN,252.80,239.70,234.50,238.60,234.90,212.90,213.30,215.90,217.80,218.00,216.10,218.50
SVK,197.50,191.30,184.70,184.00,181.80,182.40,180.20,182.80,180.80,180.70,175.60,173.41
CHE,161.20,154.20,153.10,153.00,152.10,146.50,149.30,149.80,144.10,145.40,142.60,140.74
CHL,191.60,184.20,185.10,184.10,179.80,179.00,174.90,169.20,167.70,172.30,170.16,168.01
FIN,161.90,157.50,152.60,155.20,151.20,151.40,147.00,147.10,148.30,143.20,148.60,146.00
POL,196.50,196.30,194.30,196.00,193.00,193.70,192.80,192.20,189.50,186.60,182.10,178.30
PRT,147.50,149.30,147.50,145.90,144.72,143.55,142.38,141.20,141.00,143.00,137.70,137.90
SWE,176.00,179.60,175.30,173.00,177.60,174.00,174.20,173.30,169.50,167.10,164.20,163.02
IRL,221.20,217.20,205.50,210.20,208.20,208.70,210.00,202.50,206.60,196.30,189.40,186.22
ISR,188.60,188.70,186.30,187.40,176.70,179.30,178.30,175.30,174.50,164.10,167.40,165.28
MEX,123.00,121.10,120.90,119.40,119.00,118.30,116.70,112.80,113.00,110.40,110.00,108.70
