Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,81.20,81.70,81.70,81.50,82.10,82.20,82.80,83.10,83.30,83.20,83.50,83.90
ISL,81.60,83.20,82.50,82.50,83.20,83.50,82.90,83.40,83.30,83.80,84.10,84.10
ITA,82.80,83.10,83.20,82.80,83.80,83.60,84.20,84.20,84.50,84.60,85.00,85.30
PRT,80.20,80.50,80.60,80.60,81.50,81.30,82.30,82.20,82.40,82.60,82.80,84.00
ESP,82.90,83.30,83.30,83.10,83.80,83.70,84.50,84.40,84.60,84.90,85.30,85.40
FIN,81.20,81.70,81.60,81.90,82.50,82.50,83.10,83.10,83.30,83.50,83.50,83.80
SVN,79.90,80.40,80.50,80.30,80.80,80.90,82.00,82.00,82.60,82.70,83.10,83.30
GBR,80.30,80.50,80.60,80.50,81.20,81.30,81.70,81.80,81.90,82.50,82.60,83.10
FRA,83.00,83.00,83.00,82.70,83.80,83.80,84.50,84.80,84.80,85.00,85.30,85.70
ISR,80.90,81.20,81.50,81.80,82.40,82.20,82.50,82.40,83.00,83.30,83.60,83.60
LUX,81.30,80.70,81.50,80.80,82.40,82.30,81.90,82.20,83.10,83.30,83.50,83.60
CHL,80.00,80.00,80.70,80.50,80.50,80.90,81.40,80.70,80.60,81.90,82.00,81.00
CZE,78.50,78.60,78.70,78.60,79.20,79.20,79.90,80.20,80.50,80.50,80.90,81.10
POL,78.00,78.40,78.80,78.80,79.20,79.30,79.70,79.80,80.00,80.10,80.70,81.10
GRC,80.60,81.00,81.10,81.20,81.30,81.60,81.90,81.80,82.30,82.70,82.80,83.10
NLD,80.70,80.80,80.70,81.00,81.50,81.70,82.00,82.50,82.50,82.90,83.00,83.10
NOR,81.50,81.60,81.60,82.10,82.50,82.70,82.90,82.90,83.20,83.20,83.30,83.60
CAN,81.70,81.90,82.00,82.20,82.30,82.50,82.80,83.00,83.10,83.30,83.48,83.66
DEU,81.20,81.40,81.30,81.30,81.90,82.00,82.40,82.70,82.70,82.80,83.00,83.20
AUS,82.00,82.40,82.60,82.80,83.00,83.30,83.50,83.70,83.70,83.90,84.00,84.20
SVK,77.50,77.70,77.70,77.70,78.00,78.10,78.40,78.40,79.00,79.10,79.30,79.80
DNK,79.20,79.30,79.40,79.80,80.20,80.50,80.70,80.60,81.00,81.10,81.40,81.90
HUN,76.20,76.70,76.70,76.70,77.20,77.20,77.80,77.80,78.30,78.40,78.60,78.70
BEL,81.00,81.20,81.20,81.10,81.90,81.90,82.30,82.60,82.60,82.80,83.00,83.20
KOR,79.60,80.00,80.50,80.80,81.40,81.90,82.40,82.70,83.30,83.80,84.10,84.50
IRL,79.20,79.90,80.50,80.80,81.30,81.60,82.10,82.10,82.40,82.70,83.20,82.80
CHE,82.80,83.20,83.20,83.20,83.80,84.00,84.20,84.40,84.60,84.60,84.90,85.00
JPN,84.60,84.90,85.20,85.30,85.60,85.50,85.80,86.00,86.10,86.40,86.30,85.90
TUR,73.10,73.50,73.90,74.40,74.80,75.20,75.60,75.90,76.20,76.50,76.80,77.10
MEX,76.10,76.30,76.40,76.50,76.60,76.70,76.80,76.90,76.90,76.90,77.00,77.20
SWE,82.00,82.20,82.10,82.50,82.80,82.90,83.10,83.10,83.30,83.50,83.60,83.80
NZL,80.80,81.10,81.30,81.50,81.80,82.00,82.20,82.20,82.40,82.70,82.80,83.00
EST,76.20,76.40,77.00,77.10,77.80,78.10,78.60,78.80,79.50,80.20,80.80,81.30
USA,79.30,79.40,79.50,79.60,79.90,79.90,80.20,80.40,80.60,80.90,81.10,81.10
