Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ESP,4.10,4.20,4.10,3.90,4.10,4.00,4.10,4.20,3.90,4.10,4.10,4.10
ISR,2.00,1.90,2.00,2.40,2.50,2.20,2.10,2.10,2.20,2.30,2.30,2.20
NOR,3.80,3.70,3.60,3.50,3.60,3.70,3.10,3.40,3.40,3.10,3.20,3.20
CHE,3.90,4.00,3.70,3.50,3.40,3.60,3.60,3.60,3.40,3.20,3.50,3.40
POL,4.00,4.00,4.10,4.10,4.10,4.20,4.30,4.30,4.30,4.40,4.40,4.50
LUX,4.60,3.70,4.10,3.60,4.00,3.70,3.30,3.90,3.60,3.80,4.30,3.80
CZE,3.50,3.30,3.40,3.40,3.40,3.30,3.50,3.40,3.50,3.60,3.50,3.60
ITA,4.00,4.10,4.00,3.80,4.00,3.90,3.90,3.80,3.80,3.80,3.80,3.80
FIN,4.00,4.10,4.00,3.80,4.20,4.20,4.30,4.20,3.80,4.20,4.00,4.00
SVN,4.50,4.50,4.50,4.40,4.40,4.10,4.20,4.30,4.10,4.10,4.20,4.20
GRC,2.30,2.20,2.10,2.00,2.00,2.10,1.90,2.00,2.00,2.10,1.90,2.10
EST,4.40,4.70,4.60,4.70,4.90,5.00,5.10,5.40,5.30,5.20,5.20,5.30
JPN,4.90,4.90,5.00,5.00,5.10,5.10,5.00,5.00,5.00,5.10,5.10,5.00
IRL,3.40,3.50,3.50,3.30,3.40,3.10,3.50,3.10,3.50,3.40,3.00,2.80
PRT,3.50,3.40,3.50,3.30,3.40,3.30,3.60,3.40,3.40,3.40,3.50,3.70
CAN,3.70,3.60,3.50,3.40,3.40,3.30,3.20,3.20,3.20,3.10,3.03,2.97
AUS,3.50,3.50,3.40,3.40,3.30,3.30,3.20,3.10,3.00,3.10,2.90,2.90
KOR,3.80,3.90,3.80,3.80,4.00,4.10,4.10,4.20,4.40,4.50,4.50,4.50
NZL,3.30,3.30,3.20,3.00,2.90,2.70,2.60,2.60,2.50,2.50,2.40,2.30
GBR,3.20,3.10,3.00,2.80,2.80,2.70,2.70,2.60,2.60,2.70,2.60,2.60
BEL,4.10,4.00,3.90,3.70,3.70,3.60,3.60,3.70,3.60,3.60,3.70,3.70
HUN,3.70,3.80,3.80,3.90,3.90,3.90,4.10,4.10,4.20,4.20,4.10,4.00
MEX,1.90,1.90,1.90,1.90,1.90,1.80,1.90,1.90,1.90,1.90,1.90,1.80
USA,3.00,2.80,2.90,2.80,2.80,2.70,2.70,2.70,2.70,2.60,2.60,2.60
ISL,2.00,3.70,3.10,2.10,3.20,2.60,2.20,2.60,2.20,2.40,3.20,2.60
DEU,3.80,3.70,3.40,3.30,3.40,3.20,3.30,3.30,3.20,3.20,3.10,3.00
CHL,3.80,3.70,3.90,3.70,3.60,3.50,3.50,3.30,3.40,3.60,3.70,3.00
DNK,3.10,3.10,2.80,2.90,3.10,3.00,3.00,2.70,2.90,2.70,2.70,2.66
FRA,4.60,4.50,4.40,4.10,4.40,4.30,4.50,4.60,4.50,4.50,4.50,4.50
AUT,3.60,3.70,3.50,3.30,3.40,3.30,3.40,3.50,3.40,3.50,3.50,3.60
SVK,3.80,3.80,3.70,3.70,3.80,3.80,4.00,3.90,4.00,3.90,4.00,3.90
SWE,3.50,3.30,3.20,3.30,3.20,3.30,3.20,2.90,2.90,3.00,2.90,2.80
NLD,3.90,3.80,3.70,3.70,3.60,3.70,3.50,3.60,3.30,3.40,3.30,3.10
TUR,1.70,1.70,1.70,1.70,1.70,1.70,1.80,1.80,1.80,1.90,2.00,2.00
