Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
IRL,9.00,9.20,8.27,7.33,6.40,5.73,5.07,4.40,6.00,5.62,5.25,4.88
ISR,6.70,6.70,6.70,5.90,5.30,5.40,5.40,5.20,5.00,5.20,4.90,4.50
USA,7.00,6.90,6.90,6.80,6.70,6.60,6.52,6.44,6.36,6.28,6.20,6.12
FIN,5.80,5.20,4.90,4.80,4.00,3.70,3.90,4.10,3.60,3.70,3.20,3.20
SVN,7.00,7.20,7.70,7.70,5.40,6.60,6.20,4.90,4.70,4.20,4.10,4.30
ISL,5.30,4.40,2.70,2.70,4.50,3.30,3.60,2.60,3.90,3.20,2.80,1.10
CAN,6.10,6.30,6.30,6.30,6.20,6.30,6.10,6.40,6.20,6.10,6.10,6.10
DNK,7.00,6.80,6.20,6.40,7.70,7.60,7.72,7.84,7.96,8.08,8.20,8.32
NOR,5.90,6.50,5.20,5.20,5.20,4.70,5.10,5.70,4.90,5.00,4.40,4.50
AUT,6.70,6.20,6.40,6.40,6.00,5.90,5.90,5.90,5.30,4.50,5.90,5.70
KOR,4.93,4.77,4.60,4.47,4.33,4.20,3.60,3.30,3.20,3.50,3.30,3.10
AUS,10.10,10.40,9.80,9.80,9.90,10.60,9.20,8.80,8.40,9.00,8.70,8.40
CZE,4.50,4.30,4.50,4.30,4.00,3.90,4.20,4.00,3.20,3.30,3.40,3.90
NZL,6.40,5.90,6.70,6.00,6.60,5.70,5.30,5.60,6.30,6.00,6.30,6.29
SWE,5.60,5.70,5.30,5.20,5.00,4.10,4.40,4.30,4.90,5.20,4.80,4.70
GRC,7.20,7.00,6.60,5.70,6.30,5.70,4.40,4.70,3.80,4.60,5.00,4.60
FRA,6.90,7.10,10.20,11.10,11.10,10.80,11.20,11.00,12.30,13.70,12.10,12.62
LUX,7.30,6.70,6.00,5.30,4.90,4.80,3.30,4.40,4.30,6.40,4.80,6.20
ITA,5.60,5.70,5.40,5.10,4.90,4.80,4.70,4.55,4.40,4.50,4.30,4.17
JPN,3.80,3.60,3.70,3.50,3.30,3.30,3.10,3.00,2.90,2.90,2.90,2.80
EST,8.70,8.00,8.00,7.80,7.80,8.10,5.40,5.90,6.20,6.30,5.70,4.90
GBR,8.10,8.00,8.20,8.50,8.20,8.00,7.90,7.70,7.50,7.60,7.30,7.50
NLD,8.11,7.88,7.64,7.40,6.60,6.90,6.00,6.15,6.30,5.95,5.60,5.50
ESP,4.70,4.60,4.40,4.10,4.10,4.10,3.90,3.60,3.80,3.80,3.80,3.70
CHE,6.60,7.00,6.60,7.00,6.40,6.90,7.60,6.60,7.20,7.50,7.00,6.80
CHL,7.38,7.40,7.50,7.70,7.70,7.90,8.00,8.00,8.10,9.10,7.60,7.62
TUR,28.27,26.85,25.42,24.00,23.00,22.00,21.00,20.00,19.00,13.00,12.80,12.60
SVK,7.50,7.20,7.10,7.60,6.70,6.40,6.40,6.10,6.30,5.80,5.40,5.60
BEL,7.30,7.20,7.10,7.00,6.40,6.00,6.17,6.33,6.50,6.40,6.30,6.20
POL,8.40,8.10,7.60,7.50,7.30,6.90,6.80,6.70,6.30,5.80,5.60,5.50
MEX,20.40,19.30,18.70,18.30,17.50,17.00,16.20,15.60,15.10,14.60,14.00,13.80
PRT,6.20,5.60,6.00,5.10,4.40,4.30,4.60,4.40,4.00,4.60,3.50,3.80
DEU,6.10,5.90,5.90,5.90,5.90,5.50,5.50,5.50,5.30,5.30,5.40,5.50
HUN,10.00,9.50,9.10,9.10,8.30,7.80,7.60,7.80,7.00,7.70,6.90,6.60
