Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,53.00,45.50,45.60,42.00,35.70,31.45,27.20,35.50,37.30,33.50,35.20,37.60
POL,69.70,60.60,56.80,64.10,63.80,63.80,61.60,71.20,61.80,62.10,49.90,52.10
EST,57.50,65.70,60.30,56.60,63.80,39.20,55.60,68.80,62.10,46.90,54.20,47.90
ITA,41.70,31.30,32.30,30.80,28.07,25.33,22.60,22.60,22.30,23.00,22.10,20.14
CHL,43.80,55.00,41.60,47.10,46.60,47.70,40.20,40.90,28.80,38.30,37.69,37.08
DEU,57.20,53.10,56.10,59.80,53.40,51.50,50.70,52.20,50.00,55.70,56.10,57.60
ESP,60.60,54.80,57.50,56.70,48.80,54.30,41.60,45.10,41.70,45.70,37.90,38.20
GBR,69.11,68.00,63.20,72.00,65.90,67.00,65.40,65.10,65.70,57.20,58.00,56.89
SVK,77.70,58.00,72.30,70.50,71.80,74.40,64.60,65.80,59.80,60.80,55.40,53.17
GRC,26.40,20.10,24.40,21.00,26.50,17.50,18.50,19.50,24.50,25.90,26.70,26.73
NLD,55.70,56.40,47.50,46.00,39.90,38.90,38.80,44.00,42.30,34.30,34.80,40.90
SWE,28.30,23.50,25.80,26.60,24.50,28.70,25.80,28.80,24.90,19.50,20.70,19.94
HUN,182.20,152.30,157.90,174.80,173.60,233.20,250.20,240.70,219.10,200.40,202.90,203.50
KOR,36.90,34.00,37.60,33.90,33.10,25.80,24.80,23.80,19.60,17.80,19.10,14.90
CZE,69.60,72.20,70.10,67.30,68.20,69.90,66.30,69.20,70.90,79.30,60.70,73.10
ISL,41.30,42.10,31.40,14.70,51.80,29.20,19.50,22.30,15.90,25.40,23.63,21.87
USA,89.90,89.60,88.60,89.60,84.80,90.30,84.70,87.70,91.50,89.40,84.80,84.29
BEL,89.45,88.07,86.68,85.30,75.40,88.30,73.00,72.50,79.40,77.00,75.62,74.23
LUX,71.60,59.90,77.40,71.60,77.80,81.10,58.40,46.80,22.90,60.20,16.70,47.00
PRT,62.10,64.00,63.20,57.30,51.67,46.05,40.42,34.80,32.20,34.20,31.60,35.80
MEX,69.90,72.20,69.40,69.40,72.00,67.80,65.60,63.00,62.40,69.10,62.30,61.54
NOR,41.80,38.30,48.50,42.10,47.60,35.00,48.50,43.30,45.90,50.90,39.70,50.50
ISR,52.50,35.60,44.20,40.40,37.50,34.10,45.50,33.60,33.20,35.80,36.90,35.34
CAN,37.90,37.10,37.20,33.90,33.40,34.90,32.70,34.90,35.80,33.90,33.46,33.01
IRL,93.70,75.90,61.50,77.70,53.80,49.90,50.90,33.00,36.40,34.40,32.50,26.38
DNK,75.70,85.00,70.60,79.90,61.30,59.50,65.00,60.70,59.70,76.40,64.60,77.80
NZL,65.10,83.50,72.10,52.20,59.60,51.00,54.20,40.90,56.70,49.80,48.10,46.40
FIN,46.60,39.00,45.30,45.00,45.90,41.10,44.40,36.40,39.40,39.90,33.70,39.70
FRA,28.50,26.10,25.70,25.90,23.40,23.30,22.80,23.30,24.30,23.10,22.50,21.90
AUT,78.70,64.50,62.30,64.70,59.30,60.40,68.40,73.30,61.50,54.40,54.30,57.40
JPN,8.60,8.40,8.00,8.20,7.00,7.90,6.90,6.80,7.20,7.80,8.30,7.70
SVN,84.60,56.30,55.30,44.70,37.30,42.80,30.80,34.00,36.00,25.60,28.30,22.67
