Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
POL,42.80,36.20,35.30,39.20,38.80,40.10,39.10,46.10,41.70,41.30,33.40,35.60
ESP,34.10,30.50,32.10,32.90,27.60,31.00,23.70,26.10,24.80,26.30,22.60,23.10
SWE,29.60,28.70,30.10,28.10,27.50,31.10,24.20,26.70,25.80,23.00,23.20,22.56
LUX,49.30,42.10,48.50,52.50,44.70,46.80,48.00,45.40,28.10,51.80,15.60,36.10
AUS,45.10,43.90,39.40,37.60,34.00,30.05,26.10,32.70,31.70,30.70,32.00,33.30
CHL,35.00,43.90,35.80,39.90,37.90,35.20,32.10,31.50,24.20,31.50,31.11,30.72
NLD,51.50,50.90,43.70,45.90,39.90,41.20,42.20,44.50,44.20,40.40,39.40,46.40
FRA,17.70,16.10,15.60,15.60,15.00,15.00,14.30,14.40,15.80,15.20,14.92,14.64
FIN,30.20,26.40,28.80,28.60,29.10,30.00,31.30,24.70,27.00,29.20,25.50,29.80
IRL,74.90,61.90,58.00,59.60,51.90,47.90,45.70,32.60,28.40,30.40,27.40,22.65
MEX,60.20,59.10,57.80,59.10,58.60,56.50,54.10,52.50,50.70,56.90,51.10,50.19
AUT,56.30,50.30,41.90,49.70,44.80,41.50,49.60,52.60,42.70,40.20,42.90,42.80
NOR,46.70,41.30,44.30,46.20,44.80,39.20,47.00,47.10,48.40,48.70,41.40,49.80
HUN,119.00,107.80,108.20,123.20,119.90,159.90,167.00,171.70,151.00,146.10,146.50,152.60
DNK,93.00,95.00,75.40,79.50,63.80,65.80,67.80,67.40,61.60,75.70,66.20,69.20
ISR,35.80,28.00,32.00,26.50,25.50,25.50,30.10,25.10,21.50,23.00,24.80,23.70
ISL,34.40,39.20,24.20,20.70,31.90,23.50,27.80,25.80,9.10,34.10,34.07,34.03
JPN,5.50,5.40,5.30,5.20,4.50,5.30,4.70,4.60,4.60,5.20,5.20,4.80
CAN,34.50,32.70,33.10,31.00,30.50,32.10,30.50,32.50,31.90,32.60,32.39,32.18
EST,30.00,34.60,34.80,36.10,28.60,20.10,32.40,36.30,32.50,22.10,29.00,29.10
GRC,18.90,15.40,17.80,14.80,17.90,13.20,12.80,14.70,16.80,17.10,19.30,19.34
KOR,22.60,20.50,23.80,20.10,19.50,16.00,15.40,15.50,12.50,10.60,11.10,9.80
NZL,63.50,79.20,68.90,61.70,62.30,54.40,57.70,46.30,58.80,58.60,58.06,57.51
ITA,28.90,22.40,23.00,20.50,18.90,17.30,15.70,15.60,15.80,16.70,15.70,14.38
SVK,45.50,35.10,42.00,41.80,48.30,44.40,40.10,40.90,39.70,43.70,41.40,40.99
CZE,44.00,44.60,43.10,44.90,42.20,47.30,40.80,45.20,50.10,53.60,42.60,50.10
GBR,59.97,59.30,55.70,63.80,56.10,56.80,55.50,56.50,58.70,52.40,53.30,52.63
SVN,46.00,35.10,36.00,28.60,24.90,30.20,17.80,21.50,23.70,17.90,21.20,18.72
BEL,66.85,66.10,65.35,64.60,56.60,61.40,53.50,58.10,60.70,60.10,59.35,58.60
DEU,39.90,37.90,41.00,43.20,40.00,39.10,38.70,40.20,39.30,44.20,45.50,47.20
USA,81.40,81.80,80.80,81.50,77.60,82.30,78.60,79.80,84.50,83.70,80.20,80.08
PRT,43.70,46.30,38.40,35.10,31.65,28.20,24.75,21.30,20.10,20.50,19.70,20.60
