Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHL,458.40,467.90,451.90,464.10,444.50,402.30,411.60,401.00,376.40,365.80,355.51,345.22
DEU,400.50,400.40,400.10,380.50,358.40,350.60,337.30,332.80,310.00,300.90,287.50,277.90
FIN,424.80,317.00,365.20,332.50,354.50,307.30,321.20,277.10,280.80,306.70,262.60,239.30
BEL,419.45,405.87,392.28,378.70,347.50,348.30,326.00,340.10,310.00,297.20,283.62,270.03
SVK,789.00,770.70,700.90,710.10,710.40,647.30,662.90,695.30,603.60,604.10,618.60,601.56
CAN,316.50,309.80,292.20,285.60,266.50,271.80,251.90,256.20,250.40,244.50,236.50,228.50
KOR,462.80,399.20,392.00,353.70,319.30,288.60,261.70,243.00,217.90,202.80,195.60,182.60
GRC,396.90,402.00,389.20,400.80,394.60,349.80,363.20,364.80,330.20,339.00,314.10,305.82
AUS,304.80,287.60,264.50,268.60,256.10,242.95,229.80,244.90,237.70,222.50,228.30,213.70
LUX,336.10,413.90,469.40,395.80,339.20,292.10,445.30,260.00,238.00,210.90,242.00,182.40
MEX,634.00,609.10,603.20,590.70,558.10,556.00,537.20,541.90,550.60,572.30,551.00,542.70
NOR,316.20,288.50,259.70,238.10,237.10,222.40,234.80,211.60,202.60,185.40,187.00,183.10
HUN,1071.00,1014.10,973.50,932.10,955.70,936.20,865.10,833.90,813.10,740.40,737.30,686.70
IRL,495.20,406.40,390.10,394.60,327.40,304.20,346.20,304.30,279.00,293.00,254.00,229.88
SWE,316.70,310.10,308.20,296.20,259.10,237.30,256.50,228.20,223.40,238.40,205.80,194.71
POL,765.20,729.40,668.60,630.30,640.00,612.30,591.40,581.30,569.10,563.30,519.80,492.60
AUT,452.40,447.60,350.20,304.70,259.70,268.00,254.20,233.80,241.50,235.10,251.10,226.60
ESP,272.90,263.70,262.10,256.90,233.00,237.60,223.90,222.30,213.20,198.90,190.10,185.70
GBR,455.87,441.30,437.50,421.80,384.00,369.10,362.80,343.50,335.50,320.80,310.20,295.63
ISL,366.70,194.40,306.10,232.70,286.10,203.60,189.40,133.50,173.00,114.20,86.14,58.09
EST,1114.80,1096.90,1003.60,936.30,788.80,755.80,709.40,730.80,704.10,591.40,544.10,476.30
FRA,255.60,253.60,252.60,241.00,224.40,222.00,212.60,203.50,219.70,198.80,192.49,186.18
JPN,301.90,296.80,297.30,289.70,283.70,281.60,268.00,260.80,252.00,246.50,232.80,236.40
ITA,320.20,322.10,299.20,266.30,253.57,240.83,228.10,225.70,214.50,208.20,203.00,191.28
ISR,321.50,265.20,231.10,257.70,199.50,194.40,220.80,170.70,181.10,159.30,142.90,125.04
NLD,429.60,400.10,412.30,390.60,363.10,327.40,295.90,303.10,281.20,284.70,252.00,241.40
PRT,416.20,413.40,433.80,403.60,367.38,331.15,294.93,258.70,262.20,241.60,221.60,207.60
CHE,238.70,229.10,213.90,223.70,202.70,175.00,177.40,187.40,181.00,182.70,166.00,158.73
USA,651.30,639.20,629.90,624.30,595.40,585.50,570.80,555.00,553.00,531.20,521.80,508.85
NZL,475.40,440.30,401.60,378.00,342.80,351.10,335.20,321.80,321.90,288.40,267.62,246.84
SVN,419.60,454.90,383.20,295.20,342.60,363.40,314.30,244.50,239.30,205.50,259.20,243.16
CZE,610.20,599.80,601.00,563.60,544.70,507.90,508.80,448.10,434.60,420.80,415.50,419.20
DNK,386.30,366.50,368.30,358.10,349.00,316.80,291.30,278.50,264.40,278.50,229.60,216.70
