Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,1170.90,1128.60,919.80,776.50,703.20,720.10,694.90,710.00,630.50,658.50,683.30,635.80
SWE,825.10,816.00,738.90,728.90,708.60,674.80,648.90,632.70,615.00,581.50,541.40,513.03
ISR,795.80,721.90,645.10,589.00,612.80,556.40,509.30,531.40,504.20,420.80,418.30,380.55
NZL,1044.00,994.50,966.80,910.30,899.80,860.40,773.50,821.40,781.10,748.30,715.44,682.59
EST,3644.20,3504.20,3647.70,3258.60,3162.10,2954.40,2986.20,2841.10,2745.80,2387.30,2187.60,1995.10
DNK,847.10,866.50,859.90,854.40,782.00,693.70,713.50,674.80,599.50,580.70,551.30,520.50
BEL,928.35,900.63,872.92,845.20,784.90,762.60,750.20,715.50,711.60,678.90,651.18,623.47
SVK,2439.90,2306.50,2339.90,2149.60,2089.50,2106.20,2062.30,2134.20,1996.20,1927.30,1786.20,1720.83
ITA,862.50,851.00,792.80,757.50,716.57,675.63,634.70,610.60,605.80,582.30,551.20,520.07
CZE,1812.90,1707.80,1694.30,1632.30,1588.80,1481.10,1447.00,1342.10,1317.30,1243.80,1244.50,1253.80
DEU,1083.00,1053.50,1022.80,1020.80,948.40,912.60,879.80,861.70,807.10,789.00,756.20,702.60
CHL,907.80,906.30,878.00,922.50,848.40,817.80,808.20,810.40,784.50,815.50,805.24,794.99
GBR,1131.40,1096.50,1069.40,1033.30,973.70,932.70,903.50,865.50,843.90,786.80,782.40,747.50
HUN,3023.60,2751.20,2732.10,2680.70,2604.10,2782.80,2568.60,2528.40,2372.70,2269.60,2210.50,2123.80
IRL,1261.50,1146.20,1127.50,1023.50,1037.90,891.00,833.90,812.20,753.40,738.00,673.60,614.81
PRT,987.00,1011.30,1052.90,988.30,898.97,809.65,720.33,631.00,639.30,591.10,567.70,543.20
CAN,806.30,750.50,736.00,746.60,727.60,698.40,662.50,654.00,648.90,623.80,603.52,583.24
SVN,1333.20,1249.50,1169.00,1230.20,1141.70,1106.10,1071.80,968.30,866.00,807.10,747.90,689.37
NLD,946.60,852.50,858.10,856.30,739.70,720.50,667.40,634.70,593.70,545.10,531.30,505.10
LUX,868.00,956.40,857.20,874.90,862.50,790.70,893.00,558.70,623.60,564.80,576.40,547.20
CHE,715.90,660.10,632.50,615.60,573.50,580.20,553.90,513.60,505.00,483.30,470.50,445.96
KOR,1000.00,911.90,891.30,823.20,762.60,704.10,655.50,624.90,571.30,550.70,515.90,484.60
POL,2365.20,2287.70,2126.20,2054.60,2047.30,1998.20,1996.10,1984.70,1965.50,1926.20,1797.40,1700.70
FIN,1413.80,1249.80,1217.30,1231.00,1219.30,1134.30,1095.50,1094.10,1054.70,1005.30,989.70,960.80
NOR,783.10,784.40,754.60,676.00,665.60,648.90,635.40,576.40,561.10,528.60,539.50,479.00
JPN,762.70,767.90,758.90,767.40,741.50,754.80,721.00,706.00,692.70,686.60,653.70,648.00
MEX,925.70,902.50,922.00,915.60,885.50,886.00,883.30,922.10,956.70,958.60,954.00,956.83
ESP,852.20,817.10,802.70,769.80,750.10,728.90,708.80,681.10,668.00,618.00,589.30,554.70
ISL,810.80,553.30,833.00,578.50,831.30,577.00,571.40,633.70,520.90,701.10,688.91,676.72
AUS,741.60,746.00,708.90,681.00,657.20,611.95,566.70,602.40,593.10,570.20,548.40,533.80
USA,1360.10,1315.70,1317.10,1297.20,1244.80,1234.10,1210.40,1178.80,1147.50,1127.00,1103.20,1077.51
FRA,751.20,727.50,708.10,691.50,626.20,624.30,605.10,584.40,580.90,557.80,536.31,514.82
GRC,1280.10,1259.20,1183.00,1235.80,1254.90,1185.70,1149.00,1176.30,1096.10,1116.20,1052.00,1029.19
