Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GBR,197.69,199.20,205.40,222.80,211.00,208.90,225.30,225.00,227.90,216.00,212.80,214.31
SWE,59.20,70.70,61.80,77.70,68.30,79.90,67.40,71.50,67.80,62.30,63.40,63.82
EST,438.60,475.00,505.20,440.20,466.20,465.90,439.60,562.20,565.50,378.10,411.50,336.50
KOR,565.10,537.80,538.80,492.20,448.90,377.20,328.40,305.00,284.60,257.30,245.60,226.80
NZL,30.30,35.70,44.10,46.30,32.00,35.50,43.60,37.50,40.50,27.70,27.41,27.12
AUT,316.60,307.70,284.80,327.50,292.80,276.00,237.20,228.90,222.10,245.90,236.10,201.40
ITA,158.20,157.50,145.20,131.90,125.17,118.43,111.70,106.10,104.10,100.50,95.40,89.12
NOR,79.30,71.10,70.30,66.10,79.60,42.60,37.90,60.70,42.80,37.00,42.40,41.00
ESP,170.40,172.90,163.00,162.00,149.50,148.70,146.20,149.20,130.50,136.80,129.90,127.00
ISL,16.90,18.93,20.97,23.00,2.30,58.10,28.80,38.10,40.60,18.10,18.23,18.37
GRC,63.70,77.40,72.10,70.60,73.20,78.50,84.60,80.10,87.80,84.40,86.00,88.23
BEL,152.90,152.00,151.10,150.20,153.60,159.90,140.30,140.00,144.30,144.80,143.90,143.00
DEU,300.50,283.30,285.00,280.30,260.50,247.50,228.50,211.60,202.10,196.90,195.20,180.60
PRT,281.30,304.60,277.20,256.90,250.20,243.50,236.80,230.10,195.20,200.40,201.50,193.90
JPN,134.90,133.50,128.80,124.20,117.90,116.90,117.50,108.20,106.60,104.40,102.20,97.50
DNK,270.70,263.90,233.50,240.40,244.60,247.00,263.40,217.90,242.90,208.00,210.70,180.30
MEX,900.90,867.20,835.70,826.10,786.50,769.80,714.10,684.80,694.70,639.20,607.50,578.16
IRL,70.20,97.70,81.80,75.40,86.80,104.40,97.30,137.80,117.50,121.90,109.30,113.21
NLD,71.40,67.20,67.30,65.40,67.60,64.10,54.90,57.90,57.80,56.80,53.20,46.40
SVK,567.40,509.00,521.00,504.40,423.50,453.60,496.20,538.00,534.20,476.50,468.40,458.50
LUX,255.10,220.70,237.10,217.40,200.20,145.70,209.10,178.70,106.70,146.30,150.60,144.70
SVN,555.20,579.30,450.70,541.70,450.60,359.10,367.50,454.40,427.30,407.10,380.00,362.48
CAN,86.80,88.00,87.60,86.70,78.60,83.70,81.30,90.10,91.60,84.90,84.69,84.48
AUS,77.30,78.70,93.90,86.70,89.20,82.75,76.30,72.60,77.30,76.50,79.20,70.40
CZE,312.40,313.00,319.00,326.90,303.90,316.40,294.80,310.80,315.50,279.20,281.80,261.90
FRA,217.50,222.40,213.60,209.10,184.70,179.20,177.20,171.70,164.80,164.40,158.50,152.60
CHL,400.80,465.50,480.90,443.20,424.40,360.70,345.20,346.10,356.00,346.00,339.91,333.82
FIN,237.30,244.70,260.60,249.10,346.00,347.90,353.60,425.80,402.10,386.80,351.20,345.70
HUN,1483.00,1274.90,1204.40,1198.00,1105.70,951.70,953.60,952.70,892.40,840.60,726.00,636.20
ISR,54.00,44.10,46.60,47.30,43.10,41.60,48.10,42.80,38.10,45.50,35.40,33.54
USA,167.90,165.20,159.80,161.70,154.00,152.70,149.40,158.70,158.30,159.30,162.00,161.41
POL,308.00,281.70,283.80,276.00,312.50,327.50,341.50,372.70,387.30,342.90,314.90,308.30
