Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
FRA,218.70,224.10,217.80,210.70,191.20,188.50,182.90,179.70,174.50,170.70,165.37,160.03
DNK,279.60,277.00,251.20,261.60,272.70,265.30,282.00,243.20,249.70,219.30,232.80,201.90
ISR,101.60,90.30,84.70,79.10,75.00,77.50,76.80,77.20,62.50,68.30,56.50,51.99
AUT,271.50,267.30,268.40,280.80,246.30,230.10,201.70,201.40,181.80,203.70,194.70,173.10
GBR,252.69,252.80,257.50,270.20,261.10,257.90,273.70,267.70,268.00,259.40,253.80,253.91
NOR,106.40,77.10,90.00,98.00,89.50,74.70,65.20,78.30,71.90,71.20,66.10,61.50
LUX,265.10,242.80,230.80,176.50,200.50,151.80,221.70,201.80,101.00,162.60,147.10,158.50
CZE,333.00,337.60,336.80,349.70,337.80,348.90,329.20,328.10,341.00,322.80,308.80,289.00
KOR,413.60,382.40,363.60,326.50,298.30,255.40,228.40,213.20,201.60,189.20,181.90,169.90
HUN,1149.80,1000.30,954.10,964.50,885.60,823.90,828.20,833.70,744.00,698.70,613.50,547.10
NZL,50.30,54.60,63.80,67.60,58.90,53.60,69.10,61.70,64.50,60.30,61.41,62.52
SVK,547.00,524.60,552.90,523.80,478.50,503.20,532.70,569.80,542.30,513.70,476.50,469.45
ISL,56.20,46.20,31.70,48.10,26.40,88.70,33.70,63.20,67.30,33.80,31.31,28.82
CHL,390.50,431.70,427.60,409.40,397.20,344.20,333.90,338.10,345.50,336.20,330.17,324.13
EST,480.00,526.70,528.10,482.50,487.60,496.40,461.20,553.60,537.60,368.10,394.40,339.70
BEL,189.50,188.13,186.77,185.40,181.80,178.90,169.80,167.60,178.60,177.20,175.83,174.47
CHE,120.10,108.60,119.40,113.00,104.50,98.90,98.90,103.00,96.50,97.00,85.70,82.26
ESP,192.90,189.20,186.90,189.00,173.90,168.90,166.70,167.60,156.50,149.10,143.10,139.80
POL,341.20,318.70,313.70,306.00,334.30,358.10,362.10,382.60,401.60,366.30,336.40,337.80
NLD,120.50,118.70,117.60,123.20,109.90,106.90,102.00,97.90,98.20,88.50,89.70,79.30
FIN,249.50,251.20,254.00,254.20,314.50,343.80,314.40,370.70,341.80,341.90,318.50,318.70
SWE,92.00,99.90,95.60,105.20,89.20,102.70,99.40,104.10,98.00,91.70,83.10,82.21
DEU,294.00,278.10,278.50,268.10,253.40,247.10,230.70,219.10,213.80,205.10,204.50,192.40
ITA,152.90,151.00,140.10,134.00,129.07,124.13,119.20,117.60,114.40,109.60,107.40,102.85
MEX,754.00,730.60,722.80,707.00,677.20,675.00,634.50,635.30,645.60,625.10,615.40,601.54
USA,219.40,219.60,219.90,221.30,213.80,212.60,212.40,219.00,219.30,211.60,212.20,211.48
JPN,136.80,132.80,128.60,127.20,121.00,123.30,120.50,116.70,114.10,113.20,110.90,108.00
AUS,93.60,92.80,110.60,107.50,109.50,104.50,99.50,106.60,103.50,104.60,103.40,97.90
CAN,119.90,124.70,122.90,122.30,118.80,121.40,119.50,126.60,123.30,119.10,119.01,118.92
IRL,132.70,164.20,139.40,128.50,131.80,142.90,148.00,165.20,169.10,166.10,142.20,143.15
PRT,278.50,289.30,292.30,281.80,270.95,260.10,249.25,238.40,220.50,213.60,202.20,193.90
SVN,452.00,486.60,404.30,451.20,384.00,316.10,309.80,375.90,330.30,318.80,279.10,261.81
GRC,93.40,89.20,90.30,91.50,87.40,97.70,90.70,97.80,95.70,96.20,92.60,92.52
