Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EST,82.90,98.70,101.70,78.60,128.50,113.10,92.60,109.10,107.60,99.60,79.10,63.40
NOR,73.40,77.00,94.20,85.80,73.90,73.40,67.80,72.90,63.10,76.30,74.60,60.50
IRL,74.50,77.80,76.90,76.50,74.40,68.30,59.70,79.80,60.90,64.30,67.60,66.91
SVK,63.40,81.80,71.20,68.80,78.80,66.40,58.10,54.60,54.00,61.10,54.90,54.05
MEX,717.90,723.40,759.00,768.00,770.30,788.10,764.90,765.80,797.30,793.70,783.40,789.95
PRT,372.90,397.90,110.40,120.20,111.60,103.00,94.40,85.80,92.00,91.90,73.70,82.30
SVN,83.70,75.00,65.50,83.20,50.50,47.80,42.80,36.80,43.00,47.80,45.80,42.01
NZL,147.20,132.70,137.10,126.90,145.10,135.30,155.80,137.30,139.90,140.30,139.53,138.77
DNK,143.30,135.10,158.80,127.50,125.10,127.00,133.60,123.60,117.70,114.40,105.10,93.10
FIN,89.60,75.30,71.60,77.30,82.10,87.30,84.80,74.50,76.00,80.70,82.50,70.40
CAN,108.10,112.30,117.30,108.90,112.60,112.80,105.50,102.80,108.40,101.80,101.10,100.40
SWE,69.10,77.80,70.70,76.80,68.70,80.90,72.20,64.70,79.10,66.30,61.30,60.52
CZE,55.00,46.20,49.60,45.30,52.60,55.80,47.40,71.10,59.50,67.60,67.10,70.70
GBR,72.69,72.30,75.40,74.20,69.90,66.60,68.30,73.50,71.30,67.90,68.80,68.41
NLD,87.30,102.50,87.40,81.50,78.80,76.00,78.40,68.00,78.80,64.20,72.50,60.10
AUT,68.60,66.90,113.60,143.20,166.20,160.30,155.90,135.90,147.90,146.40,136.40,119.70
CHE,70.70,68.50,64.20,63.70,50.50,54.10,50.40,56.30,54.80,53.00,49.30,47.16
POL,82.00,74.00,69.60,70.50,71.40,73.20,77.60,73.90,77.80,71.00,69.50,65.90
HUN,114.70,86.20,103.80,101.20,99.20,140.00,126.80,137.50,134.70,121.80,107.40,105.70
USA,174.40,176.90,182.70,184.20,177.30,182.20,179.10,177.10,174.60,173.40,170.80,170.44
ITA,124.00,114.90,115.60,82.20,79.07,75.93,72.80,75.30,74.40,78.00,72.60,67.46
JPN,52.20,49.10,48.10,48.20,46.50,48.60,46.50,46.50,43.60,42.00,42.60,41.00
ESP,60.30,58.30,54.40,57.80,62.50,57.50,53.90,54.60,54.30,54.20,51.70,47.10
ISL,7.20,84.60,30.60,59.50,94.70,49.40,7.70,69.10,44.40,34.00,36.98,39.96
GRC,43.60,36.30,47.80,40.20,44.70,43.70,42.20,49.10,41.80,38.80,49.60,50.20
AUS,96.40,90.10,92.00,89.00,78.70,74.10,69.50,79.60,83.70,87.30,77.80,78.00
BEL,81.55,81.17,80.78,80.40,68.10,77.30,69.90,73.60,73.30,78.10,77.72,77.33
FRA,82.20,87.10,83.70,87.20,82.50,79.00,81.30,79.60,76.70,72.30,71.20,70.10
KOR,166.10,161.10,165.10,152.60,143.10,136.70,122.60,110.50,99.70,86.30,84.20,80.20
LUX,68.70,89.30,72.30,57.80,32.70,39.10,65.40,46.70,67.70,24.40,38.70,36.10
CHL,111.70,128.10,126.30,130.50,130.50,125.50,128.10,120.30,103.00,119.80,120.70,121.60
DEU,73.00,70.00,72.30,76.50,78.30,79.40,76.70,74.60,76.20,76.70,78.90,83.40
ISR,154.10,156.30,141.50,159.80,136.20,128.60,124.70,135.30,120.20,125.00,108.10,103.50
