Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
USA,1318.30,1370.50,1381.20,1382.40,1390.90,1418.20,1462.50,1455.90,1393.70,1329.50,1327.60,1328.53
GRC,928.50,923.90,815.20,834.10,854.20,909.20,815.40,865.50,767.00,785.90,706.60,684.41
AUS,1031.70,946.70,909.60,855.80,830.80,780.85,730.90,805.10,805.20,814.20,768.60,724.60
JPN,843.00,822.20,811.10,839.70,804.80,821.60,785.00,764.20,761.00,758.80,742.90,915.90
SVN,1287.70,1309.10,1269.90,1228.80,1194.80,1169.40,1164.70,1194.00,1000.30,934.70,841.60,796.99
CAN,901.90,892.60,884.50,875.40,848.30,891.50,836.70,858.70,842.80,814.50,804.79,795.08
SVK,1281.30,1296.80,1259.30,1251.90,1198.40,1170.60,1143.10,1102.20,1154.20,1007.20,1001.50,973.52
NZL,1113.50,1089.10,1091.40,1098.10,1022.90,1036.40,954.10,1020.10,1036.70,1020.60,1010.28,999.96
PRT,922.90,1042.10,1106.60,982.70,897.45,812.20,726.95,641.70,613.40,607.20,593.50,523.10
FIN,1416.50,1410.10,1339.60,1299.70,1444.90,1301.70,1334.40,1334.50,1303.70,1239.40,1179.00,1098.40
GBR,694.00,680.10,659.80,649.00,633.10,620.80,623.50,603.80,621.50,593.50,555.00,541.10
NOR,866.10,763.00,776.50,905.00,1001.70,854.20,818.60,758.10,792.50,790.70,746.30,783.40
ISR,773.10,858.10,901.40,736.90,696.00,642.90,596.00,536.40,505.50,475.50,497.10,469.50
DEU,755.80,724.90,715.50,684.70,626.10,591.60,558.20,535.50,522.20,507.70,506.40,490.50
POL,1414.30,1354.60,1379.00,1333.10,1310.00,1316.50,1270.10,1260.10,1281.70,1219.50,1149.10,1151.10
BEL,1109.25,1089.57,1069.88,1050.20,1037.70,992.80,1002.20,994.00,956.00,932.10,912.42,892.73
KOR,1322.10,1200.20,1133.10,1212.10,1101.50,1089.30,968.00,1007.70,1019.10,1083.00,1031.20,987.90
AUT,1082.50,957.80,939.50,896.40,829.70,818.20,766.90,760.50,682.80,681.90,652.60,617.00
CHE,834.90,806.70,753.30,709.10,682.30,662.90,700.10,672.80,630.70,634.60,526.50,495.66
MEX,1489.40,1425.30,1406.10,1371.20,1324.10,1342.50,1364.10,1314.10,1480.60,1600.80,1728.90,1752.85
SWE,700.90,779.90,743.00,717.60,882.80,694.70,680.60,716.80,691.10,685.40,614.90,606.30
HUN,1445.30,1336.80,1393.40,1291.70,1287.80,1219.40,1215.30,1144.60,1055.50,1014.20,958.10,887.90
ISL,1207.20,1087.30,915.30,642.60,773.50,632.50,881.10,749.70,640.00,653.80,592.31,530.82
LUX,1108.10,1129.30,1020.40,854.40,723.20,762.70,788.30,907.10,672.70,744.90,700.00,710.30
ESP,868.00,797.10,766.00,777.20,731.60,680.80,621.90,594.70,554.10,473.00,424.00,397.00
EST,3366.60,3675.70,3352.40,2915.20,2855.50,2658.80,2556.80,2542.60,2107.40,2042.00,1748.70,1814.20
IRL,971.40,979.00,915.30,792.40,770.20,854.60,764.70,917.00,864.00,981.00,797.00,779.56
CZE,1216.50,1143.20,1152.00,1173.80,1112.80,1071.00,981.00,1024.70,953.10,919.70,896.60,873.80
CHL,1288.10,1260.10,1153.20,1142.80,1131.70,1115.60,1134.70,1072.90,1126.80,1129.40,1111.77,1094.13
ITA,664.00,672.40,667.90,628.90,606.97,585.03,563.10,558.10,519.40,492.40,447.80,426.18
NLD,561.40,541.60,547.30,537.50,500.50,481.90,444.90,430.10,425.40,431.50,417.40,416.70
FRA,1059.40,1062.20,1001.00,936.30,877.70,847.90,813.20,790.00,770.80,774.10,742.40,710.70
DNK,876.40,819.00,736.30,710.30,699.70,701.60,690.60,685.10,676.40,602.40,532.70,544.90
