Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
NOR,10.90,9.60,9.40,9.80,8.80,12.40,11.80,9.90,9.80,11.80,10.50,9.00
CHL,58.80,72.40,60.60,57.30,62.80,51.80,55.90,46.50,52.60,53.90,53.36,52.81
SVN,13.90,18.10,18.10,15.70,13.20,13.40,26.40,20.30,8.00,6.40,6.70,5.98
HUN,48.60,42.00,46.30,54.80,31.00,41.30,34.30,42.10,32.80,32.60,31.00,25.30
JPN,29.90,31.00,29.00,26.10,26.50,28.50,28.40,25.50,24.30,26.00,23.80,23.90
MEX,163.30,163.10,157.70,155.40,161.40,167.10,166.80,165.00,172.70,177.40,177.50,178.92
SWE,10.50,12.80,13.50,11.80,9.50,10.50,15.40,9.70,9.60,8.60,8.70,8.52
LUX,7.60,5.30,13.20,2.40,0.00,10.90,25.00,7.10,5.70,1.10,15.60,11.50
AUT,22.20,27.90,22.90,17.70,21.70,17.30,22.50,22.00,15.30,13.60,14.30,12.80
ESP,31.00,32.00,31.20,30.10,23.50,26.10,25.40,23.30,27.20,21.80,21.80,19.00
ITA,23.10,22.10,21.60,23.30,21.87,20.43,19.00,17.80,21.30,21.50,18.80,18.37
SVK,94.50,101.10,103.10,95.60,82.40,61.50,67.90,67.60,54.70,60.70,52.20,47.97
CZE,53.60,56.00,56.00,54.80,53.10,40.80,49.20,31.40,35.70,32.40,33.60,26.90
GBR,22.71,22.60,24.40,22.20,20.40,20.90,24.10,22.60,21.80,18.70,21.60,21.49
CAN,26.20,25.80,24.50,28.60,24.80,26.00,26.20,25.70,25.00,18.10,17.20,16.30
FIN,11.40,11.30,10.20,9.60,7.70,8.20,9.80,12.90,11.30,6.10,7.00,9.10
NLD,21.20,18.80,21.20,20.30,15.60,16.10,18.70,17.50,19.90,14.30,16.90,13.70
PRT,45.80,39.20,52.80,47.50,45.20,42.90,40.60,38.30,38.40,40.60,31.00,23.90
IRL,44.60,24.50,25.30,27.30,22.20,16.00,27.90,16.20,16.40,12.30,16.50,13.69
BEL,15.80,15.90,16.00,16.10,15.80,18.90,23.00,18.30,19.30,16.70,16.80,16.90
GRC,35.30,27.80,29.10,25.20,20.90,25.00,29.90,31.50,26.10,27.60,24.10,22.98
KOR,57.50,64.00,54.90,46.70,47.40,42.20,41.00,42.80,43.90,41.00,36.60,35.10
USA,61.10,59.90,61.00,65.60,65.10,65.60,67.80,63.80,64.30,63.30,61.00,60.99
POL,60.30,59.20,53.50,52.20,50.20,51.10,53.20,48.20,50.40,47.90,42.50,42.70
ISR,79.50,94.10,74.80,59.30,86.40,73.10,68.10,63.00,55.40,57.30,51.80,49.03
DNK,23.30,25.80,24.60,22.30,19.50,16.80,28.80,20.20,16.00,19.30,8.20,18.10
CHE,8.60,5.00,7.30,6.80,11.10,7.30,9.30,5.20,8.50,5.30,8.20,8.16
AUS,15.80,18.00,14.20,19.80,16.40,18.60,20.80,19.50,21.70,19.00,20.90,16.90
DEU,26.40,25.60,24.70,24.10,22.80,21.30,21.70,23.30,22.70,20.70,23.50,20.40
FRA,22.50,18.30,19.80,21.10,18.30,18.20,16.90,16.40,18.40,16.40,15.72,15.04
EST,50.70,66.50,26.60,39.20,48.10,50.70,39.10,44.70,39.10,37.50,17.70,7.60
NZL,15.10,21.10,19.30,24.60,16.80,18.30,24.40,13.70,20.60,19.40,19.88,20.36
ISL,12.00,0.00,26.50,2.30,17.70,6.70,2.30,40.50,21.90,0.00,-1.33,-2.67
