Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,712.35,696.77,681.18,665.60,617.20,592.40,577.60,536.40,586.10,572.10,556.52,540.93
AUT,571.90,539.80,564.00,492.10,504.80,455.80,446.70,439.20,382.60,409.40,415.20,400.20
NOR,501.70,458.90,402.10,439.90,407.10,427.20,437.00,361.80,370.20,406.10,386.00,431.50
DNK,391.90,379.40,369.60,335.20,356.80,296.10,299.60,279.40,292.70,313.00,258.10,294.40
CHE,558.80,507.30,527.60,441.10,417.50,433.20,415.90,416.80,382.90,405.30,329.60,306.68
EST,1042.50,1177.00,1118.60,985.40,953.10,789.30,633.50,697.10,670.60,715.50,610.60,546.80
FRA,545.60,528.50,532.30,546.20,525.50,506.30,489.00,473.80,480.50,487.60,481.16,474.71
CAN,473.30,473.70,450.30,453.80,431.90,432.90,386.50,401.70,395.00,415.40,408.97,402.53
SVN,846.80,878.30,782.70,821.80,695.70,731.80,695.10,542.50,574.80,593.50,573.80,546.50
JPN,634.20,610.30,630.40,706.70,668.80,694.00,670.00,673.40,683.70,707.60,679.80,656.80
DEU,378.00,384.70,371.60,366.40,350.60,327.90,302.30,295.20,298.20,299.80,319.10,309.90
GRC,118.40,108.40,87.10,111.00,100.20,104.90,108.30,100.70,104.60,114.90,109.80,108.94
KOR,403.10,412.30,481.90,583.70,571.90,563.80,486.40,526.90,570.30,692.20,688.30,725.90
HUN,985.80,884.70,850.60,803.20,805.70,759.20,684.20,678.30,673.80,709.80,679.90,675.50
PRT,118.20,194.90,300.30,263.60,245.20,226.80,208.40,190.00,213.50,226.90,219.30,214.00
NZL,604.70,611.50,534.40,531.50,557.10,568.10,560.00,523.90,520.20,536.60,529.03,521.47
SWE,365.60,372.10,400.00,352.90,385.50,371.30,350.20,371.30,383.10,407.90,368.20,368.46
ISL,966.80,561.10,397.50,345.50,437.50,454.60,389.60,540.20,401.50,395.20,331.69,268.18
ISR,268.40,267.00,245.90,276.70,252.60,234.80,216.40,198.00,205.00,220.00,266.90,266.75
GBR,292.70,289.10,289.40,269.90,272.40,257.50,267.00,253.40,273.90,274.00,256.70,253.10
MEX,181.60,185.70,190.20,198.50,197.10,204.20,199.00,195.00,207.60,218.80,210.60,213.50
AUS,535.30,546.80,508.20,455.30,429.50,374.45,319.40,421.00,434.30,403.90,415.50,383.60
SVK,496.40,495.60,501.10,535.20,469.10,466.20,441.97,417.73,393.50,394.90,416.50,408.51
ESP,233.50,215.30,220.00,224.90,224.10,208.10,196.50,181.30,204.60,200.00,177.40,173.10
USA,415.20,424.60,426.20,419.20,423.60,419.10,420.60,431.90,440.00,444.40,461.20,465.80
POL,629.80,636.10,622.00,617.70,635.80,620.30,591.10,530.00,579.80,645.30,619.70,604.70
NLD,280.20,275.90,295.10,277.20,280.10,294.30,282.80,251.00,259.40,271.30,286.30,295.70
ITA,197.30,194.40,200.90,191.00,181.63,172.27,162.90,169.80,176.80,175.20,179.80,178.05
IRL,591.20,608.10,537.60,508.90,547.10,498.00,491.40,461.00,486.50,538.70,489.90,479.77
LUX,413.00,455.10,497.80,412.80,469.80,355.40,389.90,454.80,264.70,288.30,334.10,271.10
CZE,536.50,526.90,483.70,557.80,530.60,512.60,450.40,449.30,432.90,460.20,468.20,521.20
CHL,451.90,494.30,477.10,474.30,499.60,462.50,481.00,486.40,532.80,537.60,547.12,556.64
FIN,858.70,888.90,764.70,765.70,756.50,613.40,735.30,670.00,710.60,683.60,672.20,621.90
