Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
FRA,5.20,5.30,4.60,5.30,4.40,3.70,3.90,4.40,4.30,5.90,5.98,6.06
ITA,8.10,6.40,6.90,7.00,7.40,7.80,8.20,8.40,6.40,4.80,7.00,6.89
FIN,5.50,4.60,8.50,3.30,6.80,6.20,4.00,4.60,1.70,3.00,8.40,1.50
CAN,4.70,5.10,4.70,3.40,4.70,5.00,3.80,4.00,2.20,4.20,4.14,4.09
PRT,7.80,4.80,7.60,5.00,5.35,5.70,6.05,6.40,7.40,6.10,5.60,4.60
SVK,7.00,13.50,3.90,9.50,10.80,6.70,9.70,6.60,8.80,2.90,12.80,13.38
EST,7.20,9.80,3.10,0.00,5.10,0.00,22.90,4.70,0.00,0.00,0.30,19.80
JPN,0.70,0.80,0.60,0.70,0.60,0.50,0.70,1.00,0.70,0.60,0.30,0.80
SVN,8.70,4.40,6.50,4.70,3.70,7.80,0.00,10.20,1.50,0.20,2.10,1.44
ISR,10.00,14.30,9.30,11.40,2.80,2.40,4.10,7.00,4.00,5.20,7.00,6.70
POL,11.20,12.90,11.00,9.30,8.70,9.30,8.90,8.40,7.90,7.20,6.00,7.00
KOR,0.20,0.30,0.60,1.20,0.80,0.40,1.00,0.60,0.60,0.60,0.50,0.90
GRC,18.50,11.20,12.50,14.60,9.40,6.40,12.90,9.60,8.70,12.00,9.40,8.49
NZL,0.00,3.50,1.30,12.80,2.90,3.20,2.00,2.20,8.80,2.50,2.78,3.06
AUS,2.30,3.50,2.20,4.40,2.20,2.60,3.00,2.30,3.60,2.50,3.40,2.80
DNK,8.40,0.70,2.10,5.40,1.50,4.40,5.80,6.00,4.70,1.50,7.20,2.50
BEL,3.15,3.00,2.85,2.70,6.50,2.40,6.20,4.00,6.50,1.80,1.65,1.50
ESP,8.10,5.70,6.10,4.70,4.50,5.50,4.30,4.40,4.20,4.60,5.00,4.80
CHL,2.40,3.80,3.60,3.30,5.80,5.20,5.00,4.10,2.10,1.80,1.73,1.67
DEU,4.40,4.40,3.40,3.50,3.00,4.00,2.20,2.80,2.20,1.80,2.30,2.10
GBR,4.33,4.40,6.60,5.10,5.00,6.10,5.20,5.90,5.10,3.80,5.00,5.07
USA,6.20,6.20,6.30,6.00,5.20,5.10,4.50,4.30,4.40,4.60,3.90,3.67
HUN,12.20,11.40,8.30,8.70,6.30,2.30,4.20,3.90,5.20,3.50,5.10,3.60
LUX,1.00,0.67,0.33,0.00,1.90,3.80,1.00,3.70,22.80,25.52,28.25,30.97
AUT,3.90,3.60,3.90,5.10,3.90,5.70,1.50,1.40,1.50,3.40,2.10,3.40
CZE,12.40,12.50,9.60,8.50,10.10,5.90,5.10,3.30,5.20,3.90,3.30,3.50
SWE,2.60,3.40,6.30,4.20,0.60,2.60,1.90,1.40,2.80,0.70,1.50,1.39
IRL,14.00,9.10,1.70,3.80,3.90,0.30,4.30,3.90,4.40,4.60,4.30,3.33
MEX,6.40,5.70,5.90,6.80,5.00,4.50,5.40,5.20,5.70,5.40,5.60,5.52
NOR,4.20,0.50,0.10,2.10,2.00,3.10,2.10,2.80,0.10,0.30,4.10,3.20
ISL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NLD,5.70,3.90,3.30,0.60,4.00,4.40,6.00,2.00,2.80,3.50,3.50,2.20
