Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GBR,23.37,24.20,24.70,25.70,25.50,26.20,28.10,29.30,29.10,29.90,31.70,32.53
DEU,36.20,36.70,36.70,39.30,38.20,37.60,38.60,39.50,37.50,38.60,38.90,38.70
FRA,76.70,77.90,77.20,80.90,78.70,76.60,81.20,76.00,76.80,74.50,74.26,74.01
BEL,30.65,31.13,31.62,32.10,35.20,38.90,34.20,36.30,41.40,35.00,35.48,35.97
NOR,9.30,12.80,11.90,13.40,9.70,22.70,24.30,18.90,23.10,17.70,28.70,24.90
POL,35.90,32.80,35.00,36.10,34.20,31.00,31.90,34.90,29.70,35.10,30.80,29.60
AUS,32.20,36.80,30.70,36.10,35.00,37.85,40.70,43.80,42.50,43.90,45.70,54.40
ESP,57.80,60.80,62.60,61.10,60.50,59.20,59.40,62.20,63.60,62.10,65.20,66.20
DNK,35.90,35.20,25.70,29.10,27.40,43.40,35.40,26.50,25.50,28.40,39.90,35.60
MEX,41.80,39.50,41.90,44.10,41.90,42.80,41.20,35.10,36.10,36.50,38.60,38.28
LUX,24.10,24.20,36.40,50.70,31.60,51.00,29.00,24.10,42.20,72.60,48.90,64.70
ISR,35.40,31.20,30.20,25.00,25.10,30.70,27.20,31.20,23.40,27.10,25.70,24.73
CHE,40.90,52.70,45.00,44.20,45.10,43.70,50.60,47.50,55.50,52.90,44.40,44.75
ITA,53.60,47.80,44.10,75.00,72.73,70.47,68.20,66.60,62.60,67.00,61.00,61.74
CHL,32.60,31.90,33.50,35.80,30.20,37.70,36.60,33.80,35.80,36.60,37.04,37.49
NLD,20.30,20.00,21.90,20.10,20.20,22.90,20.90,24.40,20.90,22.70,26.50,23.40
CZE,67.20,60.70,62.20,68.00,63.00,51.50,61.80,47.70,38.90,39.10,47.00,40.70
ISL,10.70,8.40,0.00,0.00,0.00,9.20,13.80,13.60,15.90,21.50,22.70,23.90
FIN,23.90,30.90,22.90,34.30,30.70,26.20,31.70,32.70,28.90,34.30,33.40,28.70
AUT,30.00,33.60,55.00,57.90,67.30,55.10,59.70,56.20,50.50,55.50,54.60,52.00
GRC,15.40,16.10,9.70,19.40,15.20,19.40,10.70,10.50,8.30,13.70,13.50,13.31
NZL,44.30,45.90,42.70,42.20,42.10,35.40,54.60,50.00,48.00,49.90,50.52,51.14
JPN,161.40,153.20,142.30,132.30,127.10,118.40,109.00,105.60,100.10,90.90,84.70,78.50
PRT,28.80,39.15,49.50,50.00,52.83,55.65,58.47,61.30,54.60,60.00,59.50,71.50
CAN,31.50,34.90,32.30,34.30,34.90,36.50,35.20,42.20,37.90,35.50,35.94,36.39
EST,59.90,31.40,92.30,28.50,39.40,47.50,39.30,25.70,47.40,50.60,37.20,32.00
SVK,62.20,56.00,57.10,63.60,55.50,53.90,52.30,53.10,45.40,43.90,39.20,36.90
HUN,70.70,67.90,86.70,82.80,79.80,76.80,56.80,58.10,60.60,65.50,60.40,62.80
IRL,4.10,6.00,6.20,6.10,5.80,10.90,12.30,28.30,34.00,32.90,35.70,38.86
USA,45.90,46.70,49.90,51.40,54.20,56.40,55.20,58.30,60.20,62.60,62.30,63.94
SVN,49.90,58.40,39.00,68.70,47.10,47.20,50.30,44.00,50.70,54.30,45.30,44.84
KOR,454.10,437.20,451.30,423.70,407.90,376.20,366.50,348.60,325.30,313.00,285.30,268.20
SWE,19.00,27.80,26.20,28.20,36.50,31.00,29.00,27.90,30.20,35.80,33.20,34.62
