Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
HUN,577.30,528.60,476.00,468.10,455.90,446.50,353.10,328.90,309.80,304.40,291.60,279.00
SVK,287.20,246.70,237.90,214.90,207.10,181.90,166.80,218.90,302.00,283.90,254.60,251.34
GBR,224.60,214.00,205.30,187.60,169.70,156.60,149.50,140.90,134.80,124.50,118.60,108.00
ESP,193.70,177.60,173.00,167.00,155.40,146.90,137.20,127.30,117.30,111.90,108.10,98.20
ITA,158.90,151.00,149.10,138.60,132.80,127.00,121.20,113.50,110.60,105.10,101.10,95.32
MEX,308.00,307.70,315.60,316.60,303.80,306.40,307.00,286.70,302.00,319.60,329.90,332.09
AUT,287.00,270.90,233.70,203.40,175.60,174.30,167.80,160.50,153.80,149.90,156.80,154.60
ISL,155.70,90.80,143.00,191.20,106.50,89.70,102.70,163.00,77.60,75.90,67.03,58.17
AUS,147.40,143.90,130.80,113.30,107.90,96.60,85.30,87.10,79.10,76.70,67.60,64.90
EST,295.10,246.10,283.50,234.80,274.90,212.50,180.70,158.90,174.20,151.30,157.30,130.80
IRL,258.30,222.00,201.10,175.80,182.90,157.90,154.90,144.80,125.10,117.10,94.30,77.90
JPN,88.50,89.60,86.80,85.10,81.40,80.90,78.30,73.10,71.30,70.50,67.10,69.10
SVN,211.40,203.30,175.10,191.00,168.80,134.00,147.70,141.50,159.50,122.70,128.00,119.66
DEU,238.50,230.90,216.80,207.80,199.80,192.00,190.50,177.80,166.30,159.20,154.90,143.80
DNK,178.20,173.20,141.80,129.40,120.30,119.20,114.30,102.30,98.30,92.50,89.90,75.90
KOR,134.60,122.50,125.60,115.70,109.40,105.00,103.80,95.30,83.30,77.30,71.00,62.60
USA,225.10,213.10,204.60,196.50,182.50,175.20,168.30,158.40,154.60,145.10,141.90,133.58
NLD,254.20,208.40,203.90,208.50,172.70,167.10,147.80,134.30,128.10,113.70,110.20,102.00
CAN,177.80,161.80,155.90,157.10,146.90,133.30,125.60,117.70,121.30,108.80,101.13,93.47
GRC,366.60,365.90,359.80,360.90,357.80,323.70,309.50,340.00,301.20,316.20,293.40,286.08
LUX,143.00,90.60,195.70,132.50,183.50,138.60,237.20,142.60,132.80,109.20,120.70,130.30
BEL,228.50,218.80,209.10,199.40,177.00,178.70,154.40,154.00,150.90,141.20,131.50,121.80
CHL,200.50,198.90,193.80,205.60,176.50,187.80,187.20,183.70,175.10,173.80,170.83,167.87
POL,482.10,441.60,381.60,364.30,346.40,315.50,308.10,277.70,260.60,218.40,209.50,184.60
CZE,375.70,344.00,315.10,285.30,251.80,213.40,191.70,183.40,190.20,168.00,168.10,171.80
FRA,132.90,132.30,124.00,117.70,107.70,107.80,102.70,100.50,95.20,87.60,82.57,77.53
NZL,210.00,209.70,179.10,161.50,172.80,171.20,141.20,148.70,131.90,133.00,124.44,115.89
PRT,202.50,207.10,223.80,231.40,207.80,184.20,160.60,137.00,125.40,112.60,112.50,109.80
NOR,220.40,218.80,197.90,165.60,156.80,161.00,151.00,133.40,124.30,122.20,116.10,104.80
SWE,205.60,191.50,172.70,166.10,147.60,146.30,142.20,138.10,131.80,120.90,111.90,102.53
FIN,284.60,228.80,220.30,206.80,203.70,181.10,161.20,154.40,134.40,115.70,108.80,110.80
ISR,104.30,85.70,85.90,84.90,77.60,64.00,69.80,60.40,59.00,45.80,51.40,46.11
