Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SWE,74.30,65.50,69.20,67.40,69.30,61.50,70.30,74.30,70.10,75.00,57.70,56.04
GBR,68.54,67.90,64.50,68.70,63.10,65.00,66.30,66.80,66.90,65.10,62.10,61.46
FRA,65.90,63.70,64.60,65.80,65.90,65.60,58.30,57.90,60.70,61.80,61.34,60.89
NLD,83.90,82.20,88.30,86.80,85.40,87.30,73.00,78.40,80.00,83.50,80.50,90.20
SVN,91.50,78.40,74.50,93.10,90.60,62.10,75.90,70.60,90.00,79.80,82.20,81.27
BEL,56.70,57.80,58.90,60.00,62.80,65.10,61.10,70.70,59.90,66.60,67.70,68.80
HUN,158.00,139.60,127.10,152.30,130.40,133.10,132.30,130.40,130.90,122.50,127.20,131.10
USA,75.30,77.00,74.00,71.50,68.50,67.40,70.40,69.40,69.90,68.90,68.40,67.71
AUS,90.00,90.70,84.90,79.90,71.70,64.00,56.30,67.20,68.10,66.90,58.70,60.50
POL,83.00,91.30,81.80,86.70,79.00,83.30,83.20,76.50,84.50,76.40,78.40,80.30
AUT,80.90,72.80,68.50,73.50,64.00,54.70,62.30,60.70,50.10,49.50,51.40,53.80
CZE,125.30,118.20,109.70,125.00,110.00,97.10,94.30,84.00,84.70,73.70,81.80,82.40
IRL,83.80,81.10,77.10,82.00,77.40,75.60,60.80,68.60,83.80,62.40,70.90,69.61
ISR,94.60,96.60,83.70,83.40,76.00,86.80,83.30,76.80,68.20,78.30,73.00,70.84
JPN,83.30,85.00,82.20,83.70,84.00,79.50,76.50,76.70,70.10,71.30,72.00,68.80
KOR,59.30,56.70,60.60,65.10,66.30,59.60,59.00,54.00,61.70,60.20,56.30,55.60
DEU,77.80,77.40,74.00,74.90,70.00,64.40,64.70,65.00,61.40,62.60,62.50,58.80
CHE,61.20,57.00,62.20,57.90,53.30,49.40,48.80,63.30,55.70,46.80,49.00,47.78
MEX,33.30,33.80,32.60,33.20,35.20,35.30,34.40,37.70,38.00,32.00,34.70,34.84
NZL,116.20,133.20,102.40,109.10,119.00,111.80,107.00,97.30,84.50,101.90,100.31,98.72
FIN,63.30,56.40,52.10,59.70,53.10,59.70,45.80,57.60,50.50,53.80,52.50,51.40
CAN,73.00,71.20,72.50,68.00,70.60,61.90,65.10,67.60,68.40,64.10,63.11,62.12
ITA,74.20,75.50,74.90,76.40,73.07,69.73,66.40,70.10,65.50,67.00,64.10,63.09
LUX,63.90,72.90,54.30,31.30,24.00,46.60,58.40,110.10,52.40,39.20,70.00,89.60
EST,80.10,87.20,90.90,56.90,78.50,86.20,96.10,72.50,56.80,75.20,46.10,63.10
PRT,89.80,91.00,91.50,82.90,81.10,79.30,77.50,75.70,80.70,81.40,86.60,76.50
ISL,98.60,49.80,64.90,53.90,65.30,49.70,61.30,59.70,43.60,30.90,23.38,15.86
CHL,48.50,49.70,45.70,52.90,52.70,45.50,52.50,52.80,52.70,61.20,62.61,64.02
GRC,43.80,44.50,44.70,46.90,40.70,44.00,46.00,41.80,42.80,38.40,48.30,48.75
NOR,108.90,108.10,101.90,97.20,78.10,89.10,96.80,103.90,89.80,90.70,72.50,76.50
SVK,111.80,106.80,139.20,104.90,97.60,99.30,103.50,106.50,95.10,84.00,89.90,87.71
ESP,79.30,74.50,79.90,77.00,72.70,69.40,64.90,66.30,71.10,68.90,70.80,71.20
DNK,110.00,96.10,98.90,82.00,86.40,89.10,87.80,70.30,92.50,95.70,83.50,83.10
