Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHL,44.30,57.90,50.20,55.00,46.40,50.20,49.80,55.60,59.00,54.90,56.08,57.26
SWE,82.30,82.80,89.50,82.70,72.90,79.00,88.00,74.00,79.00,80.60,79.10,78.78
KOR,89.30,94.60,94.00,95.50,100.60,94.60,93.50,95.00,88.10,87.00,91.50,86.50
BEL,88.05,87.17,86.28,85.40,83.60,82.60,75.80,91.70,91.20,80.10,79.22,78.33
NLD,108.30,105.00,107.50,109.10,109.10,98.60,102.80,96.20,100.00,98.40,99.70,96.50
IRL,129.00,124.10,133.70,110.10,106.00,106.30,116.60,90.50,104.70,114.40,93.00,89.40
ESP,114.70,113.00,119.40,113.80,116.20,114.50,113.50,111.40,105.80,112.00,108.50,111.00
AUS,131.10,120.50,106.40,106.00,96.90,94.30,91.70,87.60,86.60,86.00,78.90,75.10
HUN,238.60,248.60,249.70,247.50,254.10,241.70,233.90,242.70,234.50,247.60,234.30,230.10
FRA,98.30,100.20,100.10,97.30,95.00,96.70,93.00,88.50,86.70,84.70,83.19,81.68
CHE,84.70,76.80,74.30,77.70,84.40,81.40,78.40,78.20,65.00,69.10,78.70,78.10
SVK,211.80,232.50,214.80,186.10,218.10,208.60,172.50,185.30,202.10,182.10,172.90,169.01
GBR,107.59,105.80,105.40,98.30,97.10,93.20,94.30,95.60,93.20,90.20,89.70,87.91
DEU,119.40,120.20,117.20,114.70,108.20,101.90,104.30,96.60,94.60,96.40,92.60,93.20
AUT,103.70,117.00,118.80,119.40,99.40,92.30,91.80,95.40,89.20,90.30,81.90,78.00
CZE,232.50,219.10,214.20,203.70,216.40,198.70,196.40,165.80,163.50,158.30,152.00,131.50
GRC,51.70,57.10,59.10,58.80,55.80,56.20,51.50,58.80,58.30,56.10,59.50,60.28
LUX,81.20,58.40,92.60,82.70,91.70,87.70,67.40,117.10,112.80,85.40,89.60,106.20
DNK,128.30,128.50,118.00,104.00,122.00,113.60,103.90,110.20,100.50,103.30,93.00,94.20
FIN,72.40,76.80,70.60,66.60,69.30,85.50,72.00,64.00,78.40,55.70,59.40,62.10
PRT,114.70,129.90,136.60,125.20,127.07,128.95,130.82,132.70,133.30,130.30,133.00,134.90
ISL,68.30,87.00,60.00,101.20,50.70,87.60,57.70,42.00,32.20,111.80,116.63,121.47
SVN,126.40,147.90,141.40,158.00,141.80,114.10,144.90,139.70,129.50,134.70,125.10,124.97
ISR,101.10,86.00,83.50,75.70,73.30,93.50,69.90,84.30,78.70,73.90,78.60,76.35
ITA,102.90,101.20,102.70,98.90,97.23,95.57,93.90,89.10,91.10,87.70,86.70,85.08
CAN,106.50,97.70,103.50,97.30,97.50,101.70,96.60,95.50,95.70,94.60,93.28,91.96
MEX,38.20,37.80,37.10,38.30,39.90,41.70,40.60,40.90,47.40,43.50,43.80,44.36
NZL,123.90,129.10,137.70,123.80,116.60,120.70,101.20,122.10,133.60,118.00,117.34,116.69
POL,123.60,130.80,126.20,126.20,130.80,122.10,125.60,129.20,126.50,125.40,126.70,117.70
NOR,107.90,106.40,111.80,102.20,111.00,110.30,100.20,92.90,103.80,96.30,82.00,91.10
JPN,127.40,125.80,121.10,120.00,122.70,115.40,114.70,114.60,110.80,104.50,106.80,109.90
EST,98.50,137.60,90.20,104.60,102.20,131.50,115.90,106.00,94.30,127.10,91.90,89.90
USA,104.80,105.20,106.40,99.60,94.80,92.80,92.80,95.30,96.10,94.60,96.00,95.12
