Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
FRA,3.00,3.30,3.20,3.50,2.10,2.50,2.80,3.00,2.20,1.90,1.78,1.66
EST,0.40,1.60,2.80,1.60,0.70,0.00,3.10,2.40,0.40,3.60,1.70,3.80
ISL,2.20,0.00,15.90,0.00,0.00,4.60,0.00,0.00,5.60,13.40,14.64,15.89
CHL,1.90,2.70,1.90,2.30,3.70,3.60,3.70,2.10,3.80,4.10,4.34,4.59
KOR,4.30,5.40,6.00,4.70,4.90,4.80,4.90,4.50,3.90,4.70,4.90,6.30
SWE,1.60,1.40,1.20,1.50,1.30,1.20,1.50,1.70,1.70,1.80,2.50,2.59
AUS,3.10,2.60,2.30,2.00,1.70,1.80,1.90,1.20,2.50,2.60,2.00,1.30
JPN,2.40,2.30,2.10,2.50,2.40,2.40,2.70,2.60,2.70,2.30,1.80,2.50
BEL,2.85,2.77,2.68,2.60,1.50,2.20,2.90,3.60,1.80,2.10,2.02,1.93
ISR,3.20,2.10,2.80,1.00,3.20,2.30,3.10,1.50,5.10,0.10,2.80,2.76
DEU,2.20,2.20,2.80,2.50,2.40,2.50,2.90,2.50,2.40,2.70,2.80,2.70
CZE,1.70,4.10,2.00,3.30,3.60,2.50,1.00,1.20,0.90,0.40,0.60,1.40
DNK,2.80,4.80,4.70,2.30,0.70,3.20,1.40,4.50,3.40,2.20,3.60,3.30
NZL,0.70,2.80,2.10,2.40,0.50,1.80,2.30,1.20,2.80,1.00,1.03,1.07
USA,3.10,3.40,3.20,3.20,3.50,3.80,3.60,3.30,3.40,3.40,3.70,3.76
LUX,0.00,4.10,1.20,1.20,3.90,1.20,2.30,7.10,1.10,0.00,4.90,2.10
MEX,2.00,2.60,2.50,3.10,1.90,2.60,2.80,2.30,2.50,2.70,2.70,2.77
SVN,1.30,4.20,1.60,1.80,2.30,0.50,1.30,5.80,2.70,2.20,3.00,3.17
ESP,2.10,2.70,2.50,2.70,2.20,2.50,2.40,2.50,2.60,2.50,1.80,2.40
NOR,3.00,3.30,3.80,3.90,1.80,0.70,1.90,2.20,1.10,2.90,3.70,1.60
GBR,2.80,2.80,2.60,2.40,2.70,2.60,3.00,2.30,3.20,3.40,2.80,2.80
PRT,1.70,1.60,2.70,4.10,4.03,3.95,3.88,3.80,2.90,1.90,2.90,2.10
FIN,3.60,2.70,2.80,4.80,4.50,5.80,2.70,3.60,3.00,3.10,2.10,3.30
SVK,2.30,1.90,2.40,3.80,0.90,1.00,2.00,0.70,1.00,0.60,2.90,2.96
ITA,1.50,1.70,2.20,2.20,2.27,2.33,2.40,2.60,2.40,2.30,2.50,2.60
CAN,2.40,2.20,2.20,3.00,2.20,2.80,1.80,2.00,2.20,2.20,2.18,2.16
AUT,1.10,1.20,2.20,3.90,2.80,2.60,2.40,2.60,1.30,3.10,1.60,2.10
NLD,2.60,2.30,1.90,2.20,3.10,2.80,2.40,2.10,4.40,3.60,3.20,3.00
POL,3.10,1.30,2.50,1.50,2.90,2.80,2.30,2.10,2.00,2.20,2.00,2.10
GRC,1.80,0.80,1.20,1.30,1.40,1.20,0.50,1.70,2.00,2.50,1.80,1.80
IRL,2.60,6.00,1.20,2.30,1.90,2.20,1.00,3.10,4.10,1.30,1.10,0.95
HUN,2.70,2.10,2.70,1.20,1.70,2.60,5.80,4.80,3.20,4.80,4.50,3.10
