Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
JPN,0.90,0.90,1.00,1.20,1.00,0.80,1.10,0.60,0.80,1.10,1.00,1.00
PRT,2.10,2.10,2.60,2.40,1.93,1.45,0.98,0.50,0.80,1.10,0.00,0.00
SVN,2.10,3.10,0.20,2.30,3.70,2.50,0.00,1.70,0.80,1.70,0.00,-0.21
SVK,0.00,0.00,0.32,0.65,0.97,1.30,0.10,0.12,0.13,0.15,0.17,0.18
CHL,5.30,6.90,4.70,2.90,2.20,4.30,2.00,1.30,2.10,1.80,1.41,1.02
DNK,0.50,0.70,2.70,0.80,2.10,1.50,1.50,0.30,0.70,0.90,1.20,1.40
HUN,1.20,1.80,0.60,2.40,2.30,2.80,3.20,5.40,2.00,5.40,3.30,5.70
FIN,3.70,2.10,0.30,0.20,0.50,1.30,0.30,0.40,1.30,1.70,1.90,1.50
ISR,4.50,4.10,6.40,4.90,3.50,1.40,4.50,6.70,7.00,4.70,4.20,4.17
BEL,0.95,1.23,1.52,1.80,1.70,0.80,0.90,1.90,1.50,3.50,3.78,4.07
CZE,1.90,0.40,0.30,0.20,0.00,1.20,0.80,1.70,2.60,3.00,3.50,3.30
POL,1.50,0.20,0.20,0.20,0.30,0.50,0.80,0.60,0.20,0.70,0.70,0.80
IRL,4.60,7.00,5.40,5.00,5.30,2.10,1.20,0.10,1.70,1.40,0.10,-0.35
ISL,-0.95,-0.63,-0.32,0.00,0.00,0.00,0.47,0.95,1.42,1.90,2.22,2.53
ITA,1.60,1.50,0.70,0.80,1.07,1.33,1.60,1.20,1.00,1.50,0.90,0.83
USA,5.40,5.80,6.10,7.50,6.80,5.80,6.00,5.30,5.60,6.10,5.60,5.62
GBR,4.86,4.90,3.60,4.70,4.00,5.30,4.60,4.80,5.70,5.40,5.30,5.34
ESP,2.70,2.00,1.90,1.70,2.40,1.50,1.80,2.30,1.40,2.20,2.00,2.00
EST,5.00,14.30,10.00,5.50,8.00,6.20,5.90,6.50,11.60,0.00,2.50,0.00
SWE,0.50,0.20,1.80,0.30,2.20,0.30,3.00,0.60,0.80,0.00,1.50,1.60
CHE,1.50,1.20,3.30,0.70,0.40,2.10,1.30,1.90,0.20,4.40,0.80,0.73
NOR,1.60,1.80,0.70,1.40,1.30,1.20,0.10,0.30,0.50,0.50,0.50,0.10
AUS,2.20,1.30,3.80,1.90,3.00,1.85,0.70,2.50,1.00,2.90,2.00,2.90
DEU,1.80,1.10,1.50,1.60,1.70,1.40,1.30,1.90,2.20,1.40,2.10,2.00
NLD,3.10,2.50,2.00,3.00,2.10,3.10,2.00,3.30,2.00,1.50,1.50,1.30
LUX,1.00,0.00,6.50,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,6.50
NZL,3.20,1.40,0.50,1.70,3.30,3.90,1.30,3.10,1.60,3.20,3.20,3.20
GRC,4.60,2.80,2.40,3.00,2.10,2.70,1.20,2.60,2.70,3.70,3.40,3.28
MEX,9.10,7.30,7.20,7.90,7.10,9.10,7.90,9.40,8.30,9.90,10.10,10.20
AUT,3.30,2.70,3.70,2.10,3.60,4.10,4.70,5.20,1.10,1.70,2.60,1.20
KOR,3.80,1.90,1.70,1.10,1.10,1.10,1.00,1.20,1.10,0.40,1.10,1.40
CAN,1.40,1.80,2.30,1.90,1.60,1.80,2.50,3.60,2.40,2.00,2.07,2.13
FRA,1.50,2.20,1.90,2.00,1.40,1.70,1.40,0.80,1.70,2.00,2.06,2.11
