Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
FRA,13.70,11.20,12.50,14.50,10.70,12.80,13.90,12.40,13.20,14.70,14.81,14.92
PRT,54.80,44.80,43.80,46.40,42.05,37.70,33.35,29.00,38.20,45.30,27.30,24.60
AUS,15.80,22.90,21.70,18.00,20.20,18.70,17.20,17.90,16.60,15.50,15.70,13.90
EST,119.30,139.30,97.90,133.60,71.20,52.50,60.40,40.20,55.50,36.50,46.80,73.60
NZL,18.90,12.70,22.20,24.90,34.00,11.30,15.70,23.10,25.60,15.90,15.57,15.23
SVN,50.40,29.90,28.40,34.80,20.40,45.50,14.90,17.50,21.30,15.30,25.80,23.34
NLD,30.60,27.00,33.50,29.90,29.70,33.90,29.10,27.10,25.10,27.00,28.20,28.10
LUX,22.10,1.10,22.20,12.80,41.00,31.70,23.40,14.60,4.60,16.50,54.00,2.10
POL,60.40,55.50,45.80,47.90,49.50,54.40,54.90,54.10,58.30,66.20,61.60,74.80
HUN,58.60,37.60,36.80,51.00,31.70,39.70,30.10,21.50,13.80,16.60,17.90,25.80
NOR,9.00,7.10,13.10,16.40,5.80,25.80,8.90,15.40,16.00,15.90,8.20,10.80
CZE,61.60,61.10,56.20,52.60,51.60,56.30,41.60,56.50,55.80,62.70,69.40,56.20
JPN,44.30,38.00,37.40,40.80,34.20,38.00,36.00,35.20,39.20,33.50,35.00,39.90
ISR,15.70,22.40,21.40,17.60,17.80,21.70,12.30,8.60,24.90,15.90,12.70,12.40
KOR,26.60,19.20,18.30,14.80,11.70,14.10,15.10,14.40,15.20,9.70,14.40,17.20
ISL,12.00,11.50,0.00,2.20,52.80,6.70,0.00,0.00,14.70,14.10,14.33,14.57
SVK,102.90,122.70,112.30,109.80,125.90,140.20,129.70,117.90,142.70,107.00,108.10,108.62
AUT,19.30,19.60,8.30,12.30,8.90,9.50,6.60,11.90,7.40,13.80,5.00,9.50
IRL,78.80,82.20,63.60,69.10,59.40,54.40,46.20,18.10,27.50,24.30,34.30,29.85
FIN,40.80,54.00,37.40,30.50,21.80,20.00,11.70,25.30,14.80,21.30,15.50,17.60
SWE,27.80,17.20,16.70,25.90,16.30,21.60,11.40,13.40,21.80,12.30,17.50,16.47
ITA,17.80,14.70,23.70,10.50,9.30,8.10,6.90,8.40,8.20,8.10,8.10,7.13
CAN,18.80,18.40,23.70,24.90,21.50,24.10,26.50,24.70,26.70,26.60,27.47,28.33
GRC,28.30,22.70,18.00,31.90,36.70,29.00,41.30,33.70,27.60,34.60,31.00,31.27
CHL,125.10,125.30,56.00,44.20,55.80,46.40,36.40,45.40,47.30,53.10,45.10,37.10
MEX,167.70,139.50,153.90,136.40,141.00,134.00,131.70,112.20,109.70,158.70,120.70,116.00
BEL,28.05,27.60,27.15,26.70,28.80,29.60,27.80,25.80,28.90,24.00,23.55,23.10
ESP,21.30,15.70,17.50,20.80,14.50,19.60,16.60,20.50,18.70,19.30,14.60,16.90
GBR,49.08,48.40,49.20,50.60,45.40,47.20,47.40,46.50,51.50,48.00,42.30,41.62
DEU,21.40,21.70,23.40,24.40,22.30,23.70,20.90,19.40,24.30,22.30,17.00,20.90
USA,45.80,44.70,44.70,46.50,41.20,44.00,41.40,38.40,43.90,48.50,37.50,36.67
CHE,20.00,12.20,15.40,12.60,11.10,18.90,7.90,15.50,17.70,11.50,11.50,10.65
DNK,16.00,10.10,18.00,26.90,22.50,18.50,16.70,26.60,16.90,23.90,18.60,22.50
