Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,78.10,57.30,50.00,54.40,51.30,48.75,46.20,57.90,60.10,64.30,61.00,55.90
SVN,0.00,10.50,24.50,10.10,8.80,9.00,9.00,30.80,25.00,30.50,28.70,31.57
CAN,42.30,44.30,49.10,41.30,40.20,45.80,46.60,55.60,62.80,64.50,66.97,69.43
LUX,149.10,40.20,46.90,34.20,48.70,10.10,44.60,131.00,68.40,118.00,29.70,74.20
CZE,35.30,38.10,26.80,26.50,25.80,35.70,33.90,28.40,28.50,37.40,17.50,29.90
NZL,14.70,11.70,28.20,32.70,21.70,20.70,17.60,36.20,37.30,44.90,48.26,51.61
CHL,8.90,10.30,12.20,8.10,12.80,9.80,15.40,17.20,12.90,18.20,19.23,20.27
FIN,95.70,88.50,79.70,86.30,100.00,114.10,125.40,120.10,141.80,117.80,110.60,117.00
ISL,35.10,97.50,108.30,44.90,51.20,74.00,54.60,29.90,35.40,23.00,21.66,20.31
MEX,14.50,15.40,13.00,13.70,13.30,13.50,12.20,13.10,12.20,12.60,10.60,10.21
GBR,26.57,28.50,24.20,21.80,26.20,28.30,31.10,31.00,34.70,36.20,45.90,47.83
KOR,7.90,6.60,3.90,3.40,4.50,3.60,3.70,2.20,3.50,3.60,3.10,2.50
BEL,3.15,6.23,9.32,12.40,19.20,23.30,29.30,31.10,19.10,30.90,33.98,37.07
FRA,18.40,11.10,8.90,13.30,15.80,16.10,19.10,18.50,18.30,18.90,18.96,19.01
DNK,45.40,41.40,23.60,19.90,28.00,39.40,31.50,38.10,39.00,56.70,29.00,43.30
ISR,11.10,4.30,9.30,5.40,16.40,0.00,0.15,0.30,0.20,0.10,0.00,-1.11
IRL,10.20,17.40,34.50,16.50,14.80,25.10,30.60,97.40,60.50,74.40,70.60,76.64
POL,28.10,31.70,28.70,26.20,33.20,36.50,34.80,27.20,26.20,29.80,25.00,20.00
DEU,7.50,12.70,10.10,9.70,9.50,9.50,10.20,9.30,10.80,9.60,7.80,8.10
NLD,6.80,9.80,8.20,8.80,10.60,10.10,6.80,8.40,9.60,7.40,8.90,8.90
GRC,30.50,43.30,28.10,25.40,33.00,31.60,38.00,24.70,24.00,31.30,21.20,20.27
EST,204.30,226.00,154.90,157.90,196.30,175.10,100.20,131.80,117.40,155.00,171.10,181.80
HUN,13.10,16.60,10.60,25.50,14.10,22.40,16.40,11.40,9.20,9.60,12.30,6.20
USA,64.20,75.30,96.30,111.10,121.30,134.10,154.90,172.40,174.10,182.40,196.20,209.40
AUT,19.50,15.40,7.80,7.60,4.60,3.10,6.20,4.20,0.00,5.80,4.20,1.20
CHE,5.50,8.00,6.40,9.30,3.30,7.70,49.80,43.50,53.10,39.20,30.50,33.00
ESP,20.10,21.10,13.90,14.10,19.70,19.70,16.60,13.60,16.10,15.40,11.40,11.90
SVK,25.00,33.40,20.70,26.30,22.00,25.50,25.00,24.50,24.00,21.10,16.20,15.32
JPN,5.00,6.10,6.60,7.90,8.90,10.30,9.90,9.90,11.70,13.20,12.30,12.60
SWE,23.30,32.00,19.70,25.50,22.40,29.50,31.00,30.60,35.10,31.00,44.10,46.18
ITA,5.80,5.20,6.50,3.60,3.97,4.33,4.70,8.90,8.00,6.40,5.90,5.91
PRT,5.00,7.80,4.40,10.90,8.42,5.95,3.47,1.00,0.50,4.20,3.20,1.30
NOR,7.40,34.50,38.10,112.80,129.60,96.20,99.10,84.00,78.50,96.80,113.60,55.20
