Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DEU,34.30,54.10,43.20,37.30,34.70,38.00,40.70,39.00,40.60,37.10,33.40,30.00
AUS,207.70,130.50,114.60,138.70,145.90,136.75,127.60,139.70,165.80,178.10,171.30,175.70
EST,976.60,1153.10,1062.50,680.20,1138.80,788.00,762.30,816.20,659.50,962.70,730.00,936.60
FIN,362.00,349.70,335.50,355.10,403.20,456.50,500.10,558.60,510.60,526.80,436.70,464.50
MEX,44.20,40.40,37.60,38.80,33.50,34.70,63.90,43.70,46.10,40.20,39.90,39.47
SWE,97.40,141.40,110.90,111.10,110.40,128.80,111.60,157.60,154.90,175.20,162.00,168.46
CHL,38.50,33.30,21.70,19.80,11.30,23.00,68.00,52.00,59.50,66.40,69.50,72.60
IRL,38.10,45.80,65.00,19.00,32.50,80.00,71.90,277.70,286.50,293.10,237.80,257.77
JPN,14.40,15.60,13.30,19.40,19.10,22.20,19.60,19.30,21.40,22.20,20.00,21.30
ISL,21.80,134.70,100.90,59.90,17.70,62.60,64.00,48.40,32.80,35.90,37.47,39.03
ISR,82.60,42.10,77.40,85.00,69.10,2.90,1.40,3.90,2.80,0.10,0.60,-7.60
DNK,159.60,152.10,109.70,87.30,89.20,156.90,177.60,108.60,160.10,180.80,174.40,184.40
NLD,34.80,34.90,31.50,32.40,39.70,32.90,29.50,28.00,37.80,45.70,26.80,30.60
SVN,61.00,64.20,75.90,58.30,54.50,52.80,50.40,59.90,135.80,128.90,109.60,114.46
ITA,12.70,14.90,12.90,11.50,16.30,21.10,25.90,37.10,34.70,37.30,28.20,29.75
NOR,60.90,73.40,60.90,277.90,356.30,295.60,332.40,340.90,336.40,301.90,274.20,259.10
LUX,306.00,279.60,110.40,130.80,149.80,163.90,210.00,252.20,168.10,240.20,135.90,70.20
POL,159.10,161.40,154.70,165.70,159.30,192.30,188.70,157.90,147.80,145.20,135.20,117.80
ESP,110.60,98.20,83.00,71.60,72.70,86.00,69.40,74.00,77.80,61.90,54.00,51.20
CAN,116.20,112.50,112.40,99.50,103.40,112.80,121.70,137.70,136.40,154.50,158.76,163.01
PRT,37.40,46.90,34.30,31.80,25.77,19.75,13.73,7.70,7.40,8.20,13.30,8.20
GRC,187.20,233.00,182.60,162.90,179.00,260.00,239.20,235.30,157.60,197.20,161.00,158.38
BEL,21.10,27.37,33.63,39.90,47.20,62.50,66.40,74.90,85.80,77.50,83.77,90.03
CZE,101.20,107.40,105.20,96.40,96.60,97.50,87.20,91.10,87.70,92.20,100.50,81.00
SVK,113.00,103.10,110.80,107.50,96.50,111.30,113.60,115.90,118.20,106.70,73.30,69.33
USA,185.10,197.20,236.80,257.50,270.90,304.50,366.20,373.30,383.50,378.00,385.70,405.76
CHE,13.50,18.90,13.30,13.00,9.70,10.40,132.10,124.20,126.80,112.00,90.90,98.64
NZL,39.20,36.40,44.50,42.60,53.60,61.60,43.20,88.40,103.70,91.60,97.42,103.24
FRA,30.10,24.90,22.10,27.40,29.60,38.80,47.00,45.40,52.40,48.80,50.88,52.96
KOR,18.60,16.20,13.40,10.50,11.90,10.60,10.70,9.40,11.00,9.80,9.40,7.70
GBR,89.30,92.80,80.20,69.10,76.00,76.50,89.70,111.00,119.30,126.30,124.30,127.80
HUN,45.50,60.10,41.40,55.00,49.30,51.40,76.30,56.50,49.60,50.40,46.40,36.00
AUT,85.70,62.40,31.70,6.30,15.60,9.90,8.60,18.60,8.50,9.10,10.80,8.40
