Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DEU,147.10,142.10,146.10,145.00,133.50,133.70,124.30,130.90,124.70,136.90,128.20,135.00
GBR,224.13,220.90,220.40,228.90,215.30,218.20,209.20,210.70,210.50,211.60,191.80,188.57
EST,692.70,743.50,744.30,611.30,545.70,403.30,457.60,432.40,338.40,345.40,265.30,222.40
MEX,503.70,453.30,457.90,416.20,412.50,403.00,394.60,399.00,407.00,518.70,426.60,418.89
SVK,436.80,351.40,384.80,412.00,412.60,432.10,369.10,428.60,412.80,424.60,359.00,351.22
AUS,137.70,128.00,129.40,128.90,125.20,115.15,105.10,127.30,116.00,112.90,111.00,103.40
PRT,275.40,282.00,271.80,245.30,230.55,215.80,201.05,186.30,177.00,199.20,170.90,173.40
FIN,195.10,161.40,185.80,140.00,122.30,109.40,97.10,107.40,104.10,100.60,89.40,98.10
HUN,368.30,282.40,308.00,346.70,348.10,399.10,382.20,390.00,341.90,337.70,318.90,334.40
SVN,184.80,165.20,149.40,167.00,175.20,151.80,119.20,116.10,95.50,62.80,62.70,50.49
KOR,220.00,187.20,166.30,134.30,127.80,113.90,111.70,97.10,99.80,102.50,93.80,99.10
DNK,136.90,144.50,178.70,190.60,132.40,131.40,137.00,129.20,133.90,146.60,149.10,163.90
ISR,180.40,121.80,147.50,129.60,134.70,131.10,126.90,122.20,133.10,121.00,108.40,101.20
NLD,136.30,136.10,115.80,121.80,111.60,109.90,107.70,116.90,107.70,110.90,99.40,108.40
ESP,226.80,211.40,222.80,218.30,184.70,210.10,185.70,201.40,192.00,185.40,150.20,154.20
USA,242.00,234.60,232.20,240.10,222.70,230.90,220.20,222.50,227.30,249.30,215.30,212.63
IRL,229.60,229.00,212.70,220.40,168.80,167.90,153.80,116.90,121.00,124.00,113.90,102.33
CAN,120.30,114.20,110.50,115.10,112.00,117.20,115.90,122.30,117.50,134.40,135.97,137.53
AUT,150.60,116.70,112.10,114.40,111.10,103.10,103.80,114.90,108.70,100.60,89.00,92.20
JPN,173.20,162.60,159.40,157.10,151.70,161.90,145.10,146.50,140.70,132.30,136.30,142.10
ISL,82.50,160.60,114.90,44.90,81.60,56.70,53.70,41.60,66.70,54.90,51.83,48.77
CHL,330.60,383.70,281.40,218.10,231.60,229.00,211.30,236.40,248.20,292.00,287.71,283.42
CZE,263.10,252.90,244.90,258.70,233.40,245.20,237.00,242.90,234.70,273.80,254.60,219.40
FRA,128.20,123.40,122.60,118.90,102.90,110.20,101.10,108.40,105.50,106.30,103.87,101.43
LUX,204.00,132.40,198.40,247.20,251.70,191.50,83.40,137.90,74.70,146.30,35.60,75.30
NZL,149.90,140.30,129.70,119.10,130.60,117.30,136.00,123.90,138.20,153.80,154.23,154.67
BEL,239.25,232.73,226.22,219.70,177.70,208.90,166.70,173.20,172.30,180.60,174.08,167.57
NOR,104.20,86.20,101.50,93.90,89.20,83.80,84.50,98.70,78.00,129.10,87.20,102.30
POL,263.20,230.50,214.50,228.40,231.60,238.90,253.10,273.20,265.00,283.40,253.20,256.70
CHE,96.20,89.00,86.40,81.10,71.60,86.50,75.30,69.70,70.90,70.20,63.00,59.68
ITA,118.20,99.10,109.10,97.50,91.97,86.43,80.90,79.60,79.40,88.20,80.70,76.95
SWE,96.10,92.40,101.10,87.60,87.20,80.40,80.40,76.20,85.70,94.70,78.10,76.30
GRC,239.60,200.70,204.50,166.00,175.00,193.90,155.80,195.60,193.70,203.10,176.80,170.52
