Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DNK,14.00,8.10,19.40,9.90,7.20,2.80,9.80,6.00,12.00,12.70,4.10,13.40
GRC,12.90,9.50,10.30,14.00,14.90,19.10,8.60,9.40,13.20,6.90,9.10,8.72
HUN,14.00,16.10,16.70,9.30,9.80,20.80,11.80,12.50,21.90,13.00,18.00,15.10
CHL,15.50,18.70,20.50,12.70,12.30,10.20,13.20,16.10,17.30,15.70,15.72,15.74
JPN,14.90,12.20,12.00,11.90,10.10,9.90,9.80,9.10,9.50,8.10,7.80,8.50
ITA,15.00,13.10,12.20,13.50,13.70,13.90,14.10,13.20,13.30,12.80,13.50,13.35
PRT,13.20,13.80,5.40,14.80,14.43,14.05,13.68,13.30,8.70,15.50,8.90,10.90
AUS,9.40,10.80,12.80,9.20,14.50,14.10,13.70,12.60,9.90,9.20,7.50,11.90
CZE,6.80,16.30,3.30,8.60,6.00,7.60,3.30,7.40,5.40,9.60,7.60,4.30
NOR,2.60,13.60,10.90,5.80,5.90,9.50,15.10,10.90,9.20,5.30,6.20,15.00
KOR,14.70,16.20,13.70,11.30,11.70,14.10,12.10,12.80,9.30,8.30,11.60,9.80
LUX,19.30,7.70,0.00,44.80,1.10,7.70,0.00,3.70,0.00,0.00,33.00,0.00
DEU,8.70,8.70,9.40,7.60,8.10,8.60,7.80,9.40,10.30,7.40,10.60,9.90
USA,28.90,29.10,28.60,28.50,27.00,26.90,26.30,25.40,25.10,25.80,24.10,23.62
ESP,14.40,12.40,11.50,11.50,8.90,9.20,11.10,11.40,11.20,10.20,9.20,10.90
AUT,1.10,12.30,5.10,5.40,2.20,12.50,5.60,2.00,7.90,9.70,4.70,11.10
EST,6.90,43.80,1.90,9.90,0.20,27.70,0.50,2.70,2.60,16.20,1.50,4.40
FRA,16.90,17.70,19.60,17.10,14.60,12.40,15.30,10.80,13.20,12.80,12.34,11.89
NLD,8.60,11.90,11.60,7.50,7.50,11.40,14.80,8.70,9.80,9.20,6.20,8.10
SVK,13.80,12.60,15.20,12.60,7.00,4.00,15.20,8.00,9.90,11.80,2.70,1.59
SVN,6.50,0.20,0.00,7.70,1.60,3.90,4.10,16.80,1.80,1.70,10.10,10.46
CAN,11.80,12.20,14.30,11.70,11.00,11.90,10.10,12.90,9.20,11.80,11.80,11.80
MEX,59.50,53.80,49.90,56.30,49.00,53.30,46.40,46.50,49.60,49.70,52.50,51.80
FIN,7.50,3.60,8.70,7.10,5.10,3.40,5.80,7.70,2.50,0.50,3.00,6.10
POL,9.90,11.90,12.80,13.20,7.70,14.10,8.80,8.70,7.80,10.00,6.40,4.90
CHE,9.90,9.10,16.40,12.50,11.90,11.60,7.60,4.20,7.10,8.60,8.00,7.81
NZL,10.70,11.60,8.00,12.10,11.80,7.00,7.30,15.60,0.70,6.50,6.03,5.57
IRL,6.40,7.70,12.30,8.70,7.20,5.20,7.30,11.20,6.50,14.00,3.50,3.21
SWE,4.20,7.20,3.50,5.80,6.80,4.80,4.10,5.50,5.20,16.40,7.10,7.39
BEL,11.60,11.43,11.27,11.10,8.50,9.70,6.00,12.50,15.40,10.10,9.93,9.77
GBR,12.32,12.60,12.60,13.40,13.40,14.00,11.50,13.60,13.20,12.90,15.10,15.38
ISL,8.30,0.00,0.00,0.00,41.00,0.00,0.00,6.10,14.70,0.00,-0.92,-1.84
ISR,20.60,19.10,22.10,18.40,18.70,20.10,17.60,17.60,20.50,19.50,17.00,16.64
