Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,21.10,20.70,22.30,19.40,19.90,18.90,19.80,20.20,21.50,22.00,22.10,22.20
USA,24.50,24.10,23.20,23.30,22.70,22.90,22.20,21.50,20.60,22.40,20.80,20.43
ISL,26.30,11.90,22.40,4.90,7.20,9.40,25.40,26.00,33.10,19.10,18.30,17.50
BEL,24.60,24.40,24.20,24.00,23.80,23.90,19.40,26.00,23.30,22.80,22.60,22.40
SVK,27.60,31.50,28.00,26.10,28.90,34.90,25.60,24.30,23.40,26.20,26.30,26.17
GRC,11.00,13.20,10.80,11.30,14.10,13.80,13.50,13.00,13.30,12.60,16.10,16.61
PRT,15.10,14.70,11.90,14.00,13.55,13.10,12.65,12.20,15.00,13.70,13.40,13.40
EST,20.90,23.10,30.10,32.10,29.30,21.80,50.70,21.20,34.90,43.10,30.50,25.90
NZL,59.80,51.90,52.10,50.80,47.50,55.30,42.60,48.10,53.30,51.90,51.02,50.14
DNK,29.80,39.80,35.50,33.30,32.40,32.20,34.00,28.90,29.50,34.30,26.00,25.50
AUS,41.60,46.20,40.30,42.80,46.60,43.05,39.50,42.70,44.10,41.20,39.90,41.60
SVN,37.30,39.80,32.50,42.00,50.00,42.70,31.20,41.60,34.90,46.90,39.10,39.28
FIN,17.70,21.70,20.80,19.50,17.40,23.10,23.70,21.80,17.90,16.30,18.30,23.00
IRL,25.20,11.80,29.50,25.50,27.50,23.70,23.70,23.60,27.90,27.30,22.80,22.56
POL,26.20,28.00,24.00,26.10,25.50,22.20,24.60,25.00,23.20,23.00,22.80,23.40
CHL,12.10,9.90,12.00,11.70,10.70,9.60,9.40,8.50,7.80,7.50,6.99,6.48
FRA,21.90,21.00,20.50,20.20,21.30,20.30,20.90,21.20,21.00,20.60,20.46,20.31
CZE,22.80,28.80,25.90,27.80,25.50,22.00,18.30,18.60,23.50,21.80,21.20,19.70
KOR,3.00,2.60,2.00,3.60,2.80,3.50,4.00,2.80,3.90,4.00,3.50,2.80
ITA,22.80,22.20,23.40,20.30,20.27,20.23,20.20,20.60,19.70,21.40,22.40,22.36
HUN,29.20,27.40,28.50,24.80,28.00,27.00,26.60,26.90,26.40,23.50,25.90,22.70
AUT,23.10,25.00,24.80,28.20,24.40,29.30,22.60,24.80,25.00,20.00,27.60,21.30
NLD,32.00,36.90,35.10,34.20,36.20,38.00,37.30,37.60,36.50,44.00,37.70,37.60
ISR,36.80,25.70,20.40,25.90,21.60,25.80,27.00,23.80,22.70,15.10,21.50,19.97
ESP,15.60,16.40,14.60,14.70,14.90,15.30,14.90,14.20,12.70,13.30,15.10,13.70
LUX,31.80,9.30,44.30,24.10,35.10,21.80,8.80,7.10,41.30,5.70,13.00,16.70
JPN,2.70,3.40,2.70,2.70,2.50,2.70,2.70,2.60,3.00,2.70,2.70,2.40
NOR,42.70,43.30,36.40,44.00,41.80,49.70,41.10,42.80,42.00,47.50,42.30,38.10
CHE,24.80,20.80,24.70,20.80,25.20,27.30,23.40,22.40,21.40,22.70,21.40,21.06
DEU,20.10,19.10,17.80,19.10,18.20,18.20,17.20,19.30,18.80,18.80,19.50,18.80
MEX,5.10,5.80,5.50,5.00,5.40,5.30,5.00,5.30,5.90,4.90,5.50,5.54
GBR,23.91,23.90,25.00,25.40,23.90,24.80,24.00,25.90,25.20,24.20,23.80,23.79
SWE,28.40,26.20,29.90,30.60,28.40,31.40,28.80,27.80,32.50,32.50,29.20,29.28
