Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,118.90,118.00,117.10,116.20,115.30,111.30,118.90,113.40,97.60,110.80,109.90,109.00
CAN,126.10,142.70,141.60,134.90,127.70,116.70,147.60,101.10,98.00,90.60,86.66,82.71
ISL,68.30,52.00,70.40,42.70,82.00,84.80,101.00,63.80,48.70,73.80,74.41,75.02
NZL,125.80,103.90,89.60,99.80,79.60,68.60,76.00,75.50,62.80,73.00,67.13,61.27
ISR,241.20,260.90,275.60,255.00,244.70,331.30,323.90,295.00,273.70,256.30,249.00,249.78
CHE,196.70,173.90,213.10,228.60,208.50,151.80,152.80,135.50,128.10,125.90,125.30,118.16
FRA,326.40,346.30,340.30,351.10,322.90,318.80,307.50,300.40,308.00,323.40,323.07,322.73
FIN,74.20,77.20,86.30,103.70,83.80,106.40,85.20,93.00,75.50,86.40,98.30,75.80
ITA,93.80,87.30,82.00,86.70,85.73,84.77,83.80,83.90,72.80,81.70,75.10,73.23
MEX,78.90,82.20,75.80,76.30,72.90,68.80,67.50,78.70,71.00,76.90,79.80,79.89
SVN,257.10,264.70,248.70,326.30,236.70,178.90,196.30,118.40,62.10,124.00,103.70,88.36
NLD,250.00,273.20,246.80,222.40,196.60,164.50,163.40,146.30,153.30,143.00,145.10,130.90
NOR,193.70,193.30,208.60,177.80,170.20,163.30,165.90,184.50,174.70,174.00,185.60,197.70
HUN,35.40,36.90,33.00,30.00,29.30,34.60,33.30,31.30,25.50,23.70,25.10,30.80
GBR,83.30,82.50,77.00,76.70,81.40,74.70,76.10,80.80,75.00,76.10,75.30,74.50
USA,193.00,189.00,164.80,166.00,148.00,161.10,144.40,139.10,150.60,159.80,124.90,118.09
AUT,53.10,38.30,47.70,34.20,24.20,41.30,37.00,41.40,36.00,108.60,114.40,101.10
SWE,96.60,96.50,85.10,79.10,101.40,104.90,119.50,92.80,106.10,109.50,186.70,195.71
DNK,134.60,162.10,209.50,211.00,198.00,92.20,121.20,252.40,256.80,342.00,299.50,229.50
IRL,98.70,110.20,84.20,97.70,74.70,59.50,58.20,51.80,50.60,46.90,43.80,38.31
KOR,229.20,180.80,143.30,171.10,152.70,171.80,167.30,157.10,178.90,180.80,195.40,191.80
PRT,867.70,623.70,256.60,299.60,356.98,414.35,471.72,529.10,466.80,437.70,456.30,418.20
GRC,114.30,106.20,123.40,81.60,77.10,86.00,75.80,88.20,127.10,107.40,109.20,108.69
POL,492.00,463.50,475.30,460.80,490.20,513.40,535.30,559.40,476.50,446.30,422.30,412.60
SVK,172.80,119.00,145.30,192.00,173.50,238.10,221.50,231.00,228.20,245.60,208.90,212.51
CHL,133.30,151.80,128.40,136.10,140.10,136.20,113.20,150.40,140.60,127.20,126.52,125.84
AUS,83.10,63.30,88.20,103.40,106.90,117.95,129.00,69.80,69.30,56.90,64.10,77.20
CZE,41.30,65.30,70.10,71.30,77.40,95.70,82.50,122.60,123.30,129.10,138.70,108.30
DEU,254.10,247.60,203.00,216.70,207.80,201.70,188.00,189.10,199.20,202.30,197.00,188.40
LUX,119.90,201.90,147.40,134.60,210.20,119.00,98.20,94.80,106.30,88.50,88.20,73.10
EST,212.70,222.70,270.30,267.30,186.30,195.70,171.70,229.30,127.50,122.90,131.10,161.70
JPN,58.70,57.30,56.10,54.20,57.20,59.30,70.90,72.80,80.60,86.90,92.50,93.20
ESP,120.60,122.90,115.10,119.70,112.80,114.60,115.70,121.90,115.70,130.90,147.50,138.40
