Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,419.50,415.10,398.40,410.00,392.40,408.40,390.50,388.70,344.70,309.30,297.06,284.81
LUX,676.40,559.40,611.10,512.00,407.20,240.80,288.60,359.90,240.90,355.30,189.00,268.40
CZE,621.60,563.60,576.20,583.10,519.40,514.70,443.30,503.90,439.90,385.30,363.00,343.40
PRT,613.10,792.30,930.00,772.20,693.75,615.30,536.85,458.40,378.60,381.00,341.90,345.30
HUN,586.00,561.90,655.50,591.30,613.50,578.70,641.00,601.90,479.50,403.70,348.20,279.60
POL,770.30,662.20,693.90,659.60,664.20,624.10,570.20,621.80,620.20,524.50,474.40,519.90
SVK,679.70,657.40,595.70,627.10,593.50,555.30,568.80,582.30,595.80,394.20,394.50,365.98
ISL,506.40,635.00,320.40,251.60,291.10,291.60,418.20,298.60,166.20,179.40,143.07,106.73
NLD,315.70,279.50,292.90,291.90,213.80,190.00,180.30,188.70,175.20,159.50,148.20,138.20
MEX,696.80,653.40,669.10,673.80,676.50,712.40,734.80,644.20,727.50,730.70,671.00,668.42
BEL,610.50,589.00,567.50,546.00,561.70,512.40,484.90,536.20,449.00,417.00,395.50,374.00
ISR,351.90,412.70,365.70,313.30,326.50,290.50,274.10,263.30,255.30,204.50,215.50,201.86
ITA,555.80,589.40,587.10,541.30,518.43,495.57,472.70,462.40,412.30,354.00,326.10,303.13
SWE,296.40,302.70,268.60,264.70,244.50,220.90,236.90,213.20,186.70,157.50,124.20,106.98
JPN,321.90,306.30,283.50,255.40,240.10,226.20,200.30,174.50,157.70,145.30,143.90,137.50
FRA,600.20,601.40,572.40,477.90,425.40,418.50,369.50,363.80,340.00,343.20,314.64,286.09
DNK,397.90,375.10,389.40,351.10,312.20,309.40,256.00,318.00,311.00,241.90,177.60,151.90
FIN,323.20,409.20,367.80,366.10,328.40,364.40,321.60,349.20,305.10,267.50,250.00,244.70
SVN,666.00,770.40,579.80,567.30,630.90,580.80,728.60,732.10,536.10,394.80,302.90,266.59
AUT,551.90,512.20,476.40,466.80,456.80,411.60,371.40,371.80,323.20,314.50,270.50,231.70
EST,817.70,815.90,871.60,638.30,623.60,662.50,785.60,709.80,520.60,354.80,281.80,365.00
GRC,822.30,736.80,695.60,712.40,750.30,761.60,741.30,712.40,684.70,681.60,558.90,532.56
IRL,537.50,502.00,416.70,372.90,327.00,381.60,305.60,296.80,258.50,290.70,191.70,157.12
NZL,677.00,640.60,607.70,652.50,555.40,549.70,479.00,518.90,503.90,494.50,474.22,453.94
AUS,482.60,482.10,454.00,407.50,375.30,364.55,353.80,362.40,341.20,322.30,304.20,272.60
KOR,886.70,716.10,624.10,616.50,518.80,479.00,452.30,440.20,414.10,387.00,369.50,322.30
CHE,354.70,317.20,298.10,346.50,308.50,229.90,223.50,226.80,207.60,215.80,166.60,147.79
CHL,624.30,572.30,552.10,615.10,610.50,576.50,569.20,522.20,558.30,528.50,517.86,507.21
NOR,438.90,303.60,388.80,352.80,333.10,262.80,253.50,230.30,285.50,241.60,208.00,170.30
ESP,673.30,621.90,584.40,597.20,512.00,481.60,435.20,398.70,321.40,248.20,219.70,190.20
DEU,446.30,402.60,401.50,379.70,333.90,296.00,282.70,267.90,245.00,230.80,195.50,221.00
USA,677.80,681.60,685.70,669.00,662.00,664.40,661.20,637.70,567.30,500.80,471.10,450.43
GBR,304.04,289.60,308.60,301.10,285.60,283.80,285.50,262.50,229.40,204.70,159.60,145.16
