Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
LUX,1090.00,1033.70,1163.20,1058.80,1266.70,1012.10,982.80,782.10,954.60,928.70,820.10,820.90
USA,1148.20,1128.40,1111.60,1087.10,1056.30,1040.30,1016.20,995.40,984.80,970.50,955.50,936.23
SVN,1559.60,1581.80,1584.20,1451.20,1497.60,1405.00,1442.30,1491.20,1373.00,1325.90,1288.00,1260.84
CHE,1022.40,1014.20,924.50,941.90,954.00,914.80,865.10,879.90,856.50,826.80,790.90,767.75
DEU,1253.10,1202.80,1196.10,1174.10,1131.90,1114.20,1093.30,1069.60,1060.10,1028.70,1010.00,986.60
DNK,1285.20,1160.40,1178.40,1138.20,1142.50,1090.80,1111.90,1076.50,1010.80,943.60,934.60,923.90
NLD,1187.80,1147.90,1112.50,1103.00,1124.10,1047.40,1050.50,1004.20,1021.50,990.50,991.30,951.80
CAN,1068.70,1045.00,1003.80,993.60,975.30,943.80,927.90,920.40,888.50,861.90,838.92,815.94
GRC,1215.10,1204.20,1133.50,1152.10,1174.20,1153.70,1103.10,1125.80,1088.20,1114.00,1070.20,1055.71
IRL,1164.00,1073.10,1084.60,1040.20,1002.20,938.60,972.30,901.70,928.50,998.10,853.20,822.12
CZE,1896.30,1766.30,1744.70,1705.80,1667.20,1549.00,1521.30,1437.30,1395.20,1367.20,1307.30,1224.90
ITA,1249.00,1222.20,1185.10,1143.80,1119.97,1096.13,1072.30,1035.60,1016.30,988.90,951.40,921.64
FIN,887.80,888.40,874.90,864.50,824.70,886.50,797.40,789.50,808.30,761.40,792.10,737.20
HUN,2798.60,2718.60,2734.20,2659.00,2685.30,2475.60,2459.40,2396.70,2374.80,2372.90,2250.80,2159.00
EST,1792.90,1816.50,1831.80,1764.00,1671.10,1685.50,1659.90,1602.80,1470.30,1380.40,1422.50,1379.70
GBR,1114.19,1093.00,1084.00,1040.60,1011.80,977.30,998.30,966.90,933.90,920.50,902.30,881.11
SWE,836.30,807.00,784.40,786.30,760.40,762.70,749.40,710.90,703.80,726.90,647.30,628.40
POL,1875.20,1877.00,1827.90,1767.50,1775.60,1703.50,1679.10,1640.80,1581.80,1539.20,1453.90,1422.30
AUT,1202.40,1181.80,1164.80,1145.50,1189.20,1115.10,1069.50,1029.00,1032.40,1031.90,981.80,957.00
JPN,1093.70,1060.40,1012.10,982.00,982.70,944.00,931.70,912.40,890.10,851.80,828.30,813.70
PRT,1368.80,1405.20,1417.90,1400.60,1387.32,1374.05,1360.78,1347.50,1328.70,1326.10,1334.30,1359.40
MEX,684.00,669.30,692.50,687.60,674.00,676.20,662.10,642.80,652.30,649.30,639.70,635.27
NOR,1047.80,934.30,963.20,915.60,874.00,860.70,814.30,789.00,816.30,806.20,756.70,742.60
BEL,1340.65,1309.30,1277.95,1246.60,1188.60,1188.40,1125.00,1138.40,1160.80,1058.50,1027.15,995.80
NZL,1118.30,1100.10,1066.20,1038.50,998.00,985.30,940.60,988.70,891.80,883.10,856.97,830.83
FRA,1647.60,1612.70,1586.60,1539.00,1489.40,1463.70,1420.30,1381.60,1342.40,1323.20,1287.16,1251.11
ISL,870.90,913.50,735.50,698.40,736.20,708.00,918.10,725.20,718.00,914.30,919.12,923.94
KOR,1617.70,1551.00,1527.20,1448.10,1407.00,1316.70,1269.30,1211.00,1149.90,1102.10,1055.60,1005.50
AUS,999.80,1006.90,967.60,951.60,944.50,894.20,843.90,893.70,858.60,821.60,840.90,822.30
ESP,1474.70,1442.50,1426.00,1406.60,1373.20,1314.00,1289.70,1262.70,1218.70,1180.10,1157.30,1127.60
ISR,976.20,915.90,953.60,878.40,846.60,851.40,839.10,828.00,845.50,768.10,817.70,801.85
SVK,2084.00,2079.10,1955.10,1983.30,1893.20,1834.70,1749.10,1727.00,1672.30,1617.80,1565.20,1513.32
CHL,958.60,970.30,960.00,955.90,916.60,886.60,866.30,846.40,821.70,856.50,845.16,833.81
