Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
FRA,75.21,75.09,74.96,74.83,74.70,76.00,77.70,78.70,75.50,75.50,73.50,73.80
EST,66.83,67.57,68.31,69.06,69.80,76.80,75.00,74.90,79.50,74.00,75.30,75.00
SVN,65.92,66.73,67.55,68.37,69.18,70.00,72.60,73.00,74.10,75.10,73.70,74.90
JPN,41.17,40.50,40.77,41.03,41.30,39.83,38.37,36.90,36.10,35.30,34.50,33.83
SVK,54.33,56.17,58.00,59.83,61.67,63.50,61.40,63.70,71.10,75.60,77.00,74.50
NOR,81.79,82.11,82.44,82.77,83.10,82.10,83.10,85.00,84.70,85.50,86.00,85.40
DEU,64.53,65.67,66.80,67.93,69.07,70.20,71.60,72.10,77.80,78.30,78.20,77.00
POL,60.03,60.87,61.70,62.53,63.37,64.20,64.90,67.10,68.70,68.80,71.00,69.20
PRT,55.54,56.46,57.37,58.29,59.20,62.80,61.60,62.30,63.20,62.70,66.00,65.60
CHL,78.40,78.67,78.93,79.20,78.75,78.30,77.85,77.40,76.95,76.50,74.15,71.80
IRL,93.44,93.46,93.47,93.49,93.50,92.60,93.40,94.50,94.50,93.00,92.20,93.60
KOR,54.93,53.90,54.10,54.30,54.50,54.70,52.97,51.23,49.50,52.00,41.80,43.60
ESP,71.29,72.61,73.94,75.27,76.60,78.90,79.30,79.20,86.30,83.80,84.50,85.90
SWE,84.50,82.50,83.10,85.40,83.40,85.00,83.90,86.50,88.60,90.10,88.70,88.80
DNK,86.76,86.24,85.73,85.21,84.70,85.80,83.40,84.90,85.00,83.20,82.20,81.10
TUR,64.14,65.10,66.06,67.02,67.98,68.94,69.90,73.30,75.10,73.30,72.80,74.70
NLD,82.88,83.27,83.65,84.03,84.42,84.80,86.30,86.40,86.00,86.80,87.50,87.10
GBR,88.77,88.73,88.70,88.67,88.63,88.60,88.40,89.00,91.40,91.30,90.60,88.40
CZE,72.37,72.63,72.90,73.17,73.43,73.70,73.20,77.00,78.60,78.10,77.90,75.30
NZL,95.13,94.85,94.58,94.30,94.03,93.75,93.47,93.20,92.92,92.65,92.37,92.10
FIN,74.04,74.66,75.27,75.89,76.50,77.90,79.40,80.70,81.40,80.60,80.20,80.80
BEL,84.01,84.29,84.56,84.83,85.10,85.80,86.60,85.70,87.60,86.80,87.00,87.00
ITA,61.46,62.64,63.83,65.01,66.20,66.70,65.10,73.00,73.90,74.30,76.10,74.50
ISR,95.39,95.44,95.50,95.30,95.90,96.00,96.40,95.10,96.70,95.50,95.90,96.00
ISL,86.59,86.41,86.24,86.07,85.90,88.10,88.20,85.60,87.90,84.40,80.80,84.70
LUX,76.36,76.94,77.53,78.11,78.70,78.50,83.00,81.90,83.00,83.70,84.40,82.80
USA,94.70,94.80,94.90,95.00,95.10,95.20,95.30,95.40,96.00,96.00,96.20,95.80
HUN,48.58,50.47,52.35,54.23,56.12,58.00,62.30,58.40,65.60,66.60,63.80,69.30
GRC,91.04,90.66,90.27,89.89,89.50,88.50,88.10,88.70,86.80,87.80,87.60,86.80
AUT,77.27,77.73,78.19,78.64,79.10,79.70,81.90,81.70,82.80,80.60,82.20,82.30
