Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
FRA,82.03,81.87,81.71,81.56,81.40,81.80,83.50,84.10,84.30,82.60,80.70,80.30
GBR,82.40,84.10,83.10,83.90,83.00,83.30,84.50,85.70,88.70,87.60,87.90,85.90
PRT,55.00,56.40,57.80,59.20,60.60,62.30,67.20,64.10,66.90,66.60,67.00,70.40
SVK,59.03,61.27,63.50,65.73,67.97,70.20,73.30,74.90,81.40,83.70,83.80,83.60
MEX,53.20,70.40,67.90,68.13,68.37,68.60,68.40,70.93,73.47,76.00,78.53,81.07
TUR,45.09,47.72,50.36,53.00,57.73,62.47,67.20,71.30,74.80,70.30,71.90,74.10
NOR,89.60,88.80,88.00,84.60,81.20,82.00,84.70,83.30,83.10,83.10,81.70,80.80
ESP,77.24,78.40,78.10,77.80,80.10,82.60,83.20,82.90,87.10,84.80,86.90,90.00
GRC,94.50,94.50,94.50,94.50,95.60,94.20,94.00,93.90,92.80,92.70,95.30,94.50
AUS,87.92,88.20,89.20,90.20,91.20,91.10,91.00,90.90,90.93,90.95,90.97,91.00
KOR,48.40,47.30,48.33,49.35,50.38,51.40,47.93,44.47,41.00,42.10,37.20,36.30
CAN,92.71,92.70,92.85,93.00,93.25,93.50,93.45,93.40,93.40,93.30,93.50,92.60
NLD,83.30,84.00,83.10,82.50,83.90,84.60,82.70,83.80,84.00,83.30,84.90,83.00
POL,59.65,61.80,65.77,69.73,73.70,75.90,75.40,78.60,80.70,80.60,82.10,83.30
CZE,75.16,76.08,77.00,78.87,80.73,82.60,81.80,83.80,85.30,83.80,86.10,85.30
FIN,73.40,71.80,73.20,70.90,86.60,88.60,86.10,87.50,86.00,89.60,87.00,89.00
CHL,56.20,56.57,56.93,57.30,57.67,58.03,58.40,57.93,57.47,57.00,57.09,57.18
IRL,94.83,94.47,94.10,91.95,89.80,89.50,89.90,91.60,92.00,90.80,89.40,90.80
CHE,89.22,89.11,89.00,89.68,90.36,91.04,91.72,92.40,89.30,87.60,89.20,88.00
USA,93.20,93.20,93.40,93.00,92.90,93.00,93.00,92.50,92.20,92.10,91.70,92.00
AUT,88.83,88.37,87.91,87.46,87.00,87.70,87.80,88.10,84.70,84.50,84.50,83.80
EST,64.04,65.36,66.67,67.99,69.30,75.70,76.00,79.30,81.20,78.70,78.50,78.50
ISL,93.59,93.14,92.70,88.90,85.10,86.50,88.70,87.40,88.50,87.60,86.70,88.70
LUX,83.81,83.77,83.74,83.70,84.50,84.90,87.40,83.60,85.50,83.10,86.40,83.40
SVN,61.85,63.50,65.15,66.80,68.45,70.10,74.40,75.00,77.20,78.30,79.20,80.00
DEU,82.54,82.22,81.91,81.60,78.75,75.90,74.70,74.60,80.00,81.80,80.70,79.10
HUN,55.50,57.63,59.77,61.90,64.50,67.10,69.70,69.20,77.40,79.90,78.40,81.10
NZL,92.57,92.45,92.32,92.20,92.07,91.95,91.82,91.70,91.57,91.45,91.32,91.20
BEL,85.78,85.70,85.03,84.37,83.70,84.00,84.40,83.30,82.60,83.00,83.60,84.90
ISR,87.61,88.26,88.90,90.60,89.90,89.90,91.10,92.00,92.90,91.80,93.20,94.70
JPN,44.94,44.30,44.83,45.37,45.90,44.30,42.70,41.10,40.23,39.37,38.50,37.86
DNK,92.73,91.67,90.61,89.56,88.50,82.90,84.20,83.00,82.30,80.80,78.40,81.10
ITA,74.30,75.70,74.40,75.70,77.20,78.80,77.70,83.10,84.40,84.20,86.40,84.90
SWE,82.50,82.90,81.60,82.00,79.60,81.80,82.60,84.40,85.00,85.50,87.70,88.10
