Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ISR,64.37,65.43,66.50,65.40,66.10,69.10,70.30,69.10,69.50,71.60,73.20,76.10
ESP,54.22,55.80,56.30,56.80,51.60,56.30,57.50,56.10,64.30,63.00,64.90,71.60
USA,85.00,84.90,84.10,84.80,84.70,85.30,84.10,84.10,83.90,83.60,83.10,83.00
CHL,44.00,43.98,43.97,43.95,43.93,43.92,43.90,43.43,42.97,42.50,42.33,42.17
SVN,30.87,32.53,34.20,35.87,37.53,39.20,43.40,45.60,47.60,48.90,45.50,49.20
BEL,70.55,70.50,69.20,67.90,66.60,67.30,67.40,67.90,68.80,69.00,69.50,70.00
KOR,33.07,32.90,32.25,31.60,30.95,30.30,31.70,33.10,34.50,36.40,28.10,31.20
DEU,65.66,65.17,64.69,64.20,58.75,53.30,52.80,52.80,58.70,58.80,60.50,60.30
PRT,21.27,22.33,23.39,24.44,25.50,26.30,27.90,27.50,29.80,29.60,33.50,32.90
FRA,60.40,60.50,60.60,60.70,60.80,63.40,64.10,64.20,62.80,64.00,62.70,61.50
AUT,66.31,66.19,66.06,65.93,65.80,66.40,67.80,66.90,65.30,63.80,63.40,64.90
POL,21.97,23.70,27.27,30.83,34.40,33.50,34.00,37.30,38.40,38.00,41.60,41.00
IRL,89.83,88.87,87.90,83.80,79.70,78.40,77.60,79.10,77.20,78.70,79.00,79.20
TUR,36.25,36.50,36.75,37.00,36.10,35.20,34.30,39.60,40.20,35.50,37.40,39.00
ITA,43.70,48.50,47.90,47.10,46.80,47.60,47.20,58.00,57.70,58.50,64.10,62.30
CZE,47.71,47.86,48.00,46.50,45.00,43.50,43.40,47.00,46.60,50.90,52.10,49.30
NOR,72.80,72.40,72.00,68.90,65.80,64.50,67.20,69.30,68.60,69.80,71.20,68.40
DNK,78.27,76.93,75.59,74.24,72.90,72.30,66.50,66.60,67.20,68.40,68.60,63.50
FIN,59.80,61.10,63.90,60.80,66.00,64.20,66.20,65.10,65.40,65.60,65.20,66.60
ISL,85.53,84.27,83.00,78.10,73.20,77.00,77.70,71.20,77.10,77.20,73.20,71.60
HUN,23.80,24.73,25.67,26.60,25.75,24.90,28.10,25.90,37.50,39.30,40.20,40.90
CAN,84.27,84.40,84.50,84.60,85.30,86.00,85.80,85.60,85.70,86.50,86.30,85.70
GBR,71.60,71.40,70.00,72.10,69.30,71.40,72.70,73.30,77.40,76.80,76.60,73.30
SWE,69.30,67.80,68.30,67.80,66.30,72.00,71.60,73.90,73.30,74.50,75.90,75.70
AUS,77.27,77.90,78.83,79.77,80.70,81.77,82.83,83.90,83.97,84.05,84.12,84.20
SVK,12.63,15.87,19.10,22.33,25.57,28.80,28.20,30.30,40.00,44.30,47.80,48.20
GRC,71.96,72.47,72.99,73.50,74.30,74.60,74.30,74.20,73.10,74.50,76.00,77.60
MEX,38.50,52.30,50.20,50.73,51.27,51.80,51.70,53.90,56.10,58.30,60.50,62.70
EST,29.50,30.70,31.90,33.10,34.30,39.80,40.80,38.50,43.60,42.80,44.30,42.70
NLD,70.00,69.60,70.40,69.10,69.10,68.80,70.00,69.60,71.20,73.20,75.50,71.80
NZL,89.70,89.80,89.90,90.00,90.10,90.20,90.30,90.40,90.50,90.60,90.70,90.80
LUX,64.05,64.00,63.95,63.90,64.10,66.80,65.80,69.90,68.70,67.90,68.90,63.50
CHE,84.02,83.31,82.60,82.78,82.96,83.14,83.32,83.50,75.70,75.10,76.20,76.20
JPN,33.40,32.60,33.03,33.47,33.90,31.63,29.37,27.10,26.53,25.97,25.40,24.60
