Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
KOR,46.55,45.70,45.15,44.60,44.05,43.50,43.03,42.57,42.10,46.60,34.60,37.20
AUS,75.33,76.00,77.23,78.47,79.70,79.80,79.90,80.00,80.68,81.35,82.02,82.70
AUT,62.23,62.47,62.71,62.96,63.20,63.50,64.50,66.30,62.90,64.50,65.40,64.90
EST,39.81,39.59,39.36,39.13,38.90,42.60,39.40,36.70,40.10,36.80,39.50,37.30
NOR,81.42,80.71,80.00,75.15,70.30,73.00,71.40,75.00,75.10,75.30,76.10,73.60
ITA,54.30,57.80,57.00,58.20,51.90,54.10,53.90,63.60,64.50,65.50,68.80,65.10
NLD,74.60,74.10,74.20,74.80,74.60,74.10,75.50,75.80,77.80,77.40,76.60,76.10
BEL,75.41,74.90,73.47,72.03,70.60,69.90,72.80,72.10,70.50,69.00,69.30,69.80
SVK,17.75,21.00,24.25,27.50,30.75,34.00,35.20,38.30,46.80,51.80,53.90,53.50
CAN,85.12,85.30,85.80,86.30,86.40,86.50,86.75,87.00,85.80,86.20,84.90,87.10
NZL,90.12,89.95,89.77,89.60,89.43,89.25,89.07,88.90,88.73,88.55,88.38,88.20
CHE,86.72,86.21,85.70,85.58,85.46,85.34,85.22,85.10,79.90,80.10,80.50,81.10
DEU,69.15,68.30,67.45,66.60,59.35,52.10,53.30,52.30,58.40,59.50,59.40,59.80
GRC,78.35,78.40,78.45,78.50,82.20,80.40,79.40,78.70,79.00,77.30,76.60,78.90
ISL,83.07,82.53,82.00,81.10,80.20,78.60,79.10,78.20,82.40,81.00,78.40,77.20
SWE,75.00,74.00,71.40,74.20,69.30,75.40,73.10,75.30,78.30,82.20,81.40,81.30
DNK,77.73,76.97,76.21,75.46,74.70,75.20,73.00,72.40,70.70,67.30,67.50,69.40
ISR,71.38,72.09,72.80,74.70,73.70,73.90,75.20,76.60,78.50,76.40,77.60,79.20
TUR,57.08,57.05,57.03,57.00,55.50,54.00,52.50,57.60,58.20,56.00,53.80,56.80
FIN,53.80,56.40,55.60,56.70,61.50,60.90,63.90,59.80,60.40,61.70,63.50,64.40
POL,32.29,33.40,35.40,37.40,39.40,38.40,38.90,41.60,43.00,43.30,45.70,44.50
GBR,70.40,70.50,71.40,70.60,71.30,71.50,73.20,73.60,76.70,76.80,76.10,73.20
PRT,34.34,35.16,35.97,36.79,37.60,38.00,38.20,36.90,42.60,40.20,44.50,43.30
USA,85.70,86.00,86.50,85.50,86.10,86.00,85.20,85.40,85.20,84.60,84.50,83.90
IRL,83.34,82.82,82.30,79.55,76.80,78.10,78.40,77.00,80.50,77.40,77.40,77.60
ESP,70.24,70.70,68.65,66.60,59.00,62.10,63.70,62.90,71.80,69.70,70.70,75.30
HUN,32.70,32.10,31.50,30.90,30.10,29.30,31.10,29.90,38.80,42.80,41.30,43.70
LUX,64.83,65.15,65.48,65.80,67.90,67.10,70.70,70.50,70.00,70.70,69.20,68.40
FRA,63.44,63.76,64.07,64.39,64.70,67.40,68.00,68.90,67.40,67.00,65.20,66.90
CHL,55.30,55.03,54.77,54.50,54.23,53.97,53.70,54.40,55.10,55.80,55.86,55.91
JPN,37.44,36.50,36.87,37.23,37.60,35.17,32.73,30.30,29.53,28.77,28.00,27.06
SVN,27.20,29.50,31.80,34.10,36.40,38.70,44.40,45.70,47.70,50.40,52.20,52.50
CZE,47.61,48.16,48.70,48.87,49.03,49.20,49.20,51.20,53.70,53.20,55.00,53.60
MEX,47.80,59.10,60.30,58.63,56.97,55.30,55.20,56.43,57.67,58.90,60.13,61.37
