Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,36.50,37.30,38.10,38.90,39.70,42.00,43.00,45.10,42.80,47.10,43.70,45.30
NLD,61.60,60.70,61.80,62.20,60.40,53.60,58.10,57.90,63.70,61.60,62.20,63.80
GRC,44.22,44.25,44.27,44.30,43.40,43.40,43.80,42.00,43.50,40.90,41.00,44.50
LUX,41.01,42.17,43.34,44.50,44.70,47.50,45.10,44.20,47.40,46.80,50.90,53.80
POL,13.09,13.40,14.80,16.20,17.60,11.90,12.40,13.10,12.70,14.10,15.00,16.50
ESP,47.72,47.40,46.15,44.90,32.20,34.50,36.10,35.50,44.00,42.60,41.20,44.20
JPN,28.21,27.40,27.67,27.93,28.20,26.17,24.13,22.10,21.43,20.77,20.10,19.29
NOR,72.38,71.69,71.00,67.50,64.00,59.90,59.70,62.90,69.10,64.80,70.30,64.80
CHL,39.00,38.68,38.37,38.05,37.73,37.42,37.10,40.33,43.57,46.80,47.67,48.53
TUR,47.96,45.97,43.99,42.00,37.17,32.33,27.50,27.20,27.60,26.60,27.50,26.10
AUS,65.46,66.10,65.93,65.77,65.60,65.93,66.27,66.60,68.07,69.55,71.03,72.50
SWE,58.10,52.30,58.60,61.90,57.30,58.80,62.20,63.10,63.40,63.60,65.00,64.70
ISL,80.37,78.43,76.50,65.70,54.90,53.60,57.30,60.30,55.80,58.40,52.80,59.10
CAN,68.94,69.70,71.75,73.80,73.65,73.50,74.05,74.60,74.40,75.90,75.70,77.30
ISR,43.50,44.10,44.70,47.30,43.80,43.30,43.40,46.50,44.30,48.80,51.30,50.10
ITA,24.70,29.70,26.70,27.40,22.40,22.60,21.70,28.90,29.20,28.90,31.40,32.50
FIN,39.56,39.54,39.53,39.51,39.50,41.00,42.20,38.90,41.20,38.10,38.40,39.40
SVK,7.32,8.33,9.35,10.37,11.38,12.40,9.40,9.60,16.40,15.60,17.90,18.50
CZE,40.76,39.18,37.60,30.43,23.27,16.10,19.50,20.90,20.60,21.70,22.30,23.40
KOR,33.88,33.70,31.70,29.70,27.70,25.70,31.50,37.30,43.10,39.60,37.10,31.90
USA,72.80,72.80,73.10,74.70,73.20,74.60,75.10,73.60,75.50,75.80,75.00,75.70
MEX,36.30,41.40,46.40,45.73,45.07,44.40,44.20,45.52,46.83,48.15,49.47,50.78
CHE,78.16,77.38,76.60,76.32,76.04,75.76,75.48,75.20,68.90,70.50,69.70,69.60
DEU,55.85,54.40,52.95,51.50,42.40,33.30,33.30,34.10,38.90,40.80,38.70,39.90
DNK,65.07,64.23,63.39,62.54,61.70,61.10,60.50,61.00,63.70,59.60,60.20,55.80
SVN,24.97,25.13,25.30,25.47,25.63,25.80,26.90,30.40,31.90,29.90,28.40,26.80
NZL,79.35,79.90,80.45,81.00,81.55,82.10,82.65,83.20,83.75,84.30,84.85,85.40
BEL,55.63,55.30,54.27,53.23,52.20,52.90,55.80,56.20,54.00,54.60,53.50,52.00
FRA,33.24,33.96,34.67,35.39,36.10,35.20,35.40,37.60,37.50,38.90,38.30,41.10
HUN,21.80,20.73,19.67,18.60,14.95,11.30,13.30,9.50,16.90,17.50,13.20,14.90
EST,18.60,18.30,18.00,17.70,17.40,16.90,15.10,14.80,14.10,15.10,19.60,15.30
IRL,67.08,66.79,66.50,63.25,60.00,59.40,59.70,61.70,63.30,63.30,64.90,63.90
PRT,8.49,9.21,9.94,10.67,11.40,11.50,12.30,11.50,13.20,15.40,15.50,16.50
GBR,57.70,55.70,54.30,58.90,57.70,58.00,59.20,60.50,60.00,59.60,60.70,60.20
